Table 1-4: Key Categories for the United States (1990 and 2020),,,,,,,,,,
CRF Source/Sink Categories,Gas,Approach 1,,,,Approach 2 (includes uncertainty) ,,,,2020 Emissions (MMT CO2 Eq.)
,,Level Without LULUCF,Trend Without LULUCF,Level With LULUCF,Trend With LULUCF,Level Without LULUCF,Trend Without LULUCF,Level With LULUCF,Trend With LULUCF,
Energy,,,,,,,,,,
CO2 Emissions from Mobile Combustion: Road,CO2,•,•,•,•,•,•,•,•,"1,333.80"
CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,•,•,•,•,•,•,•,•,788.2
CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,•,•,•,•,•,•,•,•,634.3
CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,•,•,•,•,•,•,•,•,485.5
CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,•,•,•,•,•,,•,,256.4
CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,•,•,•,•,•,•,•,•,237.8
CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,•,•,•,•,•,•,•,,173.9
CO2 Emissions from Mobile Combustion: Aviation,CO2,•,•,•,•,•,•,•,•,121.3
CO2 Emissions from Non-Energy Use of Fuels,CO2,•,•,•,•,•,•,•,•,121
CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,•,•,•,•,,•,,,59.5
CO2 Emissions from Mobile Combustion: Othera,CO2,•,•,•,•,,,,,57.1
CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,•,•,•,•,,,,,51.6
CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,•,•,•,•,•,•,•,•,43
CO2 Emissions from Natural Gas Systems,CO2,•,,•,,•,,,,35.4
CO2 Emissions from Mobile Combustion: Railways,CO2,•,,•,,,,,,31
CO2 Emissions from Petroleum Systems,CO2,•,•,•,•,•,•,•,•,30.2
CO2 Emissions from Mobile Combustion: Marine,CO2,•,•,•,•,,,,,23.7
CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,•,,•,,,,,,16.9
CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,•,•,•,•,•,•,,•,16.2
CO2 Emissions from Mobile Combustion: Military,CO2,,•,,•,,,,,5.2
CO2 Emissions from Coal Mining,CO2,,,,,,•,,,2.2
CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,,•,,•,,•,,,1.4
CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,,,,,,•,,•,-
CH4 Emissions from Natural Gas Systems,CH4,•,•,•,•,•,•,•,•,164.9
Fugitive Emissions from Coal Mining,CH4,•,•,•,•,•,•,•,•,41.2
CH4 Emissions from Petroleum Systems,CH4,•,•,•,•,•,•,•,•,40.2
CH4 Emissions from Abandoned Oil and Gas Wells,CH4,,,,,•,,•,,6.9
CH4 Emissions from Stationary Combustion - Residential,CH4,,,,,•,•,•,•,4.1
N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,•,,•,,•,•,•,•,15.2
N2O Emissions from Mobile Combustion: Road,N2O,•,•,•,•,,,,•,9.8
N2O Emissions from Stationary Combustion - Gas - Electricity Generation,N2O,,,,,,•,,,4.5
N2O Emissions from Stationary Combustion - Industrial,N2O,,,,,•,,,,2.3
Industrial Processes and Product Use,,,,,,,,,,
CO2 Emissions from Cement Production,CO2,•,•,•,•,,,,,40.7
CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,•,•,•,•,•,•,•,•,37.7
CO2 Emissions from Petrochemical Production,CO2,•,•,•,•,,,,,30
Emissions from Substitutes for Ozone Depleting Substances: Refrigeration and Air conditioning,"HFCs, PFCs",•,•,•,•,•,•,•,•,137.7
Emissions from Substitutes for Ozone Depleting Substances: Aerosols,"HFCs, PFCs",•,•,•,•,•,•,•,•,18.1
Emissions from Substitutes for Ozone Depleting Substances: Foam Blowing Agents,"HFCs, PFCs",,•,,•,,,,,15.5
SF6 and CF4 Emissions from Electrical Transmission and Distribution,"SF6, CF4",•,•,•,•,,•,,•,3.8
HFC-23 Emissions from HCFC-22 Production,HFCs,•,•,•,•,,•,,•,2.1
