Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,,"5,122.5","5,065.0","5,175.2","5,274.4","5,365.6","5,427.8","5,616.4","5,691.9","5,737.1","5,810.3","6,016.4","5,912.0","5,952.7","6,015.8","6,118.0","6,137.6","6,057.2","6,135.3","5,918.9","5,483.0","5,681.4","5,546.6","5,345.5","5,480.9","5,528.9","5,376.6","5,251.8","5,211.0","5,376.7","5,259.1","4,715.7"
,Fossil Fuel Combustion,,"4,731.2","4,680.6","4,780.1","4,893.7","4,964.7","5,022.1","5,213.7","5,274.1","5,320.5","5,372.1","5,609.0","5,531.4","5,568.9","5,643.3","5,720.3","5,752.0","5,667.2","5,753.6","5,554.8","5,181.1","5,345.7","5,209.8","5,005.4","5,123.2","5,166.1","5,006.5","4,909.6","4,853.3","4,989.3","4,852.3","4,342.7"
,Transportation,,"1,468.9","1,422.3","1,477.6","1,508.6","1,553.9","1,580.7","1,627.4","1,643.5","1,678.9","1,746.3","1,792.2","1,762.5","1,803.0","1,812.0","1,845.2","1,858.6","1,859.1","1,860.7","1,759.7","1,688.5","1,696.8","1,670.5","1,659.6","1,669.1","1,707.3","1,718.2","1,757.6","1,780.0","1,812.8","1,813.8","1,572.0"
,Electric Power Sector,,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.3","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
,Industrial,,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
,Residential,,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8
,Commercial,,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,228.0,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232.0,245.8,250.7,226.8
,U.S. Territories,,21.7,21.5,23.1,24.0,25.7,23.7,22.6,23.1,22.5,21.0,42.4,52.8,50.3,54.6,56.8,55.9,54.3,50.4,40.6,39.6,34.6,33.4,33.1,28.1,28.1,28.4,26.0,25.5,25.5,24.3,22.7
,Non-Energy Use of Fuels,,112.2,117.4,123.9,112.7,123.3,120.7,117.8,128.7,133.7,157.0,128.1,122.3,125.0,119.0,136.5,128.9,126.8,115.6,111.2,94.0,96.7,90.4,89.9,101.6,97.2,108.2,99.5,112.6,128.9,126.8,121.0
,Cement Production,,33.5,32.7,33.0,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39.0,40.9,40.7
,Iron and Steel Production & Metallurgical Coke Production,,104.7,95.2,96.0,91.6,94.5,98.4,96.4,97.6,91.1,89.0,90.5,79.8,75.8,72.7,72.2,70.1,72.8,74.5,69.9,45.1,58.6,63.0,57.3,55.2,58.2,47.9,43.6,40.6,42.6,43.1,37.7
,Natural Gas Systems,,31.9,31.0,30.9,30.6,30.5,28.5,26.7,26.4,24.2,24.9,25.1,24.8,25.3,24.8,24.9,24.9,25.4,25.8,26.4,25.5,26.0,27.6,27.0,28.7,29.3,29.1,29.8,31.1,32.4,38.7,35.4
,Petroleum Systems,,9.6,9.9,9.9,9.9,10.1,10.6,11.0,11.4,11.4,10.8,10.9,11.0,11.1,11.4,11.7,12.0,12.2,12.4,13.3,13.5,15.4,18.0,22.2,26.3,30.9,32.5,21.9,25.0,37.3,46.7,30.2
,Petrochemical Production,,21.6,23.1,23.7,24.6,26.6,27.9,29.1,30.5,30.9,32.3,31.6,27.6,28.7,28.5,30.7,27.4,27.6,28.1,24.7,23.8,27.3,26.3,26.5,26.4,26.5,28.1,28.1,28.9,29.3,30.7,30.0
