Table 2-11:  Electric Power-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Fuel Type or Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"1,836.0","1,831.4","1,846.5","1,921.8","1,947.3","1,965.2","2,038.8","2,105.1","2,193.3","2,206.3","2,312.1","2,273.2","2,288.4","2,319.3","2,351.7","2,417.1","2,363.1","2,429.3","2,376.6","2,163.2","2,276.8","2,175.7","2,041.1","2,057.9","2,057.5","1,920.9","1,828.6","1,750.1","1,770.0","1,624.0","1,457.0"
,Fossil Fuel Combustion,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.4","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
,Coal,"1,546.5","1,547.2","1,568.5","1,631.6","1,637.9","1,659.9","1,751.5","1,796.0","1,827.2","1,835.4","1,926.4","1,868.8","1,888.9","1,930.0","1,942.0","1,982.8","1,952.7","1,986.3","1,958.4","1,740.2","1,827.3","1,722.4","1,511.7","1,571.3","1,568.6","1,351.4","1,242.0","1,207.1","1,152.9",973.5,788.2
,Natural Gas,175.4,179.0,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306.0,278.1,296.8,318.9,338.0,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545.0,505.6,577.4,616.0,634.3
,Petroleum,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98.0,53.3,53.0,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2
,Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Incineration of Waste,12.9,11.2,13.0,13.0,14.1,14.4,14.5,13.8,12.8,12.3,13.1,13.0,13.1,13.2,13.3,13.3,14.4,14.3,13.9,13.5,12.9,12.7,13.4,14.1,14.1,14.2,14.4,13.2,13.3,12.9,13.1
,Other Process Uses of Carbonates,3.1,2.8,2.8,2.6,2.7,3.7,4.0,3.8,3.9,4.3,2.9,3.0,3.1,2.4,3.3,3.7,4.3,3.9,3.4,4.3,5.3,4.9,4.5,5.4,6.3,6.1,5.4,4.9,3.7,4.9,4.9
,CH4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.1,1.2,1.3,1.2
,Stationary Sourcesa,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.1,1.2,1.3,1.2
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,21.0,20.9,21.1,21.9,22.4,22.6,23.2,23.7,24.3,24.4,25.7,25.6,26.8,28.0,29.1,30.4,30.2,30.7,30.4,28.3,30.5,29.3,26.9,29.0,29.3,26.9,26.6,25.2,24.8,21.5,20.1
,Stationary Sourcesa,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24.0,24.0,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30.0,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8,24.4,21.1,19.7
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,SF6,23.2,22.2,22.1,21.5,20.2,18.6,17.0,15.6,13.3,13.6,12.7,12.0,10.8,9.9,9.1,8.3,7.0,6.3,6.1,5.9,5.7,5.8,4.6,4.4,4.7,3.7,4.1,4.2,3.8,4.2,3.8
,Electrical Transmission and Distribution,23.2,22.2,22.1,21.5,20.2,18.6,17.0,15.6,13.3,13.6,12.7,12.0,10.8,9.9,9.1,8.3,7.0,6.3,6.1,5.9,5.7,5.8,4.6,4.4,4.7,3.7,4.1,4.2,3.8,4.2,3.8
,PFCs,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , NO ,+ ,+ ,+ ,+ ,+ 
,Electrical Transmission and Distribution,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , NO ,+ ,+ ,+ ,+ ,+ 
,Total,"1,880.5","1,874.8","1,890.1","1,965.6","1,990.3","2,006.9","2,079.4","2,144.9","2,231.4","2,244.8","2,351.1","2,311.4","2,326.8","2,358.0","2,390.8","2,456.7","2,401.2","2,467.2","2,414.1","2,198.3","2,314.0","2,211.8","2,073.8","2,092.3","2,092.5","1,952.7","1,860.5","1,780.6","1,799.8","1,651.0","1,482.2"
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes only stationary combustion emissions related to the generation of electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
