Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Percenta
,Industry,"2,326.50","2,287.10","2,348.80","2,326.10","2,365.10","2,374.20","2,422.60","2,438.50","2,425.20","2,376.60","2,383.50","2,282.70","2,247.40","2,249.70","2,298.70","2,251.60","2,260.80","2,246.40","2,173.40","1,922.20","2,054.90","2,042.30","2,004.60","2,057.70","2,039.30","1,987.30","1,917.50","1,926.40","1,983.10","1,964.70","1,813.70",30.30%
,Direct Emissions,"1,652.40","1,625.50","1,662.30","1,631.90","1,657.50","1,675.10","1,705.10","1,705.20","1,677.80","1,627.10","1,617.00","1,569.90","1,551.00","1,529.10","1,578.00","1,536.20","1,570.60","1,560.40","1,501.60","1,345.90","1,438.80","1,443.30","1,440.00","1,489.50","1,474.60","1,464.00","1,424.40","1,446.70","1,507.60","1,521.70","1,426.20",23.80%
,CO2,"1,163.30","1,144.40","1,183.10","1,168.00","1,193.30","1,212.20","1,241.10","1,250.40","1,223.60","1,196.10","1,192.70","1,166.30","1,150.00","1,139.50","1,183.10","1,143.60","1,168.40","1,152.90","1,095.30",962.4,"1,046.60","1,050.70","1,060.50","1,108.10","1,092.20","1,086.00","1,056.10","1,072.40","1,127.90","1,148.80","1,066.30",17.80%
,CH4,372.7,373.5,369.8,356.6,359.6,350.4,349.4,349.3,342.7,332.2,330.9,332.6,323.6,323.3,324.7,319.5,328.8,325.4,340,330.3,329.4,318.3,313.3,316.2,313.4,308.5,296.8,299.1,300.3,297,283.2,4.70%
,N2O,40.1,39.5,37.9,39.7,40.4,44.1,44.7,38.2,33.6,32.5,32.9,29.8,30.8,30.8,29.6,33.6,35.6,38.6,28.5,26.5,30.5,35.9,30.5,29.4,31,30,31.3,30.7,34.1,29.3,31,0.50%
,"HFCs, PFCs, SF6 and NF3",76.3,68,71.5,67.7,64.2,68.4,69.9,67.3,77.9,66.2,60.6,41.3,46.6,35.5,40.6,39.5,37.8,43.6,37.8,26.8,32.3,38.4,35.8,35.8,38,39.5,40.1,44.4,45.3,46.6,45.6,0.80%
,Electricity-Related,674.1,661.7,686.5,694.2,707.6,699.1,717.5,733.3,747.4,749.5,766.5,712.8,696.5,720.6,720.7,715.4,690.2,686.1,671.8,576.3,616.1,599,564.5,568.2,564.7,523.3,493.2,479.7,475.4,443.1,387.5,6.50%
,CO2,658.1,646.3,670.6,678.7,692.3,684.6,703.5,719.7,734.6,736.7,753.7,701,685,708.8,709,703.8,679.2,675.5,661.4,567.1,606.2,589.2,555.7,558.8,555.3,514.8,484.7,471.5,467.6,435.8,380.9,6.40%
,CH4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,+%
,N2O,7.5,7.4,7.6,7.7,8,7.9,8,8.1,8.2,8.1,8.4,7.9,8,8.6,8.8,8.9,8.7,8.5,8.5,7.4,8.1,7.9,7.3,7.9,7.9,7.2,7.1,6.8,6.6,5.8,5.3,0.10%
,SF6,8.3,7.8,8,7.6,7.2,6.5,5.9,5.3,4.4,4.5,4.1,3.7,3.2,3,2.7,2.4,2,1.7,1.7,1.5,1.5,1.6,1.3,1.2,1.3,1,1.1,1.1,1,1.1,1,+%
,Transportation,"1,529.60","1,483.40","1,543.00","1,580.00","1,635.10","1,670.20","1,726.40","1,753.00","1,795.50","1,866.60","1,917.10","1,889.20","1,929.50","1,937.70","1,970.50","1,980.30","1,980.50","1,979.60","1,875.70","1,800.90","1,806.90","1,773.00","1,753.00","1,755.90","1,790.00","1,797.80","1,832.40","1,849.60","1,879.50","1,879.10","1,632.40",27.30%
,Direct Emissions,"1,526.40","1,480.30","1,539.90","1,576.90","1,631.80","1,667.00","1,723.30","1,749.90","1,792.30","1,863.30","1,913.60","1,885.40","1,926.00","1,933.30","1,965.90","1,975.50","1,975.90","1,974.40","1,870.90","1,796.30","1,802.30","1,768.60","1,748.90","1,751.50","1,785.40","1,793.40","1,828.00","1,845.20","1,874.70","1,874.30","1,627.60",27.20%
,CO2,"1,480.80","1,432.90","1,488.40","1,519.60","1,565.40","1,592.00","1,638.30","1,655.10","1,691.00","1,758.60","1,804.30","1,773.50","1,813.90","1,822.10","1,855.50","1,868.70","1,869.10","1,871.00","1,769.20","1,697.00","1,707.20","1,680.50","1,668.70","1,678.80","1,717.40","1,729.20","1,768.00","1,789.50","1,822.00","1,822.60","1,580.10",26.40%
,CH4,5.7,5.6,5.6,5.5,5.5,5.4,5.2,5.1,4.8,4.3,4.1,3.8,3.5,3.3,3.2,2.9,2.9,2.7,2.5,2.4,2.3,2.3,2.1,1.9,1.7,1.7,1.6,1.5,1.4,1.4,1.2,+%
,N2O,39.9,41.8,44.7,46.7,48.5,50.1,51.3,52.3,52.7,50.2,49,46.1,44,41.7,39.1,34.5,33.6,29.6,27.3,25.8,24.7,23.4,21.1,19.3,17.5,16.2,15.1,14,12.9,13.5,11.3,0.20%
,HFCsb,+ ,0,1.2,5.1,12.4,19.6,28.4,37.4,43.8,50.2,56.2,62,64.5,66.2,68.2,69.3,70.3,71.2,71.9,71.1,68.1,62.4,57.1,51.6,48.8,46.3,43.3,40.1,38.5,36.7,35,0.60%
,Electricity-Related,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.3,3.5,3.7,3.5,4.4,4.6,4.8,4.6,5.2,4.8,4.6,4.6,4.4,4.1,4.4,4.6,4.4,4.3,4.4,4.8,4.9,4.8,0.10%
,CO2,3.1,3,3,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.4,4,4.3,4.5,4.3,4.2,4.3,4.7,4.8,4.7,0.10%
,CH4,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+%
,N2O,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
,SF6,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+%
,Residential,957.6,975.3,971.8,"1,024.20","1,014.80","1,028.80","1,091.30","1,079.70","1,083.10","1,104.40","1,168.40","1,158.90","1,185.90","1,215.20","1,213.10","1,247.20","1,184.60","1,238.20","1,226.00","1,160.20","1,216.20","1,159.60","1,050.60","1,112.00","1,132.30","1,054.00",999.9,964.3,"1,036.70",984.1,923.1,15.40%
,Direct Emissions,345.1,354.7,361.2,372.6,363.3,367.5,399.5,380.8,346.9,366.7,388,378.1,375.3,393.7,381.9,371,334.3,355.3,363.9,354.5,355.5,349.1,306.9,357.7,378.3,351.5,327.8,329.9,377.4,384.2,362,6.10%
,CO2,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8,5.30%
,CH4,5.2,5.4,5.7,5,4.8,4.7,5,4.1,3.6,3.8,4,3.7,3.7,3.9,4,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5,4.5,3.9,3.8,4.6,4.7,4.1,0.10%
,N2O,1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1,1,0.9,0.8,0.8,0.9,0.9,0.8,+%
,SF6,0.2,0.5,0.5,0.5,0.5,8.7,10,10.8,10.8,11.2,11.4,10.5,9.7,8.8,8,7.2,8.2,9.3,10.9,12.8,15.1,17.5,20,22.8,25.8,28.8,30.4,31.9,33.7,37.1,41.2,0.70%
,Electricity-Related ecElectricitylectricty-Related (Electricity),612.5,620.7,610.6,651.6,651.5,661.3,691.8,698.9,736.3,737.8,780.4,780.8,810.6,821.5,831.2,876.2,850.3,883,862.1,805.7,860.7,810.5,743.7,754.2,754.1,702.5,672.1,634.4,659.4,599.9,561.1,9.40%
,CO2,598,606.3,596.5,637.1,637.4,647.5,678.3,685.9,723.7,725.1,767.5,767.9,797.2,808,817.7,862.1,836.7,869.4,848.7,792.8,846.9,797.2,732,741.8,741.4,691.1,660.6,623.6,648.4,590.1,551.6,9.20%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,+%
,N2O,6.8,6.9,6.8,7.3,7.3,7.4,7.7,7.7,8,8,8.5,8.6,9.3,9.8,10.1,10.9,10.7,11,10.9,10.4,11.3,10.7,9.7,10.5,10.6,9.7,9.6,9,9.1,7.8,7.6,0.10%
,SF6,7.5,7.3,7.1,7.1,6.6,6.1,5.7,5.1,4.4,4.5,4.2,4.1,3.8,3.5,3.2,3,2.5,2.2,2.2,2.2,2.1,2.1,1.7,1.6,1.7,1.3,1.5,1.5,1.4,1.5,1.4,+%
,Commercial,982.7,989.9,984.5,"1,002.90","1,016.50","1,030.30","1,059.70","1,092.70","1,102.80","1,108.20","1,170.00","1,173.80","1,173.50","1,189.80","1,207.40","1,227.40","1,209.60","1,253.40","1,247.50","1,188.40","1,211.20","1,171.60","1,114.10","1,142.50","1,154.40","1,123.30","1,078.60","1,051.70","1,065.30","1,020.10",919.7,15.40%
,Direct Emissions,427.1,434.3,429.9,423.4,426.6,425.7,433.3,425.8,400.5,396.9,411.2,400.2,401.7,418,415.8,405.4,391.9,405.9,413.2,416.9,419.3,415.1,396,419.3,429.6,442.1,426.9,428.5,444.2,452.1,425.3,7.10%
,CO2,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232,245.8,250.7,226.8,3.80%
,CH4,181.9,184.3,184.1,182,181.5,176.5,172.8,163.2,153.5,146.8,143.5,138.9,137.4,139.7,137.2,134.3,131.9,129.7,127.4,124.9,125.6,116.9,118,114.3,113.9,112.7,109.2,110.3,112.3,113.9,109.6,1.80%
,N2O,16.9,17.3,17.8,18.1,18.7,18.8,19.3,19.4,19.9,20.6,21.1,20.9,21.1,21.6,21.9,21.8,22.2,22.4,22.3,22.1,22.4,22.6,23.3,23.6,23.8,24,24.6,25.2,25.3,25.3,25.4,0.40%
,HFCs,+ ,0,0,0.3,1.7,2.5,3.6,5.3,7,8.7,10,12,14.2,16.5,18.6,22.1,25.9,30.7,36,41.8,46.9,51.1,54.4,57.2,59.4,60.8,61.5,61,60.8,62.3,63.5,1.10%
,Electricity-Related,555.6,555.6,554.5,579.5,589.9,604.6,626.3,666.9,702.3,711.3,758.8,773.6,771.7,771.9,791.6,822,817.7,847.5,834.3,771.5,791.9,756.5,718.1,723.2,724.8,681.2,651.7,623.2,621.1,567.9,494.4,8.30%
,CO2,542.5,542.7,541.7,566.6,577.1,592,614.1,654.5,690.3,699.1,746.2,760.8,759,759.2,778.7,808.7,804.7,834.5,821.4,759.2,779.2,744.2,706.8,711.3,712.7,670.1,640.6,612.6,610.8,558.6,486,8.10%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,+%
,N2O,6.2,6.2,6.2,6.5,6.6,6.8,7,7.4,7.7,7.7,8.3,8.6,8.9,9.2,9.6,10.2,10.3,10.5,10.5,9.9,10.4,10,9.3,10,10.1,9.4,9.3,8.8,8.6,7.4,6.7,0.10%
,SF6,6.8,6.6,6.5,6.3,6,5.6,5.1,4.9,4.2,4.3,4.1,4,3.6,3.2,3,2.8,2.4,2.1,2.1,2.1,1.9,2,1.6,1.5,1.6,1.3,1.4,1.5,1.3,1.5,1.3,+%
,Agriculture,631.9,621.3,623.7,653.5,641.5,654.5,663.5,653.9,660.5,652.3,636.8,656.1,663.1,658.6,674.2,664.6,664.3,688.2,672.1,673.1,681.6,664.1,649.8,687.5,698.5,697.4,682.6,683.2,697.1,699.1,669.5,11.20%
,Direct Emissions,596.8,587.5,588.3,616.4,603.5,615.7,622.9,611.3,618.2,609.3,594.9,615.5,618.7,619,631.7,626.3,625.8,642.7,631,632.9,641,622.7,606.5,645.2,654.1,656.1,643.4,644.4,657.9,663.9,635.1,10.60%
,CO2,50.5,50.1,49.7,49.3,50.1,50.2,49.8,50.1,49.9,47.7,47.4,49,50.7,52.1,56.4,58.7,62.3,60.2,56.5,53.7,55.2,54.8,58.3,54.1,54.1,49.5,47.9,47.8,47.1,47.2,46.7,0.80%
,CH4,214.8,216.9,220.3,225.4,229.7,235.6,234.1,231.1,234.3,235.1,234.9,231.8,235.2,232.7,228.7,235.7,235.1,243.6,239.3,239.4,242.2,236.7,236.2,231.6,230.9,238.1,244.8,247.9,251.2,250.5,251,4.20%
,N2O,331.5,320.4,318.2,341.6,323.7,329.9,339.1,330.1,334,326.5,312.6,334.7,332.7,334.2,346.6,331.9,328.3,339,335.2,339.7,343.6,331.3,312,359.4,369.1,368.4,350.7,348.7,359.6,366.2,337.3,5.60%
,Electricity-Related (Electricity),35.2,33.8,35.4,37.1,38.1,38.8,40.6,42.6,42.2,43,41.9,40.5,44.4,39.6,42.5,38.3,38.5,45.5,41.1,40.2,40.6,41.4,43.3,42.4,44.4,41.3,39.2,38.8,39.2,35.2,34.4,0.60%
,CO2,34.3,33,34.6,36.3,37.3,38,39.8,41.8,41.5,42.2,41.3,39.9,43.7,39,41.8,37.7,37.9,44.8,40.5,39.6,40,40.7,42.7,41.7,43.6,40.6,38.5,38.1,38.5,34.6,33.8,0.60%
,CH4,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+%
,N2O,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,+%
,SF6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
