"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,NOx,"21,764","21,436","21,483","21,568","21,612","21,229","21,121","20,989","20,707","19,519","19,234","18,276","20,437","19,253","18,185","17,333","16,412","15,530","14,391","13,422","12,538","12,401","11,856","11,283","10,711","10,070","8,792","8,483","8,008","7,425","7,128"
,Energy,"21,106","20,824","20,882","20,964","20,941","20,586","20,444","20,331","20,029","18,825","18,476","17,546","19,728","18,588","17,438","16,602","15,709","14,817","13,779","12,798","12,004","11,796","11,266","10,736","10,198","9,429","8,268","7,883","7,456","6,962","6,471"
,IPPU,592,551,564,565,596,610,600,631,640,598,629,659,539,551,562,572,554,535,514,493,472,452,440,427,414,408,402,397,397,397,397
,LULUCF,52,49,23,20,59,22,59,11,22,80,113,55,153,94,168,142,135,162,81,115,44,139,135,103,81,217,107,188,139,50,244
,Agriculture,13,12,13,14,13,11,14,14,13,14,13,13,15,17,15,15,13,14,15,14,16,12,14,15,15,14,14,14,14,14,14
,Waste,+ ,1,1,5,4,1,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1
,CO,"132,759","128,063","122,480","117,932","114,883","109,164","105,120","100,842","99,160","96,585","97,065","90,721","82,810","77,495","80,358","74,553","67,291","65,447","57,018","52,053","48,348","49,533","49,085","48,254","44,565","51,898","39,981","43,688","39,531","34,170","43,799"
,Energy,"125,640","121,652","117,619","112,858","108,399","104,402","100,165","97,088","94,909","91,276","89,715","86,046","73,963","70,974","67,980","64,985","60,778","56,572","51,670","44,819","45,148","44,088","42,803","41,519","40,234","38,521","34,461","33,401","32,392","31,384","30,376"
,LULUCF,"2,673","3,980","3,887","3,987","3,979","3,965","3,018","3,154","3,164","2,203","2,262","2,384","1,745","1,687","1,630","7,642","1,499","1,441","1,382","1,331","1,280","1,229","1,238","1,247","1,251","1,163","4,099","8,936","5,789","1,436","12,074"
,IPPU,"4,129",2132,654,760,2191,535,1581,258,763,2769,4780,1967,6748,4413,10388,"1,557","4,692","7,088","3,606","5,568","1,532","3,908","4,702","5,124","2,702","11,865","1,075","1,007","1,007","1,007","1,007"
,Agriculture,315,297,318,325,311,260,351,337,318,325,301,316,348,415,353,363,315,341,354,330,384,303,335,357,370,342,340,339,338,337,336
,Waste,1,1,2,2,3,2,5,5,5,13,8,8,7,7,7,7,6,6,6,5,5,5,6,7,8,7,6,5,5,5,5
,NMVOCs,"20,923","20,718","20,500","20,130","19,837","19,512","17,444","17,252","16,662","16,048","15,505","15,323","15,272","14,636","13,984","13,309","13,004","12,699","11,994","11,685","11,746","11,837","11,630","11,423","11,214","10,679","9,855","9,483","9,310","9,136","8,963"
,Energy,"12,612","12,270","11,865","11,357","10,907","10,530","10,320","9,958","9,782","9,526","9,229","8,884","9,239","8,609","7,977","7,345","7,489","7,632","7,399","7,299","7,570","7,870","7,690","7,510","7,330","6,821","6,022","5,664","5,491","5,318","5,145"
,IPPU,"7,638","7,767","7,948","8,080","8,229","8,252","6,966","7,137","6,719","6,383","6,157","6,316","5,917","5,913","5,892","5,849","5,421","4,993","4,541","4,337","4,133","3,929","3,892","3,855","3,815","3,796","3,776","3,767","3,767","3,767","3,767"
,Waste,673,680,686,693,701,731,158,157,161,140,119,122,115,115,115,114,94,74,54,49,44,38,48,58,68,63,57,52,52,52,52
,Agriculture,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA
,LULUCF,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA
,SO2,"20,935","20,298","20,033","19,752","19,365","16,891","16,680","17,090","17,186","15,917","14,829","14,452","13,637","13,433","13,219","13,196","11,904","10,613","9,365","8,245","7,014","5,877","4,608","4,421","4,240","3,578","2,906","2,303","2,211","1,943","1,780"
,Energy,"19,628","19,109","18,844","18,583","18,223","15,772","15,725","16,102","16,193","14,932","13,796","13,404","12,786","12,582","12,366","12,364","11,120","9,875","8,674","7,591","6,396","5,273","4,031","3,872","3,742","3,096","2,439","1,794","1,701","1,433","1,270"
,IPPU,"1,307","1,188","1,188","1,161","1,137","1,118",954,986,992,985,"1,032","1,048",850,851,852,831,784,737,690,654,617,604,576,548,497,482,466,509,509,509,509
,Waste,+ ,1,1,8,6,1,1,1,1,1,1,1,1,1,1,1, -   ,1,1,1,0,0,1,1,1,1,1,1,1,1,1
,Agriculture,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA
,LULUCF,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ,NA,NA,NA,NA,NA
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source: (EPA 2021b) except for estimates from Forest Fires, Grassland Fires, and Field Burning of Agricultural Residues. Emission categories from EPA (2021b) are aggregated into IPCC categories following as shown in Table ES-3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
