Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"5,122,496","5,064,987","5,175,220","5,274,363","5,365,579","5,427,798","5,616,431","5,691,865","5,737,129","5,810,331","6,016,351","5,911,989","5,952,699","6,015,804","6,117,963","6,137,603","6,057,163","6,135,287","5,918,869","5,482,978","5,681,392","5,546,629","5,345,454","5,480,926","5,528,871","5,376,578","5,251,758","5,210,958","5,376,657","5,259,144","4,715,691"
,Fossil Fuel Combustion,"4,731,178","4,680,617","4,780,073","4,893,746","4,964,661","5,022,109","5,213,734","5,274,130","5,320,504","5,372,094","5,608,961","5,531,436","5,568,894","5,643,318","5,720,304","5,752,043","5,667,167","5,753,612","5,554,812","5,181,136","5,345,699","5,209,774","5,005,417","5,123,175","5,166,083","5,006,518","4,909,609","4,853,299","4,989,308","4,852,330","4,342,659"
,Transportation,"1,468,944","1,422,327","1,477,643","1,508,607","1,553,947","1,580,678","1,627,363","1,643,516","1,678,920","1,746,344","1,792,202","1,762,464","1,803,018","1,811,984","1,845,221","1,858,552","1,859,133","1,860,737","1,759,681","1,688,481","1,696,795","1,670,546","1,659,565","1,669,111","1,707,317","1,718,208","1,757,638","1,779,977","1,812,761","1,813,755","1,572,034"
,Electric Power Sector,"1,819,951","1,817,359","1,830,688","1,906,172","1,930,468","1,947,173","2,020,243","2,087,520","2,176,555","2,189,666","2,296,172","2,257,204","2,272,227","2,303,678","2,335,083","2,400,057","2,344,396","2,411,137","2,359,332","2,145,346","2,258,639","2,158,067","2,023,256","2,038,270","2,037,166","1,900,638","1,808,872","1,732,033","1,752,936","1,606,106","1,438,990"
,Industrial,"853,707","839,053","866,654","865,872","872,771","889,656","922,467","917,119","890,779","843,408","869,947","867,505","853,265","852,757","876,199","851,522","875,780","867,104","819,755","743,210","796,436","797,138","806,852","834,402","814,573","797,347","792,743","790,402","814,096","816,107","766,317"
,Residential,"338,578","347,719","353,989","366,091","357,050","353,134","383,474","365,033","331,610","350,907","371,703","363,053","361,082","380,126","369,060","358,898","321,726","341,171","347,889","336,424","334,751","326,152","282,368","329,112","346,541","317,310","292,773","293,410","338,218","341,400","315,846"
,Commercial,"228,298","232,665","228,049","222,990","224,699","227,787","237,558","237,819","220,118","220,730","236,531","228,456","229,007","240,136","237,976","227,130","211,806","223,089","227,511","228,044","224,459","224,463","200,309","224,219","232,423","244,604","231,547","231,999","245,838","250,703","226,815"
,U.S. Territories,"21,700","21,494","23,051","24,014","25,725","23,681","22,627","23,124","22,521","21,039","42,407","52,754","50,294","54,637","56,766","55,883","54,328","50,373","40,643","39,632","34,618","33,407","33,067","28,061","28,062","28,411","26,036","25,478","25,459","24,259","22,657"
,Non-Energy Use of Fuels,"112,175","117,439","123,877","112,729","123,348","120,744","117,823","128,669","133,667","157,028","128,059","122,341","125,008","119,020","136,492","128,920","126,760","115,613","111,175","93,987","96,689","90,372","89,931","101,625","97,167","108,152","99,505","112,616","128,871","126,776","120,987"
,Cement Production,"33,484","32,736","32,993","34,838","36,310","37,075","37,309","38,561","39,461","40,239","41,445","41,613","43,164","43,349","45,886","46,194","46,851","45,509","41,416","29,615","31,449","32,208","35,270","36,369","39,439","39,907","39,439","40,324","38,971","40,896","40,688"
,Iron and Steel Production & Metallurgical Coke Production,"104,737","95,214","95,992","91,646","94,526","98,396","96,358","97,594","91,135","89,015","90,460","79,783","75,774","72,655","72,238","70,076","72,769","74,524","69,932","45,066","58,555","62,950","57,253","55,182","58,184","47,942","43,621","40,566","42,627","43,090","37,731"
,Natural Gas Systems,"31,894","31,007","30,897","30,637","30,531","28,534","26,674","26,412","24,221","24,885","25,130","24,840","25,276","24,835","24,946","24,945","25,450","25,769","26,416","25,501","25,969","27,624","26,988","28,702","29,312","29,121","29,780","31,145","32,407","38,740","35,353"
,Petroleum Systems,"9,600","9,898","9,892","9,899","10,105","10,591","11,026","11,443","11,368","10,801","10,929","11,022","11,149","11,404","11,689","11,994","12,188","12,426","13,336","13,528","15,412","18,018","22,239","26,291","30,874","32,519","21,922","25,027","37,306","46,686","30,156"
,Petrochemical Production,"21,611","23,053","23,660","24,606","26,573","27,949","29,096","30,493","30,851","32,301","31,571","27,630","28,676","28,452","30,671","27,383","27,627","28,072","24,744","23,800","27,262","26,338","26,501","26,395","26,496","28,062","28,110","28,890","29,314","30,702","30,011"
,Incineration of Waste,"12,937","11,201","13,024","13,001","14,072","14,366","14,547","13,764","12,818","12,343","13,055","13,023","13,058","13,202","13,277","13,283","14,374","14,272","13,939","13,489","12,853","12,741","13,393","14,135","14,058","14,167","14,356","13,161","13,339","12,948","13,133"
,Ammonia Production,"13,047","13,279","13,683","13,205","14,151","13,541","13,836","14,028","14,143","12,948","12,171","9,223","10,487","8,802","9,554","9,177","8,764","9,060","8,397","8,434","9,170","8,211","8,931","9,461","9,359","10,616","10,245","11,112","12,163","12,272","12,717"
,Lime Production,"11,700","11,539","11,927","12,279","12,736","13,538","14,242","14,498","14,792","14,425","14,282","13,722","13,169","13,907","14,613","14,552","15,243","14,721","14,505","11,411","13,381","13,982","13,785","14,028","14,210","13,342","12,630","12,882","13,106","12,112","11,299"
,Other Process Uses of Carbonates,"6,233","5,610","5,554","5,170","5,451","7,348","7,956","7,691","7,848","8,636","5,763","5,979","6,280","4,868","6,691","7,459","8,560","7,867","6,701","8,652","10,615","9,721","8,938","10,897","12,581","12,144","10,813","9,869","7,351","9,848","9,794"
,Urea Consumption for Non-Agricultural Purposes,"3,784","3,501","3,863","4,568","4,268","4,255","3,859","3,931","4,844","4,650","4,231","4,072","3,700","3,558","3,673","3,653","3,519","4,944","4,065","3,427","4,730","5,093","4,820","4,556","1,809","4,651","5,330","5,182","6,030","6,044","5,983"
,Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,512","4,655","4,679","4,897","5,019","5,140","5,275"
,Carbon Dioxide Consumption,"1,472","1,469","1,463","1,470","1,476","1,477","1,486","1,484","1,481","1,479","1,478",894,"1,047","1,365","1,259","1,375","1,758","1,922","1,834","1,795","4,425","4,083","4,019","4,188","4,471","4,940","4,640","4,580","4,130","4,870","4,970"
,Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,907","3,609","3,737","3,081","3,080","2,248","2,413","2,382"
,Coal Mining,"4,606","4,425","4,425","3,881","4,382","4,353","4,496","4,619","4,608","4,362","4,165","4,273","4,036","3,981","4,144","4,170","4,100","4,027","4,092","3,799","3,850","3,936","3,860","3,841","3,978","3,464","2,848","3,067","3,067","2,951","2,169"
,Glass Production,"2,291","2,176","2,270","2,302","2,374","2,363","2,396","2,499","2,560","2,601","2,576","2,451","2,462","2,416","2,452","2,432","2,428","2,332","2,233","1,921","2,073","2,074","2,023","2,030","2,024","2,023","2,119","2,011","1,989","1,938","1,857"
,Aluminum Production,"6,831","6,945","6,804","6,211","5,539","5,659","5,987","6,019","6,191","6,286","6,086","4,382","4,491","4,502","4,231","4,142","3,801","4,251","4,477","3,009","2,722","3,292","3,439","3,255","2,833","2,767","1,334","1,205","1,451","1,880","1,748"
,Soda Ash Production,"1,431","1,431","1,451","1,412","1,422","1,607","1,587","1,665","1,607","1,548","1,529","1,500","1,470","1,509","1,607","1,655","1,626","1,675","1,733","1,470","1,548","1,607","1,665","1,694","1,685","1,714","1,723","1,753","1,714","1,792","1,461"
,Ferroalloy Production,"2,152","1,929","1,957","1,904","2,021","2,036","2,133","2,226","2,218","2,185","1,893","1,459","1,349","1,305","1,419","1,392","1,505","1,552","1,599","1,469","1,663","1,735","1,903","1,785","1,914","1,960","1,796","1,975","2,063","1,598","1,377"
,Titanium Dioxide Production,"1,195","1,211","1,392","1,416","1,526","1,526","1,514","1,677","1,662","1,693","1,752","1,697","1,824","1,839","2,064","1,755","1,836","1,930","1,809","1,648","1,769","1,729","1,528","1,715","1,688","1,635","1,662","1,688","1,541","1,474","1,340"
,Zinc Production,632,809,843,931,918,865,924,971,885,865,944,713,746,"1,096","1,030","1,030","1,030","1,024","1,158",943,"1,182","1,286","1,485","1,381",909,886,838,900,999,"1,026","1,008"
,Phosphoric Acid Production,"1,529","1,398","1,509","1,304","1,519","1,513","1,551","1,544","1,593","1,539","1,382","1,264","1,338","1,382","1,395","1,342","1,160","1,203","1,132",977,"1,087","1,171","1,118","1,149","1,037",999,998,"1,025",937,909,938
,Lead Production,516,485,488,486,507,553,563,585,588,587,594,563,561,574,546,553,560,562,547,525,542,538,527,546,459,473,500,513,513,527,495
,Carbide Production and Consumption,243,156,184,165,194,198,225,237,263,193,200,169,178,197,218,213,201,190,171,142,177,167,154,165,169,176,170,181,184,175,154
,Abandoned Oil and Gas Wells,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Magnesium Production and Processing,129,128,128,128,139,147,147,147,147,147,147,109,3,3,3,3,3,3,2,1,2,3,2,2,2,3,3,3,2,1,1
,"Wood Biomass, Ethanol, and Biodiesel Consumptiona","219,413","220,165","230,609","225,797","232,298","236,907","241,332","235,579","218,236","221,493","227,435","203,427","204,703","209,935","225,419","230,700","236,298","244,574","257,532","253,936","290,647","296,152","289,598","315,545","323,187","317,742","316,853","312,717","319,805","317,231","291,613"
,International Bunker Fuelsb,"103,634","117,740","108,002","97,965","96,812","98,609","99,861","107,063","110,594","102,834","101,895","93,890","94,600","98,484","108,610","113,328","114,269","115,463","114,458","106,511","117,101","111,746","105,889","99,840","103,488","110,980","116,682","120,192","122,179","116,132","69,638"
,CH4c,"31,233","31,449","31,438","30,999","31,261","30,927","30,678","30,134","29,581","28,912","28,723","28,455","28,170","28,153","27,947","27,898","28,131","28,252","28,577","28,100","28,212","27,191","26,983","26,803","26,643","26,669","26,304","26,550","26,844","26,753","26,017"
,Enteric Fermentation,"6,539","6,548","6,738","6,835","6,958","7,114","7,071","6,934","6,858","6,864","6,793","6,752","6,764","6,768","6,642","6,722","6,833","6,947","6,921","6,884","6,816","6,727","6,640","6,595","6,519","6,639","6,853","6,998","7,028","7,046","7,007"
,Natural Gas Systems,"7,821","7,967","7,911","7,901","7,966","7,645","7,556","7,596","7,425","7,240","7,281","7,379","7,246","7,186","7,184","7,100","7,285","7,194","7,290","6,938","6,743","6,644","6,621","6,715","6,599","6,693","6,609","6,662","6,871","6,885","6,596"
,Landfills,"7,063","7,155","7,143","7,064","7,053","6,868","6,733","6,358","5,979","5,715","5,587","5,415","5,364","5,459","5,365","5,262","5,176","5,091","5,007","4,924","4,964","4,616","4,664","4,520","4,504","4,447","4,318","4,368","4,467","4,545","4,373"
,Manure Management,"1,394","1,463","1,408","1,475","1,581","1,631","1,599","1,674","1,809","1,811","1,823","1,882","1,915","1,924","1,859","1,960","1,960","2,136","2,065","2,022","2,091","2,106","2,180","2,095","2,078","2,216","2,285","2,300","2,375","2,348","2,383"
,Coal Mining,"3,860","3,730","3,628","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,286","2,846","2,649","2,585","2,583","2,449","2,154","2,191","2,109","1,895","1,648"
,Petroleum Systems,"1,912","1,912","1,880","1,870","1,826","1,811","1,848","1,851","1,771","1,701","1,698","1,709","1,669","1,714","1,722","1,655","1,781","1,770","1,821","1,632","1,678","1,779","1,803","1,887","1,888","1,727","1,616","1,621","1,544","1,615","1,609"
,Wastewater Treatment,812,824,840,840,848,839,831,834,835,840,836,825,825,818,810,806,802,799,796,778,771,772,770,757,750,755,748,740,732,723,730
,Rice Cultivation,640,645,646,684,629,660,670,615,683,707,759,617,708,589,624,720,590,637,563,649,757,612,606,551,616,648,631,596,623,602,630
,Stationary Combustion,344,351,362,339,331,331,344,311,285,291,308,289,292,302,310,313,294,310,318,318,338,331,302,348,354,339,315,307,344,351,317
,Abandoned Oil and Gas Wells,261,263,265,266,268,269,270,271,271,272,272,274,274,274,273,273,273,272,272,272,273,272,272,273,273,274,275,276,277,279,276
,Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257,247,237,231
,Composting,15,17,20,25,31,35,40,44,48,53,60,60,61,69,74,75,75,79,80,75,73,75,77,81,84,85,91,98,90,91,91
,Mobile Combustion,259,254,255,251,250,247,242,236,226,205,197,188,179,172,168,161,159,150,142,137,136,133,124,119,112,109,105,102,99,99,88
,Field Burning of Agricultural Residues,15,14,15,15,15,12,17,16,15,15,14,15,17,20,17,17,15,16,17,16,18,14,16,17,18,18,17,17,17,17,17
,Petrochemical Production,9,9,9,11,12,12,13,14,14,13,12,8,8,8,7,3,2,2,2,2,2,2,3,3,5,7,10,10,12,13,13
,Anaerobic Digestion at Biogas Facilities,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,7,7,6,6,6,6
,Carbide Production and Consumption,1,+ ,1,+ ,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Ferroalloy Production,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,+ ,1,1,1,1,1,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsb,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4,3
,N2Oc,"1,512","1,480","1,479","1,574","1,526","1,566","1,606","1,559","1,562","1,527","1,484","1,537","1,532","1,535","1,568","1,521","1,513","1,548","1,492","1,488","1,519","1,488","1,391","1,549","1,583","1,565","1,507","1,492","1,536","1,533","1,430"
,Agricultural Soil Management,"1,060","1,023","1,015","1,094","1,032","1,051","1,082","1,052","1,064","1,037",989,"1,064","1,056","1,060","1,104","1,053","1,037","1,074","1,062","1,078","1,091","1,049",983,"1,142","1,175","1,172","1,110","1,102","1,137","1,159","1,061"
,Wastewater Treatment,56,57,58,59,61,61,62,62,64,66,67,66,67,68,68,68,70,70,69,69,70,71,73,74,74,75,76,78,79,79,79
,Stationary Combustion,84,84,85,87,89,90,92,94,95,95,100,99,103,107,111,115,114,116,114,106,115,110,102,110,111,102,101,95,95,84,78
,Manure Management,47,47,48,47,49,51,50,51,52,53,55,54,55,56,54,55,57,57,57,57,57,58,58,58,58,60,62,64,65,65,66
,Mobile Combustion,150,156,166,173,179,185,189,193,194,185,182,174,167,161,153,139,140,122,114,108,104,100,92,86,80,74,71,68,64,67,58
,Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31,32,34,31
