Table 2-3:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by IPCC Sector/Category (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPCC Sector/Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Energy,"5,341.10","5,295.7 ","5,402.7 ","5,493.0 ","5,580.8 ","5,626.7 ","5,815.1 ","5,885.8 ","5,927.1 ","5,987.7 ","6,195.6 ","6,110.6 ","6,140.9 ","6,208.2 ","6,303.7 ","6,319.8 ","6,243.0 ","6,310.5 ","6,120.1 ","5,714.2 ","5,884.1 ","5,732.1 ","5,520.5 ","5,661.1 ","5,700.3 ","5,543.1 ","5,413.1 ","5,372.7 ","5,539.5 ","5,409.8 ","4,854.7 "
,Fossil Fuel Combustion,"4,731.20","4,680.6 ","4,780.1 ","4,893.7 ","4,964.7 ","5,022.1 ","5,213.7 ","5,274.1 ","5,320.5 ","5,372.1 ","5,609.0 ","5,531.4 ","5,568.9 ","5,643.3 ","5,720.3 ","5,752.0 ","5,667.2 ","5,753.6 ","5,554.8 ","5,181.1 ","5,345.7 ","5,209.8 ","5,005.4 ","5,123.2 ","5,166.1 ","5,006.5 ","4,909.6 ","4,853.3 ","4,989.3 ","4,852.3 ","4,342.7 "
,Natural Gas Systems,227.4,230.2 ,228.7 ,228.2 ,229.7 ,219.7 ,215.6 ,216.3 ,209.8 ,205.9 ,207.2 ,209.3 ,206.4 ,204.5 ,204.6 ,202.5 ,207.6 ,205.6 ,208.7 ,199.0 ,194.6 ,193.7 ,192.5 ,196.6 ,194.3 ,196.5 ,195.0 ,197.7 ,204.2 ,210.9 ,200.3 
,Non-Energy Use of Fuels,112.2,117.4 ,123.9 ,112.7 ,123.3 ,120.7 ,117.8 ,128.7 ,133.7 ,157.0 ,128.1 ,122.3 ,125.0 ,119.0 ,136.5 ,128.9 ,126.8 ,115.6 ,111.2 ,94.0 ,96.7 ,90.4 ,89.9 ,101.6 ,97.2 ,108.2 ,99.5 ,112.6 ,128.9 ,126.8 ,121.0 
,Petroleum Systems,57.4,57.7 ,56.9 ,56.7 ,55.8 ,55.9 ,57.2 ,57.7 ,55.7 ,53.3 ,53.4 ,53.8 ,52.9 ,54.3 ,54.8 ,53.4 ,56.7 ,56.7 ,58.9 ,54.4 ,57.4 ,62.5 ,67.3 ,73.5 ,78.1 ,75.7 ,62.3 ,65.6 ,75.9 ,87.1 ,70.4 
,Coal Mining,101.1,97.7 ,95.1 ,81.1 ,82.0 ,80.8 ,80.5 ,80.1 ,80.3 ,75.6 ,72.4 ,72.3 ,67.8 ,68.0 ,69.4 ,68.3 ,69.7 ,68.8 ,79.7 ,83.7 ,86.0 ,75.1 ,70.1 ,68.5 ,68.6 ,64.7 ,56.7 ,57.9 ,55.8 ,50.3 ,43.4 
,Stationary Combustiona,33.7,33.7 ,34.3 ,34.5 ,34.8 ,35.0 ,36.1 ,35.7 ,35.4 ,35.6 ,37.5 ,36.7 ,37.8 ,39.3 ,40.9 ,42.2 ,41.4 ,42.2 ,42.0 ,39.5 ,42.6 ,41.2 ,37.9 ,41.4 ,41.8 ,39.0 ,37.9 ,36.1 ,36.8 ,33.7 ,31.2 
,Mobile Combustiona,51.1,52.9 ,55.8 ,57.7 ,59.7 ,61.2 ,62.4 ,63.3 ,63.5 ,60.4 ,59.1 ,56.5 ,54.4 ,52.2 ,49.9 ,45.4 ,45.6 ,40.1 ,37.4 ,35.5 ,34.5 ,33.0 ,30.5 ,28.7 ,26.7 ,24.8 ,23.7 ,22.7 ,21.6 ,22.4 ,19.6 
,Incineration of Waste,13.4,11.6 ,13.5 ,13.4 ,14.5 ,14.8 ,15.0 ,14.2 ,13.2 ,12.7 ,13.4 ,13.4 ,13.4 ,13.6 ,13.7 ,13.7 ,14.8 ,14.7 ,14.3 ,13.9 ,13.2 ,13.2 ,13.8 ,14.6 ,14.5 ,14.6 ,14.8 ,13.6 ,13.8 ,13.4 ,13.5 
,Abandoned Oil and Gas Wells,6.5,6.6 ,6.6 ,6.7 ,6.7 ,6.7 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.8 ,6.9 ,6.9 ,6.9 ,7.0 ,6.9 
