Table 2-4:  Emissions from Energy (MMT CO2 Eq.)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,4902.4,4854.6,4962.2,5063.9,5147.1,5200.7,5388.3,5459.0,5507.2,5581.5,5790.3,5706.9,5747.4,5815.8,5910.9,5935.4,5850.1,5925.7,5723.8,5331.5,5500.5,5362.5,5161.8,5297.8,5341.5,5194.0,5078.0,5038.3,5204.3,5080.4,4544.5
,Fossil Fuel Combustion,4731.2,4680.6,4780.1,4893.8,4964.7,5022.1,5213.7,5274.1,5320.5,5372.1,5609.0,5531.4,5568.9,5643.3,5720.3,5752.0,5667.2,5753.6,5554.8,5181.1,5345.7,5209.8,5005.4,5123.2,5166.1,5006.5,4909.6,4853.3,4989.3,4852.3,4342.7
,Transportation,1468.9,1422.3,1477.6,1508.6,1554.0,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803.0,1812.0,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.8,1670.6,1659.6,1669.1,1707.3,1718.2,1757.6,1780.0,1812.8,1813.8,1572.0
,Electricity Generation,1820.0,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.4,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732.0,1752.9,1606.1,1439.0
,Industrial,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
,Residential,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8
,Commercial,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,228.0,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232.0,245.8,250.7,226.8
,U.S. Territories,21.7,21.5,23.1,24.0,25.7,23.7,22.6,23.1,22.5,21.0,42.4,52.8,50.3,54.6,56.8,55.9,54.3,50.4,40.6,39.6,34.6,33.4,33.1,28.1,28.1,28.4,26.0,25.5,25.5,24.3,22.7
,Non-Energy Use of Fuels,112.2,117.4,123.9,112.7,123.3,120.7,117.8,128.7,133.7,157.0,128.1,122.3,125.0,119.0,136.5,128.9,126.8,115.6,111.2,94.0,96.7,90.4,89.9,101.6,97.2,108.2,99.5,112.6,128.9,126.8,121.0
,Natural Gas Systems,31.9,31.0,30.9,30.6,30.5,28.5,26.7,26.4,24.2,24.9,25.1,24.8,25.3,24.8,24.9,24.9,25.4,25.8,26.4,25.5,26.0,27.6,27.0,28.7,29.3,29.1,29.8,31.1,32.4,38.7,35.4
,Petroleum Systems,9.6,9.9,9.9,9.9,10.1,10.6,11.0,11.4,11.4,10.8,10.9,11.0,11.1,11.4,11.7,12.0,12.2,12.4,13.3,13.5,15.4,18.0,22.2,26.3,30.9,32.5,21.9,25.0,37.3,46.7,30.2
,Incineration of Waste,12.9,11.2,13.0,13.0,14.1,14.4,14.5,13.8,12.8,12.3,13.1,13.0,13.1,13.2,13.3,13.3,14.4,14.3,13.9,13.5,12.9,12.7,13.4,14.1,14.1,14.2,14.4,13.2,13.3,12.9,13.1
,Coal Mining,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4.0,4.0,4.1,4.2,4.1,4.0,4.1,3.8,3.9,3.9,3.9,3.8,4.0,3.5,2.8,3.1,3.1,3.0,2.2
,Abandoned Oil and Gas Wells,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Biomass-Wood a,215.2,215.3,225.0,219.3,225.0,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.6,215.5,214.9,208.3,227.3,233.8,224.7,216.0,211.9,220.0,217.6,202.1
,Biofuels-Ethanol a,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16.0,20.1,22.9,31.0,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1,78.9,81.2,82.1,81.9,82.6,71.8
,International Bunker Fuelsb,103.6,117.7,108.0,98.0,96.8,98.6,99.9,107.1,110.6,102.8,101.9,93.9,94.6,98.5,108.6,113.3,114.3,115.5,114.5,106.5,117.1,111.7,105.9,99.8,103.5,111.0,116.7,120.2,122.2,116.1,69.6
,Biofuels-Biodiesel a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3.0,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7
,CH4,368.6,369.2,365.4,351.2,353.3,343.8,342.5,341.1,333.4,322.2,320.9,321.9,312.6,312.3,313.6,308.3,316.9,313.5,328.0,318.7,317.9,306.6,300.5,304.4,301.6,296.2,283.5,285.4,287.3,284.0,269.1
