Table 2-5:  CO2 Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Transportation,"1,472.0","1,425.3","1,480.6","1,511.6","1,557.1","1,583.7","1,630.4","1,646.6","1,682.1","1,749.6","1,795.6","1,766.1","1,806.5","1,816.3","1,849.8","1,863.3","1,863.7","1,865.8","1,764.4","1,693.0","1,701.3","1,674.9","1,663.5","1,673.4","1,711.8","1,722.5","1,761.8","1,784.3","1,817.4","1,818.5","1,576.7"
,Combustion,"1,468.9","1,422.3","1,477.6","1,508.6","1,554.0","1,580.7","1,627.4","1,643.5","1,678.9","1,746.3","1,792.2","1,762.5","1,803.0","1,812.0","1,845.2","1,858.6","1,859.1","1,860.7","1,759.7","1,688.5","1,696.8","1,670.6","1,659.6","1,669.1","1,707.3","1,718.2","1,757.6","1,780.0","1,812.8","1,813.8","1,572.0"
,Electricity,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4.0,4.3,4.4,4.3,4.2,4.3,4.7,4.7,4.7
,Industrial,"1,540.1","1,513.2","1,565.9","1,575.1","1,596.1","1,605.6","1,659.0","1,672.3","1,661.0","1,616.4","1,659.5","1,603.1","1,576.8","1,595.5","1,621.7","1,587.8","1,587.2","1,582.0","1,516.5","1,344.9","1,437.5","1,421.9","1,399.9","1,429.2","1,407.5","1,346.9","1,310.3","1,294.8","1,315.3","1,281.4","1,175.8"
,Combustion,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
,Electricity,686.4,674.2,699.2,709.2,723.3,716.0,736.5,755.2,770.2,773.0,789.5,735.6,723.5,742.7,745.5,736.3,711.4,714.9,696.7,601.7,641.0,624.8,593.1,594.8,593.0,549.5,517.6,504.4,501.2,465.3,409.5
,Residential,931.3,949.3,945.4,998.0,989.0,994.7,"1,055.6","1,045.2","1,049.8","1,070.5","1,133.9","1,125.5","1,152.7","1,182.7","1,180.9","1,214.9","1,151.9","1,204.1","1,190.4","1,122.7","1,174.9","1,116.9","1,007.9","1,063.9","1,080.6","1,001.1",946.2,910.5,980.4,925.0,860.6
,Combustion,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8
,Electricity,592.7,601.6,591.4,631.9,631.9,641.6,672.1,680.2,718.2,719.6,762.2,762.5,791.6,802.6,811.9,856.0,830.1,862.9,842.6,786.3,840.1,790.8,725.6,734.7,734.1,683.8,653.5,617.1,642.2,583.6,544.8
,Commercial,766.0,771.2,765.2,785.0,796.9,814.4,846.1,886.9,905.1,914.5,977.6,983.9,982.7,994.2,"1,011.2","1,030.1","1,010.1","1,051.3","1,042.9",981.0,997.5,962.6,900.9,928.7,938.1,907.7,865.2,838.2,850.7,803.2,706.8
,Combustion,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,228.0,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232.0,245.8,250.7,226.8
,Electricity,537.7,538.5,537.1,562.0,572.1,586.6,608.5,649.1,685.0,693.8,741.0,755.5,753.6,754.1,773.2,803.0,798.3,828.2,815.4,752.9,773.0,738.2,700.6,704.5,705.6,663.0,633.6,606.2,604.9,552.5,480.0
,U.S. Territoriesa,21.7,21.5,23.1,24.0,25.7,23.7,22.6,23.1,22.5,21.0,42.4,52.8,50.3,54.6,56.8,55.9,54.3,50.4,40.6,39.6,34.6,33.4,33.1,28.1,28.1,28.4,26.0,25.5,25.5,24.3,22.7
,Total,"4,731.2","4,680.6","4,780.1","4,893.8","4,964.7","5,022.1","5,213.7","5,274.1","5,320.5","5,372.1","5,609.0","5,531.4","5,568.9","5,643.3","5,720.3","5,752.0","5,667.2","5,753.6","5,554.8","5,181.1","5,345.7","5,209.8","5,005.4","5,123.2","5,166.1","5,006.5","4,909.6","4,853.3","4,989.3","4,852.3","4,342.7"
,Electric Power,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.4","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
,"a Fuel consumption by U.S. Territories (i.e., American Samoa, Guam, Puerto Rico, U.S. Virgin Islands, Wake Island, and other outlying U.S. Pacific Islands) is included in this report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Combustion-related emissions from electric power are allocated based on aggregate national electricity use by each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
