Table 2-9:  Emissions from Waste (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CH4,197.3,199.9,200.1,198.2,198.3,193.6,190.1,180.9,171.6,165.2,162.1,157.6,156.3,158.7,156.3,153.6,151.4,149.3,147.1,144.5,145.3,136.7,137.9,134.1,133.6,132.3,129.1,130.3,132.4,134.1,130.0
,Landfills,176.6,178.9,178.6,176.6,176.3,171.7,168.3,158.9,149.5,142.9,139.7,135.4,134.1,136.5,134.1,131.5,129.4,127.3,125.2,123.1,124.1,115.4,116.6,113.0,112.6,111.2,107.9,109.2,111.7,113.6,109.3
,Wastewater Treatment,20.3,20.6,21.0,21.0,21.2,21.0,20.8,20.9,20.9,21.0,20.9,20.6,20.6,20.5,20.3,20.1,20.1,20.0,19.9,19.5,19.3,19.3,19.3,18.9,18.7,18.9,18.7,18.5,18.3,18.1,18.3
,Composting,0.4,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.5,1.5,1.7,1.9,1.9,1.9,2.0,2.0,1.9,1.8,1.9,1.9,2.0,2.1,2.1,2.3,2.5,2.3,2.3,2.3
,Anaerobic Digestion at Biogas Facilities,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,N2O,16.9,17.3,17.8,18.1,18.8,18.9,19.4,19.5,20.1,20.8,21.2,21.0,21.3,21.7,22.1,22.0,22.4,22.6,22.4,22.3,22.5,22.8,23.5,23.8,24.0,24.1,24.8,25.4,25.5,25.4,25.6
,Wastewater Treatment,16.6,17.0,17.4,17.6,18.1,18.2,18.5,18.6,19.0,19.6,19.9,19.6,19.9,20.1,20.4,20.3,20.7,20.8,20.7,20.6,20.9,21.1,21.8,22.0,22.1,22.2,22.8,23.2,23.5,23.4,23.5
,Composting,0.3,0.4,0.4,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.7,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.9,1.9,2.0,2.2,2.0,2.0,2.0
,Total,214.2,217.3,217.9,216.4,217.1,212.5,209.5,200.5,191.7,186.1,183.3,178.5,177.6,180.4,178.3,175.6,173.8,171.9,169.6,166.8,167.8,159.4,161.4,157.9,157.6,156.5,153.9,155.7,157.9,159.6,155.6
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
