"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"4,902.4","4,854.6","4,962.2","5,063.9","5,147.1","5,200.7","5,388.3","5,459.0","5,507.2","5,581.5","5,790.3","5,706.9","5,747.4","5,815.8","5,910.9","5,935.4","5,850.1","5,925.7","5,723.8","5,331.5","5,500.5","5,362.5","5,161.8","5,297.8","5,341.5","5,194.0","5,078.0","5,038.3","5,204.3","5,080.4","4,544.5"
,Fossil Fuel Combustion,"4,731.2","4,680.6","4,780.1","4,893.8","4,964.7","5,022.1","5,213.7","5,274.1","5,320.5","5,372.1","5,609.0","5,531.4","5,568.9","5,643.3","5,720.3","5,752.0","5,667.2","5,753.6","5,554.8","5,181.1","5,345.7","5,209.8","5,005.4","5,123.2","5,166.1","5,006.5","4,909.6","4,853.3","4,989.3","4,852.3","4,342.7"
,  Transportation,"1,468.9","1,422.3","1,477.6","1,508.6","1,554.0","1,580.7","1,627.4","1,643.5","1,678.9","1,746.3","1,792.2","1,762.5","1,803.0","1,812.0","1,845.2","1,858.6","1,859.1","1,860.7","1,759.7","1,688.5","1,696.8","1,670.6","1,659.6","1,669.1","1,707.3","1,718.2","1,757.6","1,780.0","1,812.8","1,813.8","1,572.0"
,  Electricity Generation,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.4","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
,  Industrial,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
,  Residential,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8
,  Commercial,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232,245.8,250.7,226.8
,  U.S. Territories,21.7,21.5,23.1,24,25.7,23.7,22.6,23.1,22.5,21,42.4,52.8,50.3,54.6,56.8,55.9,54.3,50.4,40.6,39.6,34.6,33.4,33.1,28.1,28.1,28.4,26,25.5,25.5,24.3,22.7
,Non-Energy Use of Fuels,112.2,117.4,123.9,112.7,123.3,120.7,117.8,128.7,133.7,157,128.1,122.3,125,119,136.5,128.9,126.8,115.6,111.2,94,96.7,90.4,89.9,101.6,97.2,108.2,99.5,112.6,128.9,126.8,121
,Natural Gas Systems,31.9,31,30.9,30.6,30.5,28.5,26.7,26.4,24.2,24.9,25.1,24.8,25.3,24.8,24.9,24.9,25.4,25.8,26.4,25.5,26,27.6,27,28.7,29.3,29.1,29.8,31.1,32.4,38.7,35.4
,Petroleum Systems,9.6,9.9,9.9,9.9,10.1,10.6,11,11.4,11.4,10.8,10.9,11,11.1,11.4,11.7,12,12.2,12.4,13.3,13.5,15.4,18,22.2,26.3,30.9,32.5,21.9,25,37.3,46.7,30.2
,Incineration of Waste,12.9,11.2,13,13,14.1,14.4,14.5,13.8,12.8,12.3,13.1,13,13.1,13.2,13.3,13.3,14.4,14.3,13.9,13.5,12.9,12.7,13.4,14.1,14.1,14.2,14.4,13.2,13.3,12.9,13.1
,Coal Mining,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4,4,4.1,4.2,4.1,4,4.1,3.8,3.9,3.9,3.9,3.8,4,3.5,2.8,3.1,3.1,3,2.2
,Abandoned Oil and Gas Wells,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Biomass-Wooda,215.2,215.3,225,219.3,225,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.6,215.5,214.9,208.3,227.3,233.8,224.7,216,211.9,220,217.6,202.1
,Biofuels-Ethanola,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16,20.1,22.9,31,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1,78.9,81.2,82.1,81.9,82.6,71.8
,International Bunker Fuelsb,103.6,117.7,108,98,96.8,98.6,99.9,107.1,110.6,102.8,101.9,93.9,94.6,98.5,108.6,113.3,114.3,115.5,114.5,106.5,117.1,111.7,105.9,99.8,103.5,111,116.7,120.2,122.2,116.1,69.6
,Biofuels-Biodiesela,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7
,CH4,368.6,369.2,365.4,351.2,353.3,343.8,342.5,341.1,333.4,322.2,320.9,321.9,312.6,312.3,313.6,308.3,316.9,313.5,328,318.7,317.9,306.6,300.5,304.4,301.6,296.2,283.5,285.4,287.3,284,269.1
