"Table 3-10:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Transportation,"1,520.0","1,475.2","1,533.5","1,566.3","1,613.6","1,641.9","1,689.7","1,706.8","1,742.4","1,806.7","1,851.3","1,819.0","1,857.4","1,864.2","1,895.1","1,903.9","1,904.7","1,900.8","1,797.1","1,724.0","1,731.3","1,703.6","1,690.1","1,697.8","1,734.0","1,743.0","1,781.3","1,802.6","1,834.4","1,836.2","1,591.6"
,CO2,"1,468.9","1,422.3","1,477.6","1,508.6","1,554.0","1,580.7","1,627.4","1,643.5","1,678.9","1,746.3","1,792.2","1,762.5","1,803.0","1,812.0","1,845.2","1,858.6","1,859.1","1,860.7","1,759.7","1,688.5","1,696.8","1,670.6","1,659.6","1,669.1","1,707.3","1,718.2","1,757.6","1,780.0","1,812.8","1,813.8","1,572.0"
, CH4 ,6.5,6.3,6.4,6.3,6.2,6.2,6.1,5.9,5.7,5.1,4.9,4.7,4.5,4.3,4.2,4.0,4.0,3.8,3.6,3.4,3.4,3.3,3.1,3.0,2.8,2.7,2.6,2.6,2.5,2.5,2.2
, N2O ,44.6,46.5,49.4,51.5,53.4,55.0,56.3,57.4,57.8,55.3,54.1,51.8,49.9,47.9,45.7,41.4,41.6,36.3,33.8,32.1,31.1,29.7,27.4,25.7,23.9,22.1,21.1,20.1,19.2,20.0,17.4
,Electric Power,"1,840.9","1,838.3","1,851.7","1,928.1","1,952.9","1,969.8","2,043.4","2,111.3","2,201.0","2,214.2","2,322.1","2,283.0","2,299.4","2,332.0","2,364.6","2,431.0","2,375.1","2,442.4","2,390.3","2,174.2","2,289.7","2,187.9","2,050.9","2,067.9","2,067.1","1,928.3","1,836.2","1,757.9","1,778.5","1,628.5","1,460.0"
,CO2,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.4","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
, CH4 ,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.1,1.2,1.3,1.2
, N2O ,20.5,20.5,20.6,21.5,21.9,22.1,22.7,23.3,24.0,24.0,25.3,25.2,26.4,27.6,28.8,30.1,29.8,30.3,30.0,27.9,30.1,28.9,26.5,28.6,28.9,26.5,26.2,24.8,24.4,21.1,19.7
, Industrial ,858.6,843.8,871.5,870.8,877.9,894.9,927.8,922.5,895.9,848.4,875.0,872.3,857.8,857.3,881.0,856.2,880.5,871.7,824.1,747.0,800.7,801.4,811.2,838.8,818.9,801.6,796.9,794.5,818.2,820.1,770.1
, CO2 ,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
, CH4 ,1.8,1.8,1.8,1.8,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.7,1.8,1.7,1.8,1.7,1.6,1.4,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4
, N2O ,3.1,3.0,3.1,3.1,3.2,3.3,3.3,3.4,3.2,3.1,3.1,3.0,2.8,2.8,3.0,2.9,3.0,2.9,2.7,2.3,2.7,2.7,2.7,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.3
, Residential ,344.9,354.2,360.8,372.2,362.8,358.8,389.5,370.0,336.0,355.5,376.6,367.5,365.6,384.9,373.9,363.8,326.1,345.9,353.0,341.8,340.4,331.6,287.0,335.0,352.5,322.6,297.4,298.0,343.7,347.1,320.7
, CO2 ,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,336.4,334.8,326.2,282.4,329.1,346.5,317.3,292.8,293.4,338.2,341.4,315.8
, CH4 ,5.2,5.4,5.7,5.0,4.8,4.7,5.0,4.1,3.6,3.8,4.0,3.7,3.7,3.9,4.0,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5.0,4.5,3.9,3.8,4.6,4.7,4.1
, N2O ,1.0,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1.0,1.0,0.9,0.8,0.8,0.9,0.9,0.8
, Commercial ,229.8,234.2,229.5,224.5,226.1,229.2,239.1,239.3,221.5,222.1,238.0,229.9,230.4,241.6,239.4,228.6,213.1,224.5,228.9,229.5,225.9,225.8,201.5,225.6,233.8,246.2,233.1,233.5,247.4,252.3,228.3
, CO2 ,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,228.0,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232.0,245.8,250.7,226.8
, CH4 ,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.1,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
, N2O ,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3
, U.S. Territoriesa ,21.8,21.6,23.1,24.1,25.8,23.8,22.7,23.2,22.6,21.1,42.6,53.0,50.5,54.9,57.0,56.1,54.6,50.6,40.8,39.8,34.8,33.5,33.2,28.2,28.2,28.5,26.1,25.6,25.6,24.4,22.7
,Total,"4,815.9","4,767.2","4,870.2","4,986.0","5,059.1","5,118.3","5,312.2","5,373.1","5,419.4","5,468.1","5,705.6","5,624.6","5,661.1","5,734.9","5,811.1","5,839.6","5,754.2","5,835.9","5,634.2","5,256.2","5,422.8","5,284.0","5,073.8","5,193.3","5,234.6","5,070.3","4,971.2","4,912.1","5,047.8","4,908.4","4,393.4"
,"a U.S. Territories are not apportioned by sector, and emissions shown in the table are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
