"Table 3-102:  Abandoned Gas Wells Activity Data, CH4 and CO2 Emissions (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source/Activity Data,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Plugged abandoned gas wells (number of wells),"100,295"," 105,090 "," 109,982 "," 114,814 "," 119,864 "," 124,704 "," 129,659 "," 134,812 "," 140,037 "," 145,158 "," 150,275 "," 156,825 "," 162,532 "," 168,393 "," 174,295 ","180,578"," 187,152 "," 195,197 "," 203,028 "," 211,686 "," 220,786 "," 229,046 "," 237,532 "," 247,003 "," 255,384 "," 263,654 ","273,018","282,358","291,443","301,449","305,818"
,Unplugged abandoned gas wells (number of wells),"328,226"," 332,964 "," 337,551 "," 341,514 "," 345,707 "," 348,905 "," 352,063 "," 355,397 "," 358,564 "," 361,129 "," 363,375 "," 368,704 "," 371,647 "," 374,607 "," 377,328 ","380,540"," 384,008 "," 390,064 "," 395,217 "," 401,500 "," 408,100 "," 412,672 "," 417,228 "," 423,056 "," 426,586 "," 429,568 ","433,948","437,880","441,037","445,200","440,831"
,Total Abandoned Gas Wells,"428,521"," 438,054 "," 447,533 "," 456,328 "," 465,571 "," 473,610 "," 481,722 "," 490,209 "," 498,601 "," 506,287 "," 513,650 "," 525,529 "," 534,179 "," 543,000 "," 551,622 ","561,119"," 571,159 "," 585,261 "," 598,244 "," 613,186 "," 628,886 "," 641,717 "," 654,760 "," 670,059 "," 681,970 "," 693,222 ","706,966","720,238","732,480","746,649","746,649"
,Abandoned gas wells in Appalachia (percent),29%,28%,28%,28%,28%,28%,27%,27%,27%,27%,27%,26%,26%,26%,26%,25%,25%,25%,25%,25%,24%,24%,24%,24%,24%,23%,23%,23%,23%,23%,23%
,Abandoned gas wells outside of Appalachia (percent),71%,72%,72%,72%,72%,72%,73%,73%,73%,73%,73%,74%,74%,74%,74%,75%,75%,75%,75%,75%,76%,76%,76%,76%,76%,77%,77%,77%,77%,77%,77%
,CH4 from plugged abandoned gas wells (kt),0.09, 0.09 , 0.10 , 0.10 , 0.11 , 0.11 , 0.11 , 0.12 , 0.12 , 0.12 , 0.13 , 0.13 , 0.13 , 0.14 , 0.14 ,0.15, 0.15 , 0.16 , 0.16 , 0.17 , 0.17 , 0.18 , 0.18 , 0.19 , 0.19 , 0.20 ,0.2,0.21,0.22,0.22,0.23
,CH4 from unplugged abandoned gas wells (kt),45.7, 46.3 , 46.8 , 47.2 , 47.6 , 47.9 , 48.2 , 48.6 , 48.9 , 49.1 , 49.2 , 49.8 , 50.1 , 50.3 , 50.6 ,50.9, 51.2 , 51.8 , 52.4 , 53.0 , 53.8 , 54.2 , 54.7 , 55.3 , 55.6 , 55.78 ,56.3,56.9,57.3,57.8,57.2
,Total CH4 from Abandoned Gas Wells (kt),45.8, 46.4 , 46.9 , 47.3 , 47.7 , 48.1 , 48.4 , 48.7 , 49.0 , 49.2 , 49.4 , 50.0 , 50.2 , 50.5 , 50.7 ,51, 51.3 , 52.0 , 52.5 , 53.2 , 53.9 , 54.4 , 54.8 , 55.4 , 55.7 , 55.98 ,56.6,57.1,57.5,58,57.5
,Total CO2 from Abandoned Gas Wells (kt),2, 2.0 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 , 2.2 , 2.2 , 2.2 , 2.2 , 2.2 , 2.2 ,2.2, 2.2 , 2.3 , 2.3 , 2.3 , 2.4 , 2.4 , 2.4 , 2.4 , 2.4 , 2.45 ,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
