"Table 3-11:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector with Electricity Emissions Distributed (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Transportation,"1,523.1","1,478.2","1,536.4","1,569.4","1,616.7","1,644.9","1,692.8","1,709.9","1,745.5","1,810.0","1,854.7","1,822.6","1,860.8","1,868.5","1,899.7","1,908.6","1,909.3","1,905.9","1,801.7","1,728.4","1,735.8","1,707.9","1,694.1","1,702.1","1,738.5","1,747.3","1,785.5","1,806.9","1,839.0","1,840.9","1,596.3"
,CO2,"1,472.0","1,425.3","1,480.6","1,511.6","1,557.1","1,583.7","1,630.4","1,646.6","1,682.1","1,749.6","1,795.6","1,766.1","1,806.5","1,816.3","1,849.8","1,863.3","1,863.7","1,865.8","1,764.4","1,693.0","1,701.3","1,674.9","1,663.5","1,673.4","1,711.8","1,722.5","1,761.8","1,784.3","1,817.4","1,818.5","1,576.7"
,CH4,6.5,6.3,6.4,6.3,6.2,6.2,6.1,5.9,5.7,5.1,4.9,4.7,4.5,4.3,4.2,4.0,4.0,3.8,3.6,3.4,3.4,3.3,3.1,3.0,2.8,2.7,2.6,2.6,2.5,2.5,2.2
,N2O,44.6,46.5,49.4,51.5,53.4,55.0,56.3,57.4,57.8,55.3,54.1,51.8,49.9,47.9,45.7,41.4,41.6,36.3,33.8,32.1,31.1,29.7,27.4,25.7,23.9,22.1,21.1,20.1,19.2,20.0,17.4
,Industrial,"1,552.9","1,525.8","1,578.8","1,588.2","1,609.6","1,619.2","1,672.8","1,686.3","1,674.8","1,630.1","1,673.4","1,616.3","1,590.0","1,609.1","1,635.9","1,602.0","1,601.3","1,595.9","1,530.0","1,356.7","1,450.6","1,434.9","1,412.4","1,442.3","1,420.6","1,359.2","1,322.4","1,306.4","1,326.7","1,291.9","1,185.6"
,CO2,"1,540.1","1,513.2","1,565.9","1,575.1","1,596.1","1,605.6","1,659.0","1,672.3","1,661.0","1,616.4","1,659.5","1,603.1","1,576.8","1,595.5","1,621.7","1,587.8","1,587.2","1,582.0","1,516.5","1,344.9","1,437.5","1,421.9","1,399.9","1,429.2","1,407.5","1,346.9","1,310.3","1,294.8","1,315.3","1,281.4","1,175.8"
,CH4,2.0,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.0,1.9,1.9,2.0,2.0,2.0,2.0,1.9,1.7,1.9,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.8
,N2O,10.8,10.6,10.9,11.1,11.4,11.4,11.6,11.8,11.7,11.6,11.9,11.2,11.3,11.7,12.2,12.2,12.1,11.9,11.6,10.2,11.2,11.1,10.5,11.1,11.1,10.3,10.1,9.8,9.5,8.6,7.9
,Residential,944.4,962.8,959.0,"1,011.4","1,002.0","1,007.9","1,069.3","1,058.0","1,062.3","1,083.2","1,147.4","1,138.8","1,166.7","1,197.4","1,196.1","1,230.9","1,167.1","1,220.0","1,206.6","1,138.6","1,192.1","1,133.4","1,022.5","1,080.4","1,097.4","1,016.4",960.8,924.3,995.3,938.8,873.5
,CO2,931.3,949.3,945.4,998.0,989.0,994.7,"1,055.6","1,045.2","1,049.8","1,070.5","1,133.9","1,125.5","1,152.7","1,182.7","1,180.9","1,214.9","1,151.9","1,204.1","1,190.4","1,122.7","1,174.9","1,116.9","1,007.9","1,063.9","1,080.6","1,001.1",946.2,910.5,980.4,925.0,860.6
