"Table 3-117:  NOx, CO, NMVOC, and SO2 Emissions from Energy-Related Activities (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
NOx,"21,106","20,824","20,882","20,964","20,941","20,586","20,444","20,331","20,029","18,825","18,476","17,546","19,728","18,588","17,438","16,602","15,709","14,817","13,779","12,798","12,004","11,796","11,266","10,736","10,198","9,429","8,268","7,883","7,456","6,962","6,471",
Fossil Fuel Combustion,"20,885","20,628","20,662","20,746","20,735","20,397","20,183","20,062","19,754","18,573","18,252","17,319","19,309","18,156","16,997","16,153","15,251","14,349","13,303","12,249","11,382","11,101","10,554","10,007","9,451","8,719","7,595","7,246","6,819","6,325","5,834",
Transportation,"10,862","10,795","10,728","10,662","10,598","10,536","10,475","10,528","10,385","10,183","10,199","9,696","12,485","11,755","11,025","10,295","9,740","9,186","8,523","7,797","7,290","7,294","6,909","6,523","6,138","5,634","4,739","4,519","4,153","3,788","3,422",
Industrial,"2,559","2,498","2,575","2,645","2,646","2,650","2,667","2,613","2,570","2,283","2,278","2,296","1,699","1,641","1,580","1,515","1,400","1,285","1,165","1,126","1,087","1,048","1,016",984,952,921,890,859,859,859,859,
Electric Power Sector,"6,045","5,914","5,900","6,034","5,956","5,792","5,581","5,683","5,638","5,183","4,829","4,454","4,265","3,930","3,595","3,434","3,249","3,064","2,847","2,552","2,226","1,893","1,779","1,666","1,603","1,419","1,234","1,049",987,859,733,
Commercial,671,592,580,578,719,607,734,538,510,483,507,428,438,408,378,490,471,452,433,445,456,548,535,521,448,444,440,537,537,537,537,
Residential,749,829,879,827,817,813,726,699,651,441,439,446,422,422,420,418,390,363,335,329,324,318,315,312,310,301,292,283,283,283,283,
Petroleum and Natural Gas Systems,137,106,130,107,102,95,121,124,123,102,103,106,301,304,302,301,323,345,367,439,511,583,592,601,610,583,557,530,530,530,530,
Incineration of Waste,82,85,86,107,100,88,135,139,145,143,114,114,98,108,118,128,114,100,85,81,77,73,81,89,97,88,80,71,71,71,71,
Other Energy,2,4,4,4,4,4,6,6,6,7,7,7,20,20,20,20,21,23,24,29,34,39,39,40,40,39,37,35,35,35,35,
International Bunker Fuelsa,"1,953","2,146","1,867","1,586","1,522","1,534","1,543","1,656","1,762","1,467","1,340","1,253","1,314","1,408","1,660","1,699","1,723","1,728","1,827","1,688","1,786","1,548","1,393","1,199","1,206","1,357","1,464","1,475","1,456","1,290","1,019",
CO,"125,640","121,652","117,619","112,858","108,399","104,402","100,165","97,088","94,909","91,276","89,715","86,046","73,963","70,974","67,980","64,985","60,778","56,572","51,670","44,819","45,148","44,088","42,803","41,519","40,234","38,521","34,461","33,401","32,392","31,384","30,376",
Fossil Fuel Combustion,"124,360","120,328","116,252","111,392","106,983","103,013","97,216","94,088","91,751","88,406","87,899","84,228","72,200","69,224","66,245","63,263","59,135","55,008","50,185","43,292","43,577","42,475","40,924","39,372","37,821","36,324","32,479","31,634","30,626","29,617","28,609",
Transportation,"119,360","115,015","110,669","106,323","101,977","97,630","93,283","90,161","87,823","83,382","83,559","79,851","67,235","64,362","61,488","58,615","54,712","50,809","46,217","39,256","39,475","38,305","36,915","35,525","34,135","32,635","28,789","27,942","26,934","25,926","24,918",
Residential,"3,668","3,965","4,195","3,586","3,515","3,877","2,364","2,362","2,353","3,323","2,644","2,648","3,044","2,982","2,919","2,856","2,690","2,524","2,357","2,387","2,416","2,446","2,319","2,192","2,065","2,140","2,215","2,291","2,291","2,291","2,291",
