Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016a,2017a,2018a,2019a,2020a
Gasolineb,958.9,944.6,973.7,987.2,999.7,1013.1,1036.5,1048.8,1079.4,1113.0,1118.2,1118.4,1142.7,1162.3,1166.9,1150.1,1142.8,1135.5,1071.7,1071.4,1059.3,1035.7,1030.4,1028.0,1066.6,1058.8,1084.4,1081.8,1097.0,1086.5,936.9
Passenger Cars,604.3,564.7,571.9,576.1,580.8,581.9,591.8,591.7,611.6,626.3,628.4,629.1,642.3,630.4,621.0,637.1,615.9,769.3,726.2,724.1,716.1,710.7,708.6,706.4,722.9,724.4,737.5,737.4,748.7,742.1,599.9
Light-Duty Trucks,300.6,326.4,349.0,359.6,367.2,380.0,394.2,407.3,417.5,435.8,437.9,438.9,449.6,485.7,499.8,463.5,476.8,303.3,283.5,288.8,286.2,271.9,268.7,268.2,289.2,280.5,291.7,288.2,290.9,289.0,283.4
Medium- and Heavy-Duty Trucksc,37.7,37.3,36.5,35.2,35.3,34.9,34.1,33.4,33.9,34.4,35.3,34.2,34.6,30.2,30.2,33.8,34.5,44.8,44.7,41.4,41.1,37.7,37.4,38.2,39.4,38.9,40.0,40.9,41.9,40.1,39.6
Buses,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,0.8
Motorcycles,1.7,1.6,1.7,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.6,1.7,1.6,1.8,4.1,4.2,4.0,3.5,3.4,3.9,3.7,3.7,3.6,3.8,3.7,3.8,3.6,3.2
Recreational Boatsd,14.3,14.3,14.4,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.2,14.1,14.2,13.9,13.7,13.5,13.2,12.4,12.2,11.6,11.2,11.0,10.7,10.5,10.5,10.6,10.6,10.7,10.7,9.9
Distillate Fuel Oil (Diesel)b,274.6,266.2,281.9,298.5,318.6,333.5,348.6,364.4,378.2,396.8,413.3,409.8,423.9,434.3,453.2,472.1,482.9,486.4,462.5,415.8,434.7,435.6,433.2,435.5,450.5,464.8,461.1,474.9,486.6,484.1,455.0
Passenger Cars,7.9,7.0,7.3,8.3,8.5,7.8,6.7,6.1,5.6,4.4,3.7,3.7,3.8,4.3,4.3,4.3,4.2,4.1,3.7,3.6,3.8,4.0,4.1,4.0,4.1,4.3,4.2,4.3,4.3,4.5,3.5
Light-Duty Trucks,11.5,11.4,12.6,13.5,14.0,14.9,15.7,16.3,17.3,18.9,20.3,21.0,22.1,27.5,29.3,26.1,27.0,13.7,12.2,12.1,12.6,12.9,12.9,12.7,13.8,13.8,14.0,14.0,14.1,14.7,13.9
Medium- and Heavy-Duty Trucksc,190.5,186.1,197.2,210.8,226.7,238.4,251.2,266.0,278.5,295.7,312.9,311.9,325.3,326.7,338.0,364.2,373.1,386.4,368.0,330.8,345.3,342.5,343.6,346.8,358.4,365.8,367.9,379.6,388.5,389.5,372.9
Buses,8.0,7.4,7.7,8.4,8.8,8.7,9.1,9.2,9.5,10.6,10.3,9.4,8.9,9.6,13.6,10.7,10.7,15.7,14.8,13.6,13.6,14.4,15.4,15.4,16.7,17.0,16.6,17.8,19.0,19.0,15.5
Rail,35.5,33.4,34.4,35.3,38.1,39.6,40.3,40.5,40.8,42.3,42.6,42.6,42.3,43.3,45.7,46.1,48.2,46.7,43.4,36.1,38.9,40.2,39.4,39.8,41.6,39.7,36.1,37.4,38.5,36.0,31.0
Recreational Boatsd,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.6,2.7,2.8,2.8,2.9,2.6
Ships and Non-Recreational Boatse,6.8,7.2,9.2,8.5,10.7,11.9,14.3,14.4,12.1,13.6,14.2,13.0,12.6,12.4,8.6,8.4,8.0,8.7,8.6,8.6,8.3,11.0,8.5,8.6,7.4,13.1,10.9,10.0,9.3,7.5,7.6
International Bunker Fuelsf,11.7,11.0,10.8,10.8,9.0,9.3,8.4,9.3,11.7,8.4,6.4,5.4,6.2,7.8,10.7,9.5,8.9,8.3,9.1,8.2,9.5,8.0,6.8,5.6,6.1,8.4,8.7,9.0,10.0,10.1,7.8
Jet Fuel,222.3,215.2,213.4,215.1,223.9,222.1,235.6,238.9,242.4,250.0,257.0,246.1,239.9,234.5,242.9,249.5,242.6,241.0,229.2,206.9,212.5,211.4,207.9,212.8,218.0,229.5,240.1,249.4,253.1,258.5,160.4
Commercial Aircraftg,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137.0,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119.0,120.4,128.0,129.6,134.2,91.3
Military Aircraft,35.7,34.9,28.5,27.8,25.2,24.8,24.9,22.9,23.2,22.5,23.1,24.8,22.1,22.5,23.0,19.8,18.2,18.2,17.9,15.7,13.9,11.8,12.3,11.2,14.3,13.8,12.5,12.5,12.1,12.1,10.7
General Aviation Aircraft,38.5,30.5,32.5,31.5,36.6,32.1,40.9,38.6,45.4,39.5,32.5,40.2,41.7,33.8,38.7,36.8,27.0,21.5,27.8,18.8,24.2,20.1,17.7,21.5,18.8,24.7,33.0,31.2,30.6,31.4,18.6
International Bunker Fuelsf,38.2,46.5,46.9,47.0,48.5,50.0,51.1,54.6,54.2,57.7,62.1,56.5,54.7,55.3,56.3,60.2,60.4,61.6,56.2,52.9,61.0,64.9,64.6,65.7,69.7,72.0,74.1,77.8,80.9,80.8,39.8
International Bunker Fuels from Commercial Aviation ,30.0,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3,68.6,70.8,74.5,77.7,77.6,36.7
Aviation Gasoline,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4
General Aviation Aircraft,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4
Residual Fuel Oil,76.3,77.0,80.3,67.7,66.3,68.4,63.9,53.4,50.6,50.0,66.6,44.0,50.8,42.9,55.5,62.9,68.0,74.6,69.5,59.4,67.0,58.3,50.4,43.6,33.5,34.8,46.8,49.9,45.4,39.7,29.6
Ships and Non-Recreational Boatse,22.6,16.9,30.0,27.6,26.9,29.1,23.6,10.3,5.9,13.2,33.3,12.0,17.1,7.4,14.0,19.3,23.0,29.0,20.4,13.9,20.4,19.4,15.8,15.1,5.8,4.2,12.9,16.5,14.0,14.5,7.5
International Bunker Fuelsf,53.7,60.2,50.3,40.1,39.4,39.3,40.3,43.2,44.7,36.8,33.3,32.0,33.7,35.4,41.5,43.6,45.0,45.6,49.2,45.4,46.5,38.9,34.5,28.5,27.7,30.6,33.8,33.4,31.4,25.2,22.1
Natural Gas j,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47.0,40.2,39.4,40.1,42.3,50.9,58.9,58.1
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ 
Medium- and Heavy-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ 
Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.3,0.3,0.4,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1.0,0.9
Pipelineh,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,57.9,57.1
LPG j,1.4,1.3,1.2,1.3,2.1,1.1,1.0,0.9,1.1,0.9,0.7,0.9,0.9,1.1,1.2,1.8,1.7,1.4,2.5,1.8,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Light-Duty Trucks,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.5,0.4,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Medium- and Heavy-Duty Trucksc,1.1,1.1,1,1,1.7,0.9,0.8,0.7,0.9,0.7,0.6,0.7,0.7,0.9,0.9,1.3,1.1,0.8,1.5,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Buses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1
Electricityl,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,4,4.3,4.4,4.3,4.2,4.3,4.7,4.7,4.7
Passenger Cars,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ ,+ ,0,0.1,0.2,0.4,0.5,0.6,0.8,1.2,1.4,1.6
Light-Duty Trucks,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.2,0.2,0.4
Buses,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Rail,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,3.9,4,4,3.7,3.5,3.4,3.3,3.1,2.6
Total (Excluding Bunkers)f,"1,472.0","1,425.3","1,480.6","1,511.6","1,557.1","1,583.7","1,630.4","1,646.6","1,682.1","1,749.6","1,795.6","1,766.1","1,806.5","1,816.3","1,849.8","1,863.3","1,863.7","1,865.8","1,764.4","1,693.0","1,701.3","1,674.9","1,663.5","1,673.4","1,711.8","1,722.5","1,761.8","1,784.3","1,817.4","1,818.5","1,576.7"
Total (Including Bunkers)k,"1,575.6","1,543.1","1,588.6","1,609.6","1,653.9","1,682.4","1,730.3","1,753.7","1,792.7","1,852.4","1,897.5","1,860.0","1,901.1","1,914.8","1,958.4","1,976.6","1,977.9","1,981.3","1,878.8","1,799.5","1,818.4","1,786.6","1,769.4","1,773.2","1,815.3","1,833.4","1,878.5","1,904.5","1,939.6","1,934.6","1,646.3"
Biofuels-Ethanoli,4.1,4.7,5.4,6.3,7.0,7.5,5.4,6.8,7.6,8.0,9.0,9.5,11.2,15.3,19.1,21.6,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74.0,74.2,76.9,77.7,78.6,78.7,68.1
Biofuels-Biodieseli,+ , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3.0,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methods for estimating vehicle miles traveled (VMT) and related data. These methodological changes included how vehicles are classified, moving from a system based on body-type to one that is based on wheelbase. These changes were first incorporated for the 1990 through 2010 Inventory and apply to the 2007 through 2020 time period. This resulted in large changes in VMT and fuel consumption data by vehicle class, thus leading to a shift in emissions among on-road vehicle classes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
