Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gasoline On-Roadb,37.5,39.5,42.3,44.3,46,47.5,48.7,49.8,50.2,47.6,46.2,43.5,41.4,39.2,36.5,31.9,31,26.4,24,22.7,21.3,20,17.4,15.3,13.3,11.6,10.2,8.7,7.3,7.9,6.2
Passenger Cars,24.1,23.8,24.5,24.9,25.7,26.3,26.6,26.7,26.7,24.6,23.7,22.5,21.3,20,18.7,17.3,15.8,18.1,16.2,15.2,14.3,13.6,11.9,10.5,9.0,8.0,7.0,6.0,5.1,5.2,3.9
Light-Duty Trucks,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.5,22.1,21.5,20.1,19.1,18.2,16.7,13.6,14.3,7.1,6.7,6.5,6.1,5.6,4.8,4.2,3.8,3.1,2.7,2.3,1.9,2.4,2.1
Medium- and Heavy-Duty Trucks and Buses,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.1,1,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.2
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diesel On-Roadb,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,1.1,1.2,1.4,1.5,1.7,2,2.3,2.5,2.7,3,3.3,3.3,3.4
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Medium- and Heavy-Duty Trucks,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,1,1,1.2,1.2,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,3
Medium- and Heavy-Duty Buses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Alternative Fuel On-Road,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.08,0.1,0.13,0.2,0.2,0.2,0.2,0.2
Non-Roadg,6.9,6.8,6.9,6.9,7.1,7.2,7.3,7.3,7.3,7.4,7.6,8.0,8.1,8.3,8.9,9.2,10.3,9.1,8.7,8.2,8.4,8.3,8.2,8.4,8.2,7.8,8.0,8.3,8.4,8.5,7.6
Ships and Boats,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Railc,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
Aircraft ,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.1
Agricultural Equipmentd,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.3,1.3,1.4,1.5,1.6,2.0,1.7,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.3,1.3,1.2,1.2,1.2,1.2
Construction/Mining Equipmente,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.8,1.9,2.0,2.1,2.4,2.0,1.9,1.8,1.8,1.8,1.8,1.9,1.7,1.5,1.6,1.8,1.8,1.9,1.8
Otherf,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.7,2.8,2.9,3.0,3.1,3.6,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.3,3.1
Total,44.6,46.5,49.4,51.5,53.4,55.0,56.3,57.4,57.8,55.3,54.1,51.8,49.9,47.9,45.7,41.3,41.6,36.3,33.8,32.1,31.1,29.7,27.4,25.7,23.9,22.1,21.1,20.1,19.2,20.0,17.4
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a See Annex 3.2 for definitions of on-road vehicle types. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Gasoline and diesel highway vehicle mileage estimates are based on data from FHWA Highway Statistics Table VM-1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Rail emissions do not include emissions from electric powered locomotives. Class II and Class III diesel consumption data for 2014 through 2017 is estimated by applying the historical average fuel usage per carload factor to the annual number of carloads. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
