"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"4,902,396"," 4,854,594 "," 4,962,195 "," 5,063,900 "," 5,147,104 "," 5,200,704 "," 5,388,307 "," 5,459,044 "," 5,507,193 "," 5,581,519 "," 5,790,306 "," 5,706,942 "," 5,747,429 "," 5,815,766 "," 5,910,859 ","5,935,361"," 5,850,046 "," 5,925,726 "," 5,723,776 "," 5,331,446 "," 5,500,480 "," 5,362,472 "," 5,161,834 "," 5,297,775 "," 5,341,479 "," 5,193,948 ","5,078,027","5,038,320","5,204,305","5,080,437","4,544,464"
,Fossil Fuel Combustion,"4,731,178"," 4,680,617 "," 4,780,073 "," 4,893,746 "," 4,964,661 "," 5,022,109 "," 5,213,734 "," 5,274,130 "," 5,320,504 "," 5,372,094 "," 5,608,961 "," 5,531,436 "," 5,568,894 "," 5,643,318 "," 5,720,304 ","5,752,043"," 5,667,167 "," 5,753,612 "," 5,554,812 "," 5,181,136 "," 5,345,699 "," 5,209,774 "," 5,005,417 "," 5,123,175 "," 5,166,083 "," 5,006,518 ","4,909,609","4,853,299","4,989,308","4,852,330","4,342,659"
,Non-Energy Use of Fuels,"112,175"," 117,439 "," 123,877 "," 112,729 "," 123,348 "," 120,744 "," 117,823 "," 128,669 "," 133,667 "," 157,028 "," 128,059 "," 122,341 "," 125,008 "," 119,020 "," 136,492 ","128,920"," 126,760 "," 115,613 "," 111,175 "," 93,987 "," 96,689 "," 90,372 "," 89,931 "," 101,625 "," 97,167 "," 108,152 ","99,505","112,616","128,871","126,776","120,987"
,Natural Gas Systems,"31,894"," 31,007 "," 30,897 "," 30,637 "," 30,531 "," 28,534 "," 26,674 "," 26,412 "," 24,221 "," 24,885 "," 25,130 "," 24,840 "," 25,276 "," 24,835 "," 24,946 ","24,945"," 25,450 "," 25,769 "," 26,416 "," 25,501 "," 25,969 "," 27,624 "," 26,988 "," 28,702 "," 29,312 "," 29,121 ","29,780","31,145","32,407","38,740","35,353"
,Petroleum Systems,"9,600"," 9,898 "," 9,892 "," 9,899 "," 10,105 "," 10,591 "," 11,026 "," 11,443 "," 11,368 "," 10,801 "," 10,929 "," 11,022 "," 11,149 "," 11,404 "," 11,689 ","11,994"," 12,188 "," 12,426 "," 13,336 "," 13,528 "," 15,412 "," 18,018 "," 22,239 "," 26,291 "," 30,874 "," 32,519 ","21,922","25,027","37,306","46,686","30,156"
,Incineration of Waste,"12,937"," 11,201 "," 13,024 "," 13,001 "," 14,072 "," 14,366 "," 14,547 "," 13,764 "," 12,818 "," 12,343 "," 13,055 "," 13,023 "," 13,058 "," 13,202 "," 13,277 ","13,283"," 14,374 "," 14,272 "," 13,939 "," 13,489 "," 12,853 "," 12,741 "," 13,393 "," 14,135 "," 14,058 "," 14,167 ","14,356","13,161","13,339","12,948","13,133"
,Coal Mining,"4,606"," 4,425 "," 4,425 "," 3,881 "," 4,382 "," 4,353 "," 4,496 "," 4,619 "," 4,608 "," 4,362 "," 4,165 "," 4,273 "," 4,036 "," 3,981 "," 4,144 ","4,170"," 4,100 "," 4,027 "," 4,092 "," 3,799 "," 3,850 "," 3,936 "," 3,860 "," 3,841 "," 3,978 "," 3,464 ","2,848","3,067","3,067","2,951","2,169"
,Abandoned Oil and Gas Wells,6, 6 , 6 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,7, 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 , 7 ,7,7,7,7,7
,Biomass-Wooda,"215,186"," 215,268 "," 225,041 "," 219,290 "," 225,012 "," 229,091 "," 235,726 "," 228,481 "," 210,392 "," 213,337 "," 218,088 "," 193,491 "," 192,830 "," 193,833 "," 205,086 ","206,901"," 202,855 "," 202,317 "," 199,932 "," 188,632 "," 215,550 "," 214,922 "," 208,300 "," 227,340 "," 233,762 "," 224,730 ","215,955","211,925","219,951","217,574","202,088"
,Biofuels-Ethanola,"4,227"," 4,897 "," 5,568 "," 6,507 "," 7,286 "," 7,816 "," 5,606 "," 7,099 "," 7,844 "," 8,155 "," 9,347 "," 9,840 "," 11,719 "," 15,975 "," 20,080 ","22,943"," 30,985 "," 38,924 "," 54,739 "," 62,272 "," 72,647 "," 72,881 "," 72,827 "," 74,743 "," 76,075 "," 78,934 ","81,250","82,088","81,917","82,578","71,847"
