Table 3-21:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Industry,"4,317.50"," 4,358.13 "," 4,539.46 "," 4,454.01 "," 4,780.77 "," 4,732.86 "," 4,805.61 "," 5,038.56 "," 5,201.63 "," 5,648.90 "," 5,190.48 "," 5,007.37 "," 5,053.78 "," 4,856.13 "," 5,263.33 ","5,115.00"," 5,123.02 "," 4,978.15 "," 4,611.99 "," 4,330.20 "," 4,554.00 "," 4,467.10 "," 4,363.51 "," 4,625.71 "," 4,596.20 "," 4,864.47 ","4,833.00","5,089.50","5,447.70","5,484.10","5,447.70"
,Industrial Coking Coal, NO , NO , NO , 1.0 , 8.9 , 37.8 , 24.1 , -   , 10.9 , 40.1 , 53.5 , 24.8 , 40.3 , 51.9 , 167.8 ,80.4, 62.9 , 2.3 , 29.2 , 6.4 , 64.8 , 60.8 , 132.5 , 119.9 , 49.3 , 122.4 ,89.6,113,124.8,113.4,78.8
,Industrial Other Coal ,7.6, 7.8 , 8.8 , 9.3 , 10.1 , 10.5 , 10.6 , 10.4 , 9.7 , 10.3 , 11.5 , 10.5 , 11.3 , 11.1 , 11.1 ,11, 11.0 , 11.0 , 11.0 , 11.0 , 9.6 , 9.5 , 9.5 , 9.5 , 9.5 , 9.5 ,9.5,9.5,9.5,9.5,9.5
,Natural Gas to Chemical Plants,282.4, 276.3 , 295.7 , 306.5 , 329.8 , 348.5 , 365.5 , 379.7 , 408.3 , 397.2 , 385.0 , 387.9 , 366.1 , 318.1 , 275.6 ,260.9, 228.2 , 241.1 , 264.9 , 274.9 , 297.0 , 299.3 , 299.8 , 309.3 , 323.5 , 418.9 ,496.4,588,676.4,667.6,663
,Asphalt & Road Oil,"1,170.20"," 1,076.54 "," 1,102.22 "," 1,149.02 "," 1,172.92 "," 1,178.18 "," 1,175.93 "," 1,223.57 "," 1,262.55 "," 1,324.41 "," 1,275.68 "," 1,256.87 "," 1,239.96 "," 1,219.54 "," 1,303.85 ","1,323.20"," 1,261.17 "," 1,197.04 "," 1,011.97 ", 873.08 , 877.77 , 859.49 , 826.70 , 783.35 , 792.64 , 831.66 ,853.4,849.2,792.8,843.9,832.3
,HGLa,"1,217.70"," 1,338.75 "," 1,431.67 "," 1,357.48 "," 1,588.13 "," 1,566.87 "," 1,656.71 "," 1,702.58 "," 1,654.92 "," 1,934.56 "," 1,697.35 "," 1,628.54 "," 1,708.42 "," 1,588.16 "," 1,616.66 ","1,609.90"," 1,702.22 "," 1,659.34 "," 1,560.13 "," 1,664.57 "," 1,831.60 "," 1,875.51 "," 1,879.50 "," 2,068.34 "," 2,103.37 "," 2,160.16 ","2,127.90","2,193.30","2,506.50","2,550.30","2,656.50"
,Lubricants ,186.3, 166.7 , 170.0 , 173.1 , 180.9 , 177.8 , 172.5 , 182.3 , 190.8 , 192.8 , 189.9 , 174.0 , 171.9 , 159.0 , 161.0 ,160.2, 156.1 , 161.2 , 149.6 , 134.5 , 135.9 , 127.4 , 118.3 , 125.1 , 130.7 , 142.1 ,135.1,124.9,122,118.3,107.4
,Natural Gasolineb,117.5, 137.4 , 152.0 , 154.6 , 160.2 , 160.8 , 169.1 , 155.9 , 142.0 , 176.8 , 165.9 , 130.6 , 108.5 , 103.5 , 102.3 ,95.4, 68.8 , 86.4 , 74.9 , 60.9 , 75.2 , 26.3 , 40.2 , 45.4 , 43.4 , 78.3 ,53.1,81.7,105.3,155,163.6
,Naphtha (<401 °F),327, 279.8 , 355.7 , 326.7 , 377.2 , 355.3 , 457.0 , 508.8 , 564.4 , 486.6 , 593.7 , 489.9 , 565.0 , 575.4 , 690.4 ,679.5, 618.1 , 542.4 , 467.2 , 451.4 , 474.5 , 469.5 , 432.3 , 498.9 , 435.2 , 418.1 ,398.2,413,421.2,369.5,329.3
,Other Oil (>401 °F),663.6, 743.9 , 673.8 , 668.0 , 642.7 , 600.3 , 524.1 , 642.6 , 617.1 , 638.6 , 533.8 , 506.7 , 436.5 , 482.9 , 529.0 ,499.5, 573.4 , 668.9 , 599.1 , 393.1 , 433.1 , 368.2 , 267.4 , 209.2 , 236.2 , 216.9 ,204.6,242.9,219.1,212.1,195.5
