"Table 3-22:  2020 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",,,,,,,,
,,,,,,,,
,,Adjusted,Carbon Content Coefficient,Potential Carbon,Storage,Carbon,Carbon,Carbon
,,Non-Energy Usea,,,Factor,Stored,Emissions,Emissions
,Sector/Fuel Type,(TBtu),(MMT C/QBtu),(MMT C),,(MMT C),(MMT C),(MMT CO2 Eq.)
,Industry,"5,447.70",NA,93.1,NA,62.4,30.7,112.7
,Industrial Coking Coal,78.8,25.6,2,0.1,0.2,1.8,6.7
,Industrial Other Coal,9.5,26.13,0.2,0.63,0.2,0.1,0.3
,Natural Gas to       Chemical Plants,663,14.47,9.6,0.63,6,3.6,13.1
,Asphalt & Road Oil,832.3,20.55,17.1,1,17,0.1,0.3
,HGLb,"2,656.50",16.77,44.5,0.63,27.9,16.7,61.1
,Lubricants,107.4,20.2,2.2,0.09,0.2,2,7.2
,Natural Gasolinec,163.6,18.24,3,0.63,1.9,1.1,4.1
,Naphtha (<401° F),329.3,18.55,6.1,0.63,3.8,2.3,8.4
,Other Oil (>401° F),195.5,20.17,3.9,0.63,2.5,1.5,5.4
,Still Gas,145.4,17.51,2.5,0.63,1.6,1,3.5
,Petroleum Coke,NO,27.85,NO,0.3,NO,NO,NO
,Special Naphtha,80.7,19.74,1.6,0.63,1,0.6,2.2
,Distillate Fuel Oil,5.8,20.22,0.1,0.5,0.1,0.1,0.2
,Waxes,9.2,19.8,0.2,0.58,0.1,0.1,0.3
,Miscellaneous Products,170.7,NO,NO,NO,NO,NO,NO
,Transportation,119.3,NA,2.4,NA,0.2,2.2,8
,Lubricants,119.3,20.2,2.4,0.09,0.2,2.2,8
,U.S. Territories,3.6,NA,0.1,NA,0,0.1,0.2
,Lubricants,1,20.2,+,0.09,+,+,0.1
,Other Petroleum (Misc. Prod.),2.6,20,+,0.1,+,+,0.2
,Total,"5,570.60",,95.6,,62.6,33,121
,"+ Does not exceed 0.05 TBtu, MMT C, or MMT CO2 Eq.",,,,,,,
,NA (Not Applicable),,,,,,,
,NO (Not Occurring),,,,,,,
,"a To avoid double counting, net exports have been deducted.",,,,,,,
,b Excludes natural gasoline.,,,,,,,
,c Formerly referred to as “Pentanes Plus.” This source has been adjusted and is reported separately from HGL to align with historic data and revised EIA terminology.,,,,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,,,
