Table 3-23:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Non-Energy Uses of Fossil Fuels (MMT CO2 Eq. and Percent),,,,,,,
,,,,,,,
,Source,Gas,2020 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,,,(MMT CO2 Eq.),,(%),
,,,,Lower,Upper,Lower,Upper
,,,,Bound,Bound,Bound,Bound
,Feedstocks,CO2,98.1,56,159.4,-43%,62%
,Asphalt,CO2,0.3,0.1,0.6,-59%,121%
,Lubricants,CO2,15.3,12.7,17.8,-17%,16%
,Waxes,CO2,0.3,0.2,0.6,-26%,100%
,Other,CO2,7.0,1.4,8.1,-80%,15%
,Total,CO2,121.0,76.3,180.2,-37%,49%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,
