"Table 3-4:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"4,731,178"," 4,680,617 "," 4,780,073 "," 4,893,746 "," 4,964,661 "," 5,022,109 "," 5,213,734 "," 5,274,130 "," 5,320,504 "," 5,372,094 "," 5,608,961 "," 5,531,436 "," 5,568,894 "," 5,643,318 "," 5,720,304 ","5,752,043"," 5,667,167 "," 5,753,612 "," 5,554,812 "," 5,181,136 "," 5,345,699 "," 5,209,774 "," 5,005,417 "," 5,123,175 "," 5,166,083 "," 5,006,518 ","4,909,609","4,853,299","4,989,308","4,852,330","4,342,659"
,CH4,603, 604 , 617 , 590 , 580 , 578 , 586 , 547 , 512 , 495 , 505 , 477 , 471 , 475 , 478 ,474, 452 , 460 , 460 , 455 , 474 , 464 , 426 , 468 , 466 , 448 ,420,409,443,450,406
,N2O,234, 240 , 251 , 260 , 268 , 274 , 281 , 286 , 289 , 280 , 282 , 273 , 270 , 267 , 264 ,254, 254 , 238 , 228 , 214 , 219 , 210 , 194 , 196 , 191 , 176 ,171,163,159,151,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
