Table 3-42:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Exploration,3.8, 3.9 , 3.9 , 4.1 , 3.3 , 3.1 , 3.6 , 4.5 , 3.2 , 2.5 , 2.9 , 3.6 , 2.9 , 3.8 , 4.3 ,5.3, 6.4 , 6.5 , 8.0 , 4.3 , 6.1 , 8.6 , 9.8 , 8.2 , 6.4 , 2.5 ,0.6,0.4,0.5,0.4,0.3
,Production,43.1, 43.1 , 42.2 , 41.8 , 41.5 , 41.3 , 41.7 , 40.9 , 40.1 , 39.2 , 38.6 , 38.2 , 38.0 , 38.2 , 37.9 ,35.2, 37.2 , 36.9 , 36.7 , 35.7 , 35.0 , 35.0 , 34.3 , 38.1 , 39.9 , 39.7 ,38.8,39,37.1,38.8,38.9
,Pneumatic Controllers,18.4, 18.5 , 18.2 , 18.4 , 18.4 , 18.4 , 18.3 , 18.3 , 18.3 , 18.2 , 18.1 , 18.1 , 18.0 , 17.9 , 17.8 ,17.7, 17.6 , 17.5 , 17.4 , 17.2 , 17.1 , 16.9 , 15.6 , 18.8 , 19.8 , 19.8 ,20.6,20.9,18.2,18.3,21.3
,Offshore Production,8.8, 8.9 , 9.0 , 8.9 , 9.4 , 9.6 , 10.0 , 9.6 , 9.5 , 9.4 , 9.0 , 8.9 , 8.9 , 9.0 , 9.0 ,6.5, 8.6 , 8.4 , 8.0 , 7.4 , 6.6 , 6.4 , 6.2 , 6.0 , 5.7 , 5.5 ,5.1,5.1,4.9,4.9,4.8
,Equipment Leaks,2, 2.1 , 2.0 , 2.1 , 2.0 , 2.0 , 2.1 , 2.1 , 2.1 , 2.0 , 2.1 , 2.1 , 2.1 , 2.1 , 2.1 ,2.2, 2.2 , 2.2 , 2.3 , 2.3 , 2.4 , 2.4 , 2.5 , 2.6 , 2.7 , 2.7 ,2.5,2.5,2.5,2.5,2.4
,Gas Engines,2, 2.1 , 2.0 , 2.0 , 2.0 , 1.9 , 1.9 , 2.0 , 1.9 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 ,1.8, 1.8 , 1.8 , 1.9 , 1.9 , 1.9 , 2.0 , 2.1 , 2.2 , 2.4 , 2.4 ,2.2,2.2,2.3,2.3,2.2
,Produced Water,2.3, 2.2 , 2.1 , 2.0 , 1.9 , 1.8 , 1.8 , 1.7 , 1.6 , 1.5 , 1.6 , 1.5 , 1.5 , 1.7 , 1.5 ,1.6, 1.6 , 1.6 , 1.7 , 1.7 , 1.7 , 1.8 , 1.9 , 2.0 , 2.2 , 2.1 ,2,2.1,2.3,2.4,2.2
,Chemical Injection Pumps,1.2, 1.2 , 1.2 , 1.2 , 1.2 , 1.3 , 1.3 , 1.4 , 1.4 , 1.4 , 1.5 , 1.5 , 1.6 , 1.6 , 1.6 ,1.7, 1.7 , 1.8 , 1.8 , 1.9 , 1.9 , 1.9 , 2.0 , 2.1 , 2.2 , 2.1 ,2,2,2,2,1.9
,Assoc Gas Flaring,0.5, 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 ,0.4, 0.4 , 0.4 , 0.4 , 0.4 , 0.5 , 0.5 , 0.7 , 0.9 , 1.1 , 1.2 ,0.7,1,1.7,1.9,1
,Other Sources,7.8, 7.7 , 7.3 , 6.7 , 6.2 , 5.9 , 5.9 , 5.4 , 5.0 , 4.4 , 4.2 , 4.0 , 3.9 , 3.7 , 3.6 ,3.5, 3.3 , 3.2 , 3.2 , 2.9 , 2.9 , 2.9 , 3.2 , 3.5 , 3.9 , 3.9 ,3.6,3.2,3.2,4.5,3
,Crude Oil Transportation,0.2, 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 ,0.2,0.2,0.2,0.2,0.2
,Refining,0.7, 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.7 , 0.8 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 ,0.8, 0.8 , 0.8 , 0.7 , 0.7 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 ,0.8,0.8,0.8,0.9,0.8
,Total ,47.8, 47.8 , 47.0 , 46.8 , 45.6 , 45.3 , 46.2 , 46.3 , 44.3 , 42.5 , 42.4 , 42.7 , 41.7 , 42.8 , 43.1 ,41.4, 44.5 , 44.2 , 45.5 , 40.8 , 42.0 , 44.5 , 45.1 , 47.2 , 47.2 , 43.2 ,40.4,40.5,38.6,40.4,40.2
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
