Table 3-43:  CH4 Emissions from Petroleum Systems (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Exploration,154, 155 , 158 , 166 , 131 , 124 , 145 , 180 , 130 , 99 , 116 , 145 , 114 , 151 , 172 ,211, 258 , 259 , 318 , 172 , 246 , 343 , 394 , 326 , 255 , 100 ,22,17,20,16,12
,Production  ,"1,725"," 1,724 "," 1,688 "," 1,671 "," 1,661 "," 1,653 "," 1,668 "," 1,636 "," 1,605 "," 1,567 "," 1,545 "," 1,529 "," 1,520 "," 1,526 "," 1,514 ","1,408"," 1,488 "," 1,475 "," 1,467 "," 1,427 "," 1,398 "," 1,399 "," 1,373 "," 1,524 "," 1,595 "," 1,587 ","1,552","1,562","1,484","1,553","1,557"
,Pneumatic Controllers,736, 740 , 726 , 736 , 735 , 735 , 733 , 732 , 730 , 728 , 726 , 723 , 720 , 716 , 713 ,709, 704 , 700 , 695 , 689 , 683 , 677 , 622 , 752 , 791 , 794 ,822,835,727,732,854
,Offshore Production,353, 355 , 360 , 358 , 376 , 385 , 398 , 386 , 380 , 376 , 360 , 355 , 355 , 359 , 361 ,259, 344 , 335 , 322 , 295 , 266 , 258 , 250 , 238 , 228 , 219 ,204,204,196,196,193
,Equipment Leaks,82, 82 , 81 , 83 , 81 , 81 , 83 , 84 , 83 , 81 , 82 , 83 , 83 , 84 , 85 ,86, 88 , 88 , 92 , 92 , 94 , 97 , 101 , 104 , 108 , 106 ,102,100,99,98,95
,Gas Engines,82, 82 , 81 , 82 , 78 , 77 , 78 , 78 , 75 , 71 , 72 , 71 , 71 , 70 , 71 ,71, 72 , 72 , 75 , 75 , 77 , 80 , 85 , 89 , 95 , 94 ,90,89,92,94,89
,Produced Water,91, 90 , 85 , 80 , 75 , 73 , 71 , 69 , 65 , 61 , 63 , 61 , 60 , 70 , 62 ,62, 62 , 65 , 68 , 68 , 69 , 72 , 77 , 81 , 86 , 85 ,81,84,93,98,89
,Chemical Injection Pumps,47, 47 , 46 , 47 , 49 , 51 , 52 , 54 , 56 , 58 , 59 , 61 , 63 , 64 , 66 ,68, 69 , 71 , 73 , 74 , 76 , 78 , 81 , 84 , 87 , 85 ,82,81,80,79,76
,Assoc Gas Flaring,20, 20 , 19 , 17 , 17 , 16 , 17 , 17 , 16 , 15 , 14 , 14 , 14 , 14 , 14 ,14, 15 , 15 , 16 , 16 , 18 , 22 , 29 , 35 , 43 , 47 ,29,38,68,77,42
,Other Sources,313, 307 , 291 , 268 , 248 , 234 , 236 , 216 , 199 , 177 , 170 , 161 , 154 , 149 , 143 ,139, 134 , 130 , 128 , 117 , 114 , 115 , 129 , 142 , 157 , 155 ,142,130,129,179,120
,Crude Oil Transportation,7, 7 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 5 , 5 , 5 , 5 , 5 ,5, 5 , 5 , 5 , 5 , 5 , 5 , 6 , 7 , 8 , 8 ,8,8,8,9,9
,Refining,27, 27 , 27 , 28 , 28 , 28 , 29 , 30 , 30 , 30 , 31 , 31 , 30 , 31 , 31 ,31, 31 , 31 , 30 , 29 , 29 , 31 , 30 , 30 , 30 , 33 ,33,34,31,36,31
,Total ,"1,912"," 1,912 "," 1,880 "," 1,870 "," 1,826 "," 1,811 "," 1,848 "," 1,851 "," 1,771 "," 1,701 "," 1,698 "," 1,709 "," 1,669 "," 1,714 "," 1,722 ","1,655"," 1,781 "," 1,770 "," 1,821 "," 1,632 "," 1,678 "," 1,779 "," 1,803 "," 1,887 "," 1,888 "," 1,727 ","1,616","1,621","1,544","1,615","1,609"
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
