Table 3-49:  Recalculations of CO2 in Petroleum Systems (MMT CO2),,,,
,,,,
,Segment/Source,"Previous Estimate Year 2019,","Current Estimate Year 2019,","Current Estimate Year 2020,"
,,2021 Inventory,2022 Inventory,2022 Inventory
,Exploration,2.1,2.4,0.9
,HF Oil Well Completions,2.1,2.4,0.9
,Production ,40.2,39.2,25
,Tanks,6.1,6.7,6.5
,Associated Gas Flaring,25.4,23.7,13
,Transportation,+,+,+
,Refining,5,5.1,4.3
,Petroleum Systems Total,47.3,46.7,30.2
,+ Does not exceed 0.05 MMT CO2.,,,
