Table 3-5:  CO2 Emissions from Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel/Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Coal,"1,719.80"," 1,715.84 "," 1,732.97 "," 1,798.30 "," 1,805.04 "," 1,820.37 "," 1,905.25 "," 1,950.51 "," 1,979.39 "," 1,979.40 "," 2,065.17 "," 2,009.99 "," 2,019.70 "," 2,061.06 "," 2,076.26 ","2,113.70"," 2,078.53 "," 2,107.83 "," 2,075.51 "," 1,837.55 "," 1,931.19 "," 1,817.61 "," 1,597.34 "," 1,658.01 "," 1,655.06 "," 1,427.64 ","1,310.70","1,270.00","1,211.60","1,028.20",835.6
, Residential , 3.0 , 2.4 , 2.5 , 2.5 , 2.0 , 1.7 , 1.6 , 1.5 , 1.1 , 1.3 , 1.1 , 1.1 , 1.2 , 1.2 , 1.1 , 0.8 , 0.6 , 0.7 , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
, Commercial , 12.0 , 11.1 , 11.3 , 11.3 , 11.3 , 11.2 , 11.6 , 12.3 , 8.9 , 9.8 , 8.8 , 9.2 , 8.6 , 7.8 , 9.8 , 9.3 , 6.2 , 6.7 , 7.6 , 6.9 , 6.6 , 5.8 , 4.1 , 3.9 , 3.8 , 3.0 , 2.3 , 2.0 , 1.8 , 1.6 , 1.4 
,Industrial,157.8, 154.64 , 150.28 , 152.55 , 153.47 , 147.22 , 140.10 , 140.24 , 141.76 , 132.48 , 128.49 , 130.19 , 119.06 , 119.44 , 120.4 , 117.8 , 115.6 , 110.8 , 106.1 , 87.1 , 94.2 , 86.0 , 78.2 , 79.5 , 79.2 , 70.0 ,63.2,58.7,54.4,49.5,43
,Transportation,NO, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO ,NO, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO ,NO,NO,NO,NO,NO
,Electric Power,"1,546.50"," 1,547.17 "," 1,568.54 "," 1,631.62 "," 1,637.85 "," 1,659.86 "," 1,751.52 "," 1,796.02 "," 1,827.15 "," 1,835.40 "," 1,926.37 "," 1,868.83 "," 1,888.89 "," 1,929.96 "," 1,942.02 ","1,982.80"," 1,952.69 "," 1,986.25 "," 1,958.39 "," 1,740.15 "," 1,827.25 "," 1,722.37 "," 1,511.69 "," 1,571.25 "," 1,568.56 "," 1,351.39 ","1,242.00","1,207.10","1,152.90",973.5,788.2
, U.S. Territories , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.5 , 0.4 , 0.5 , 0.6 , 2.0 , 2.7 , 2.9 , 3.0 , 3.4 , 3.4 , 3.4 , 3.4 , 3.2 , 3.4 , 3.3 , 3.3 , 3.4 , 3.3 , 3.3 , 2.3 , 2.6 , 3.6 , 3.1 
,Natural Gas,"1,000.00"," 1,022.26 "," 1,055.79 "," 1,083.15 "," 1,108.01 "," 1,156.36 "," 1,177.67 "," 1,183.84 "," 1,160.16 "," 1,164.29 "," 1,219.84 "," 1,170.39 "," 1,208.96 "," 1,177.82 "," 1,183.73 ","1,167.00"," 1,151.89 "," 1,225.90 "," 1,236.68 "," 1,214.99 "," 1,273.96 "," 1,293.50 "," 1,353.81 "," 1,391.26 "," 1,420.24 "," 1,454.88 ","1,461.30","1,434.60","1,592.00","1,648.80","1,610.70"
,Residential,237.8, 247.3 , 254.6 , 268.2 , 262.9 , 262.8 , 284.0 , 270.1 , 246.1 , 256.4 , 270.8 , 259.2 , 265.1 , 276.2 , 264.2 ,262.2, 237.3 , 256.4 , 265.7 , 259.1 , 258.9 , 255.1 , 225.1 , 266.4 , 277.7 , 252.7 ,238.4,241.5,273.8,275.5,256.4
,Commercial,142, 148.1 , 152.1 , 154.9 , 157.0 , 164.2 , 171.1 , 174.3 , 163.3 , 165.2 , 172.5 , 164.2 , 170.5 , 172.9 , 169.8 ,162.9, 153.8 , 163.6 , 171.2 , 169.1 , 168.0 , 170.7 , 157.0 , 179.2 , 189.2 , 175.4 ,170.5,173.2,192.5,192.9,173.9
