Table 3-50:  Recalculations of CH4 in Petroleum Systems (MMT CO2 Eq.),,,,
,,,,
,Segment/Source,"Previous Estimate Year 2019,","Current Estimate Year 2019,","Current Estimate Year 2020,"
,,2021 Inventory,2022 Inventory,2022 Inventory
,Exploration,0.3,0.4,0.3
,HF Oil Well Completions,0.2,0.4,0.3
,Production ,35.7,38.8,38.9
,Produced Water,2.1,2.4,2.2
,Tanks,1.5,0.9,0.7
,Pneumatic Controllers,17.5,18.3,21.3
,Associated Gas Flaring,2,1.9,1
,Associated Gas Venting,1.1,1.7,0.6
,Chemical Injection Pumps,1.9,2,1.9
,Offshore Production,5,4.9,4.8
,Gas Engines,2.4,2.3,2.2
,Transportation,0.2,0.2,0.2
,Refining,0.9,0.9,0.8
,Petroleum Systems Total,39.3,40.4,40.2
