Table 3-54:  Tanks National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Large Tanks w/Flares,NO , 277 , 531 , 749 , 958 ," 1,150 "," 1,345 "," 1,537 "," 1,663 "," 1,688 "," 1,829 "," 1,952 "," 2,089 "," 2,224 "," 2,326 ","2,440"," 2,527 "," 2,687 "," 2,894 "," 3,011 "," 3,288 "," 3,836 "," 4,656 "," 5,519 "," 6,547 "," 7,037 ","4,441","4,247","6,130","6,625","6,486"
,Large Tanks w/VRU,NO , 1 , 1 , 1 , 2 , 2 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 ,5, 5 , 5 , 6 , 6 , 6 , 7 , 9 , 11 , 13 , 14 ,3,4,4,6,1
,Large Tanks w/o Control,24, 23 , 21 , 19 , 17 , 16 , 15 , 14 , 12 , 10 , 10 , 9 , 8 , 7 , 7 ,6, 5 , 5 , 4 , 4 , 3 , 3 , 4 , 4 , 5 , 6 ,5,4,5,5,4
,Small Tanks w/Flares,NO , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,2, 2 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 6 , 7 ,10,11,8,9,13
,Small Tanks w/o Flares,6, 6 , 6 , 5 , 5 , 5 , 5 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 ,3, 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 ,4,4,4,4,5
,Malfunctioning Separator Dump Valves,85, 85 , 81 , 77 , 73 , 70 , 69 , 67 , 64 , 57 , 56 , 54 , 53 , 52 , 51 ,50, 48 , 48 , 49 , 49 , 50 , 56 , 68 , 81 , 96 , 103 ,31,43,38,33,28
,Total Emissions,115, 392 , 640 , 852 ," 1,057 "," 1,245 "," 1,437 "," 1,627 "," 1,748 "," 1,765 "," 1,903 "," 2,024 "," 2,160 "," 2,293 "," 2,393 ","2,505"," 2,591 "," 2,751 "," 2,959 "," 3,074 "," 3,353 "," 3,909 "," 4,745 "," 5,624 "," 6,671 "," 7,171 ","4,494","4,313","6,189","6,682","6,537"
,Previous Estimate,116, 394 , 643 , 856 ," 1,062 "," 1,251 "," 1,444 "," 1,635 "," 1,756 "," 1,773 "," 1,912 "," 2,033 "," 2,170 "," 2,304 "," 2,404 ","2,517"," 2,603 "," 2,764 "," 2,972 "," 3,088 "," 3,369 "," 3,920 "," 4,764 "," 5,647 "," 6,699 "," 7,209 ","4,546","4,364","6,278","6,098",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
