Table 3-55:  Tanks National CH4 Emissions (MT CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Large Tanks w/Flares,NO , 262 , 501 , 707 , 905 ," 1,086 "," 1,270 "," 1,451 "," 1,570 "," 1,594 "," 1,726 "," 1,843 "," 1,972 "," 2,100 "," 2,195 ","2,303"," 2,386 "," 2,537 "," 2,732 "," 2,842 "," 3,103 "," 3,621 "," 4,395 "," 5,210 "," 6,180 "," 6,643 ","3,994","5,310","6,879","4,324","4,268"
,Large Tanks w/VRU,NO, 127 , 243 , 343 , 438 , 526 , 615 , 703 , 760 , 772 , 836 , 893 , 955 ," 1,017 "," 1,064 ","1,116"," 1,156 "," 1,229 "," 1,323 "," 1,377 "," 1,503 "," 1,754 "," 2,129 "," 2,524 "," 2,994 "," 3,218 ","14,369","9,058","2,574","2,430","1,109"
,Large Tanks w/o Control,"210,278"," 202,129 "," 185,721 "," 167,566 "," 153,805 "," 141,006 "," 130,907 "," 121,849 "," 109,279 "," 93,169 "," 85,517 "," 77,830 "," 71,301 "," 65,096 "," 58,382 ","52,435"," 46,332 "," 41,776 "," 37,817 "," 32,666 "," 29,110 "," 27,039 "," 32,823 "," 38,909 "," 46,151 "," 49,610 ","48,888","39,930","44,185","25,454","20,746"
,Small Tanks w/Flares,NO, 2 , 3 , 5 , 6 , 7 , 8 , 10 , 10 , 10 , 11 , 12 , 13 , 14 , 14 ,15, 16 , 17 , 18 , 19 , 20 , 24 , 29 , 34 , 40 , 43 ,17,63,22,29,33
,Small Tanks w/o Flares,"4,206"," 4,152 "," 3,924 "," 3,646 "," 3,454 "," 3,273 "," 3,148 "," 3,042 "," 2,840 "," 2,528 "," 2,430 "," 2,325 "," 2,249 "," 2,178 "," 2,083 ","2,009"," 1,922 "," 1,894 "," 1,896 "," 1,839 "," 1,876 "," 2,051 "," 2,489 "," 2,951 "," 3,500 "," 3,763 ","2,551","2,399","2,710","2,493","3,014"
,Malfunctioning Separator Dump Valves,"3,935"," 3,933 "," 3,764 "," 3,543 "," 3,399 "," 3,264 "," 3,181 "," 3,116 "," 2,949 "," 2,661 "," 2,594 "," 2,518 "," 2,470 "," 2,427 "," 2,357 ","2,308"," 2,241 "," 2,243 "," 2,281 "," 2,248 "," 2,332 "," 2,591 "," 3,145 "," 3,729 "," 4,423 "," 4,754 ","6,029","4,338","1,043",536,443
,Total Emissions,"218,419"," 210,604 "," 194,155 "," 175,810 "," 162,007 "," 149,162 "," 139,129 "," 130,171 "," 117,408 "," 100,734 "," 93,116 "," 85,420 "," 78,960 "," 72,831 "," 66,095 ","60,186"," 54,051 "," 49,695 "," 46,066 "," 40,990 "," 37,946 "," 37,080 "," 45,011 "," 53,357 "," 63,288 "," 68,032 ","75,848","61,098","57,412","35,266","29,613"
,Previous Estimate,"219,476"," 211,625 "," 195,098 "," 176,664 "," 162,795 "," 149,889 "," 139,809 "," 130,808 "," 117,984 "," 101,230 "," 93,575 "," 85,843 "," 79,352 "," 73,194 "," 66,426 ","60,489"," 54,324 "," 49,948 "," 46,303 "," 41,203 "," 38,145 "," 37,216 "," 45,228 "," 53,611 "," 63,601 "," 68,441 ","76,086","61,658","58,848","59,965", NA 
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
