Table 3-57:  Associated Gas Flaring National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,"220 - Gulf Coast Basin (LA, TX)",225, 232 , 223 , 212 , 192 , 177 , 176 , 171 , 164 , 147 , 149 , 144 , 136 , 134 , 129 ,124, 121 , 117 , 115 , 108 , 119 , 184 , 321 , 477 , 629 , 673 ,405,749,651,713,798
,360 - Anadarko Basin,102, 98 , 93 , 93 , 90 , 88 , 85 , 81 , 78 , 71 , 68 , 67 , 64 , 62 , 63 ,63, 66 , 70 , 80 , 83 , 92 , 122 , 163 , 195 , 221 , 230 ,1,62,79,18,10
,395 - Williston Basin,969, 951 , 879 , 832 , 766 , 797 , 848 , 914 , 920 , 850 , 852 , 849 , 849 , 871 ," 1,005 ","1,243"," 1,380 "," 1,452 "," 1,712 "," 1,959 "," 2,525 "," 3,243 "," 4,953 "," 6,300 "," 7,824 "," 8,439 ","6,090","6,909","11,140","14,762","8,052"
,430 - Permian Basin,"2,844"," 2,854 "," 2,729 "," 2,512 "," 2,412 "," 2,415 "," 2,441 "," 2,455 "," 2,352 "," 2,147 "," 2,135 "," 2,090 "," 2,033 "," 2,014 "," 1,982 ","1,971"," 1,960 "," 1,958 "," 2,032 "," 2,041 "," 2,145 "," 2,377 "," 2,789 "," 3,175 "," 3,817 "," 4,392 ","2,215","3,141","6,711","7,227","3,558"
,"""Other"" Basins",944, 941 , 901 , 850 , 822 , 782 , 751 , 728 , 683 , 614 , 591 , 571 , 565 , 552 , 529 ,507, 481 , 480 , 476 , 458 , 450 , 449 , 460 , 488 , 530 , 547 ,322,384,624,990,624
,Total Emissions,"5,084"," 5,076 "," 4,826 "," 4,499 "," 4,283 "," 4,260 "," 4,299 "," 4,349 "," 4,197 "," 3,829 "," 3,794 "," 3,721 "," 3,647 "," 3,633 "," 3,707 ","3,908"," 4,008 "," 4,077 "," 4,415 "," 4,648 "," 5,332 "," 6,376 "," 8,686 "," 10,634 "," 13,022 "," 14,281 ","9,033","11,245","19,206","23,710","13,041"
,"220 - Gulf Coast Basin (LA, TX)",227, 234 , 224 , 212 , 193 , 178 , 176 , 171 , 163 , 145 , 146 , 143 , 135 , 133 , 126 ,121, 118 , 114 , 112 , 105 , 118 , 183 , 320 , 475 , 629 , 672 ,404,744,643,584,NA
,360 - Anadarko Basin,108, 104 , 99 , 98 , 95 , 93 , 89 , 85 , 82 , 74 , 71 , 71 , 68 , 66 , 66 ,66, 69 , 74 , 84 , 87 , 97 , 129 , 172 , 206 , 233 , 242 ,1,64,82,18,NA
,395 - Williston Basin,987, 969 , 896 , 848 , 780 , 811 , 861 , 929 , 937 , 865 , 867 , 864 , 863 , 885 ," 1,021 ","1,263"," 1,402 "," 1,475 "," 1,739 "," 1,989 "," 2,564 "," 3,292 "," 5,029 "," 6,396 "," 7,943 "," 8,567 ","6,091","6,908","11,140","16,572",NA
,430 - Permian Basin,"2,983"," 2,987 "," 2,834 "," 2,704 "," 2,636 "," 2,615 "," 2,622 "," 2,621 "," 2,503 "," 2,283 "," 2,263 "," 2,208 "," 2,141 "," 2,112 "," 2,072 ","2,056"," 2,037 "," 2,027 "," 2,092 "," 2,097 "," 2,202 "," 2,440 "," 2,876 "," 3,266 "," 3,890 "," 4,468 ","2,261","3,209","6,782","7,161",NA
,"""Other"" Basins",935, 932 , 896 , 837 , 806 , 768 , 738 , 718 , 674 , 606 , 585 , 564 , 559 , 548 , 526 ,505, 479 , 479 , 475 , 458 , 450 , 447 , 457 , 485 , 529 , 548 ,324,387,641,"1,021",NA
,Previous Estimate,"5,241"," 5,226 "," 4,948 "," 4,699 "," 4,510 "," 4,465 "," 4,487 "," 4,524 "," 4,359 "," 3,974 "," 3,932 "," 3,850 "," 3,766 "," 3,743 "," 3,811 ","4,011"," 4,105 "," 4,168 "," 4,503 "," 4,736 "," 5,430 "," 6,490 "," 8,853 "," 10,828 "," 13,223 "," 14,498 ","9,081","11,313","19,287","25,356",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
