 Table 3-58:  Associated Gas Flaring National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,"220 - Gulf Coast Basin (LA, TX)",886, 915 , 880 , 836 , 759 , 701 , 694 , 675 , 648 , 581 , 588 , 570 , 537 , 530 , 508 ,490, 476 , 464 , 452 , 425 , 471 , 728 ," 1,267 "," 1,882 "," 2,485 "," 2,658 ","1,576","2,949","2,480","2,995","3,710"
,360 - Anadarko Basin,447, 429 , 407 , 406 , 393 , 385 , 369 , 355 , 340 , 309 , 295 , 292 , 280 , 273 , 274 ,274, 287 , 306 , 350 , 361 , 402 , 534 , 712 , 851 , 967 ," 1,003 ",4,268,348,88,21
,395 - Williston Basin,"2,665"," 2,615 "," 2,418 "," 2,289 "," 2,107 "," 2,192 "," 2,330 "," 2,512 "," 2,530 "," 2,338 "," 2,343 "," 2,335 "," 2,333 "," 2,394 "," 2,763 ","3,419"," 3,795 "," 3,993 "," 4,708 "," 5,385 "," 6,942 "," 8,916 "," 13,617 "," 17,320 "," 21,511 "," 23,201 ","16,945","20,707","37,756","43,637","22,954"
,430 - Permian Basin,"11,263"," 11,303 "," 10,810 "," 9,948 "," 9,552 "," 9,564 "," 9,666 "," 9,723 "," 9,317 "," 8,504 "," 8,454 "," 8,277 "," 8,051 "," 7,975 "," 7,849 ","7,805"," 7,765 "," 7,755 "," 8,047 "," 8,082 "," 8,495 "," 9,413 "," 11,047 "," 12,574 "," 15,117 "," 17,396 ","8,793","12,912","25,236","27,194","12,854"
,"""Other"" Basins","4,369"," 4,352 "," 4,169 "," 3,934 "," 3,806 "," 3,619 "," 3,474 "," 3,369 "," 3,159 "," 2,839 "," 2,735 "," 2,641 "," 2,614 "," 2,556 "," 2,448 ","2,347"," 2,225 "," 2,219 "," 2,202 "," 2,121 "," 2,084 "," 2,080 "," 2,130 "," 2,259 "," 2,452 "," 2,531 ","1,185","1,278","1,881","3,507","2,312"
,Total Emissions,"19,630"," 19,615 "," 18,684 "," 17,412 "," 16,617 "," 16,460 "," 16,534 "," 16,633 "," 15,994 "," 14,572 "," 14,415 "," 14,115 "," 13,815 "," 13,728 "," 13,841 ","14,335"," 14,548 "," 14,736 "," 15,759 "," 16,375 "," 18,394 "," 21,670 "," 28,773 "," 34,886 "," 42,531 "," 46,789 ","28,503","38,115","67,701","77,422","41,850"
,"220 - Gulf Coast Basin (LA, TX)",896, 924 , 885 , 836 , 761 , 702 , 696 , 674 , 645 , 573 , 578 , 564 , 533 , 523 , 498 ,479, 464 , 449 , 442 , 415 , 466 , 724 ," 1,265 "," 1,876 "," 2,481 "," 2,654 ","1,572","2,936","2,448","2,626",NA
,360 - Anadarko Basin,472, 454 , 430 , 427 , 415 , 406 , 389 , 372 , 358 , 324 , 311 , 308 , 295 , 287 , 288 ,288, 302 , 322 , 369 , 380 , 423 , 562 , 752 , 897 ," 1,017 "," 1,056 ",4,277,358,87,NA
,395 - Williston Basin,"2,931"," 2,876 "," 2,659 "," 2,517 "," 2,317 "," 2,409 "," 2,557 "," 2,760 "," 2,781 "," 2,569 "," 2,575 "," 2,565 "," 2,563 "," 2,627 "," 3,031 ","3,750"," 4,162 "," 4,378 "," 5,162 "," 5,905 "," 7,612 "," 9,774 "," 14,930 "," 18,989 "," 23,583 "," 25,437 ","16,948","20,707","37,754","48,453",NA
,430 - Permian Basin,"11,815"," 11,831 "," 11,223 "," 10,711 "," 10,440 "," 10,357 "," 10,386 "," 10,382 "," 9,914 "," 9,042 "," 8,962 "," 8,745 "," 8,478 "," 8,365 "," 8,208 ","8,143"," 8,069 "," 8,027 "," 8,287 "," 8,305 "," 8,720 "," 9,662 "," 11,389 "," 12,937 "," 15,405 "," 17,696 ","8,972","13,189","25,511","27,016",NA
,"""Other"" Basins","4,328"," 4,314 "," 4,144 "," 3,874 "," 3,730 "," 3,553 "," 3,416 "," 3,320 "," 3,117 "," 2,806 "," 2,705 "," 2,611 "," 2,587 "," 2,535 "," 2,432 ","2,335"," 2,217 "," 2,216 "," 2,200 "," 2,120 "," 2,080 "," 2,067 "," 2,112 "," 2,243 "," 2,449 "," 2,538 ","1,193","1,290","1,932","3,614",NA
,Previous Estimate,"20,441"," 20,398 "," 19,342 "," 18,365 "," 17,663 "," 17,427 "," 17,445 "," 17,508 "," 16,815 "," 15,313 "," 15,131 "," 14,794 "," 14,457 "," 14,338 "," 14,457 ","14,995"," 15,214 "," 15,393 "," 16,460 "," 17,125 "," 19,300 "," 22,789 "," 30,448 "," 36,942 "," 44,934 "," 49,380 ","28,689","38,399","68,004","81,797",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
