Table 3-59:  Associated Gas Venting National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,"220 - Gulf Coast Basin (LA, TX)",475, 491 , 472 , 448 , 407 , 376 , 372 , 362 , 348 , 312 , 315 , 306 , 288 , 284 , 272 ,263, 255 , 249 , 243 , 228 , 253 , 390 , 680 ," 1,009 "," 1,332 "," 1,425 ","2,455",580,957,"7,621","1,288"
,360 - Anadarko Basin,811, 779 , 739 , 738 , 715 , 699 , 671 , 644 , 618 , 562 , 536 , 531 , 509 , 495 , 497 ,497, 521 , 556 , 636 , 655 , 730 , 970 ," 1,293 "," 1,546 "," 1,756 "," 1,823 ",782,"4,585",318,596,"1,700"
,395 - Williston Basin,207, 203 , 188 , 178 , 164 , 170 , 181 , 195 , 196 , 181 , 182 , 181 , 181 , 186 , 215 ,265, 295 , 310 , 365 , 418 , 539 , 692 ," 1,057 "," 1,345 "," 1,670 "," 1,801 ","1,479",628,575,"4,044",341
,430 - Permian Basin,"4,041"," 4,055 "," 3,879 "," 3,569 "," 3,427 "," 3,432 "," 3,468 "," 3,489 "," 3,343 "," 3,051 "," 3,033 "," 2,970 "," 2,889 "," 2,861 "," 2,816 ","2,800"," 2,786 "," 2,782 "," 2,887 "," 2,900 "," 3,048 "," 3,377 "," 3,964 "," 4,511 "," 5,424 "," 6,242 ","8,060","9,635","9,505","54,192","18,269"
,"""Other"" Basins","15,763"," 15,701 "," 15,040 "," 14,191 "," 13,729 "," 13,056 "," 12,531 "," 12,153 "," 11,398 "," 10,243 "," 9,866 "," 9,527 "," 9,430 "," 9,222 "," 8,831 ","8,468"," 8,028 "," 8,007 "," 7,944 "," 7,652 "," 7,517 "," 7,503 "," 7,685 "," 8,148 "," 8,846 "," 9,129 ","5,071","3,472","1,739","2,082","1,919"
,Total Emissions,"21,297"," 21,230 "," 20,317 "," 19,125 "," 18,441 "," 17,732 "," 17,223 "," 16,843 "," 15,902 "," 14,349 "," 13,933 "," 13,514 "," 13,296 "," 13,048 "," 12,631 ","12,295"," 11,885 "," 11,903 "," 12,075 "," 11,854 "," 12,087 "," 12,933 "," 14,678 "," 16,560 "," 19,028 "," 20,420 ","17,847","18,899","13,093","68,535","23,517"
,"220 - Gulf Coast Basin (LA, TX)",480, 496 , 475 , 448 , 408 , 377 , 373 , 361 , 346 , 307 , 310 , 303 , 286 , 281 , 267 ,257, 249 , 241 , 237 , 223 , 250 , 388 , 678 ," 1,006 "," 1,331 "," 1,423 ","2,449",579,944,"18,139",NA
,360 - Anadarko Basin,858, 824 , 782 , 776 , 753 , 737 , 708 , 675 , 651 , 588 , 566 , 560 , 536 , 522 , 524 ,524, 548 , 585 , 669 , 690 , 768 ," 1,021 "," 1,365 "," 1,629 "," 1,847 "," 1,918 ",813,"4,728",328,590,NA
,395 - Williston Basin,211, 207 , 191 , 181 , 166 , 173 , 184 , 198 , 200 , 185 , 185 , 184 , 184 , 189 , 218 ,269, 299 , 315 , 371 , 424 , 547 , 702 ," 1,073 "," 1,364 "," 1,694 "," 1,827 ","1,479",628,575,"10,855",NA
,430 - Permian Basin,"4,239"," 4,245 "," 4,027 "," 3,843 "," 3,746 "," 3,716 "," 3,727 "," 3,725 "," 3,557 "," 3,244 "," 3,215 "," 3,138 "," 3,042 "," 3,001 "," 2,945 ","2,922"," 2,895 "," 2,880 "," 2,973 "," 2,980 "," 3,129 "," 3,467 "," 4,086 "," 4,642 "," 5,527 "," 6,349 ","8,224","9,842","9,647","8,637",NA
,"""Other"" Basins","15,613"," 15,562 "," 14,950 "," 13,977 "," 13,457 "," 12,819 "," 12,322 "," 11,978 "," 11,244 "," 10,123 "," 9,757 "," 9,421 "," 9,334 "," 9,146 "," 8,775 ","8,424"," 7,997 "," 7,994 "," 7,936 "," 7,649 "," 7,503 "," 7,457 "," 7,620 "," 8,092 "," 8,833 "," 9,155 ","5,104","3,503","1,788","3,830",NA
,Previous Estimate,"21,401"," 21,333 "," 20,425 "," 19,225 "," 18,530 "," 17,822 "," 17,313 "," 16,938 "," 15,998 "," 14,447 "," 14,033 "," 13,606 "," 13,382 "," 13,139 "," 12,728 ","12,396"," 11,988 "," 12,014 "," 12,187 "," 11,965 "," 12,196 "," 13,035 "," 14,823 "," 16,734 "," 19,232 "," 20,672 ","18,069","19,280","13,282","42,051",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
