Table 3-68:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Exploration,3, 3.0 , 2.2 , 2.8 , 2.7 , 2.6 , 3.0 , 4.2 , 3.8 , 4.3 , 5.8 , 7.6 , 6.0 , 6.9 , 7.9 ,9, 10.2 , 10.1 , 10.7 , 6.1 , 5.9 , 5.7 , 2.4 , 2.8 , 0.9 , 1.1 ,0.7,1.2,2.3,1.9,0.2
,Production,61.3, 65.0 , 65.1 , 66.8 , 69.6 , 67.7 , 70.8 , 73.3 , 74.0 , 72.1 , 74.3 , 79.0 , 79.5 , 81.8 , 83.5 ,83.4, 89.7 , 92.1 , 96.4 , 95.6 , 93.1 , 93.3 , 95.4 , 95.3 , 92.6 , 92.3 ,90.1,92.6,93.8,92.8,86.4
,Onshore Production,37.5, 41.4 , 41.0 , 42.1 , 44.1 , 41.9 , 44.4 , 46.6 , 47.4 , 46.2 , 47.3 , 51.7 , 52.3 , 54.3 , 55.4 ,56.8, 60.6 , 62.2 , 64.9 , 64.0 , 62.6 , 60.9 , 61.6 , 61.0 , 56.9 , 55.1 ,52.6,53.4,54.3,51.6,47.6
,Gathering and Boosting,18.5, 19.2 , 19.7 , 20.1 , 20.7 , 21.0 , 21.6 , 21.8 , 21.8 , 21.4 , 22.1 , 22.5 , 22.5 , 22.9 , 23.6 ,24, 24.5 , 25.9 , 27.7 , 28.1 , 28.9 , 31.1 , 32.6 , 33.3 , 34.9 , 36.7 ,36.4,38.3,38.7,39.9,37.5
,Offshore Production,4.3, 4.4 , 4.4 , 4.5 , 4.7 , 4.8 , 4.8 , 5.0 , 4.8 , 4.5 , 4.8 , 4.8 , 4.8 , 4.6 , 4.5 ,1.8, 4.5 , 4.0 , 3.8 , 3.5 , 1.6 , 1.4 , 1.3 , 1.0 , 0.8 , 0.6 ,0.8,0.7,0.8,0.8,1
,Processing,21.3, 21.1 , 21.2 , 20.6 , 20.1 , 18.2 , 16.4 , 15.8 , 14.0 , 14.2 , 13.9 , 13.1 , 13.2 , 12.5 , 12.1 ,11.6, 11.3 , 11.0 , 10.7 , 10.3 , 10.0 , 10.0 , 10.0 , 10.7 , 11.0 , 11.0 ,11.2,11.5,12.1,12.6,12.4
,Transmission and Storage,57.2, 57.9 , 58.0 , 56.7 , 55.4 , 54.0 , 52.4 , 51.2 , 49.3 , 47.9 , 46.8 , 44.9 , 43.8 , 42.3 , 40.9 ,39.5, 38.0 , 37.2 , 36.2 , 34.8 , 34.4 , 33.5 , 33.5 , 35.2 , 36.5 , 38.3 ,38.3,36.5,38.4,39.6,40.6
,Distribution,45.5, 44.9 , 43.8 , 43.3 , 43.6 , 40.5 , 38.3 , 37.3 , 36.1 , 34.1 , 32.7 , 31.4 , 29.9 , 27.8 , 26.7 ,25.5, 24.2 , 20.3 , 19.3 , 17.7 , 16.0 , 14.7 , 14.7 , 14.5 , 14.4 , 14.2 ,14.2,14.1,14,13.9,13.9
,Post-Meter,7.2, 7.3 , 7.4 , 7.5 , 7.7 , 8.1 , 8.0 , 8.1 , 8.4 , 8.5 , 8.7 , 8.6 , 8.7 , 8.4 , 8.6 ,8.6, 8.8 , 9.0 , 9.0 , 8.9 , 9.0 , 8.9 , 9.5 , 9.3 , 9.6 , 10.4 ,10.7,10.6,11.1,11.4,11.5
,Total,195.5, 199.1 , 197.7 , 197.5 , 199.2 , 191.1 , 188.9 , 189.9 , 185.6 , 181.0 , 182.0 , 184.5 , 181.1 , 179.6 , 179.6 ,177.5, 182.1 , 179.9 , 182.2 , 173.5 , 168.6 , 166.1 , 165.5 , 167.9 , 165.0 , 167.3 ,165.2,166.6,171.8,172.1,164.9
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
