Table 3-69:  CH4 Emissions from Natural Gas Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Exploration,119, 119 , 87 , 110 , 109 , 104 , 120 , 166 , 151 , 171 , 231 , 302 , 240 , 278 , 315 ,358, 408 , 405 , 427 , 244 , 237 , 226 , 96 , 113 , 36 , 43 ,27,49,94,75,8
,Production,"2,450"," 2,600 "," 2,602 "," 2,670 "," 2,783 "," 2,710 "," 2,831 "," 2,933 "," 2,960 "," 2,884 "," 2,970 "," 3,159 "," 3,182 "," 3,270 "," 3,339 ","3,336"," 3,587 "," 3,685 "," 3,856 "," 3,822 "," 3,726 "," 3,733 "," 3,818 "," 3,813 "," 3,703 "," 3,693 ","3,605","3,705","3,753","3,710","3,455"
,Onshore Production,"1,542"," 1,658 "," 1,640 "," 1,684 "," 1,765 "," 1,676 "," 1,774 "," 1,862 "," 1,896 "," 1,848 "," 1,894 "," 2,069 "," 2,091 "," 2,171 "," 2,215 ",2305," 2,426 "," 2,489 "," 2,596 "," 2,559 "," 2,504 "," 2,435 "," 2,462 "," 2,440 "," 2,274 "," 2,203 ","2,115","2,145","2,174","2,085","1,916"
,Gathering and Boosting,739, 768 , 787 , 805 , 830 , 842 , 865 , 870 , 870 , 855 , 886 , 899 , 899 , 917 , 944 ,958, 980 ," 1,034 "," 1,106 "," 1,122 "," 1,157 "," 1,243 "," 1,304 "," 1,332 "," 1,398 "," 1,466 ","1,457","1,533","1,548","1,595","1,500"
,Offshore Production,170, 174 , 175 , 181 , 189 , 192 , 192 , 200 , 194 , 181 , 191 , 191 , 191 , 182 , 179 ,73, 181 , 162 , 154 , 141 , 64 , 55 , 51 , 41 , 31 , 24 ,32,26,31,30,39
,Processing,853, 843 , 848 , 822 , 802 , 729 , 657 , 632 , 559 , 567 , 555 , 526 , 529 , 500 , 483 ,463, 452 , 439 , 427 , 413 , 402 , 400 , 400 , 429 , 441 , 441 ,447,460,483,505,494
,Transmission and Storage,"2,288"," 2,317 "," 2,320 "," 2,266 "," 2,217 "," 2,162 "," 2,097 "," 2,050 "," 1,973 "," 1,914 "," 1,872 "," 1,794 "," 1,752 "," 1,691 "," 1,636 ","1,580"," 1,519 "," 1,490 "," 1,447 "," 1,393 "," 1,376 "," 1,340 "," 1,338 "," 1,407 "," 1,458 "," 1,533 ","1,534","1,460","1,538","1,583","1,625"
,Distribution,"1,819"," 1,795 "," 1,751 "," 1,732 "," 1,744 "," 1,618 "," 1,531 "," 1,490 "," 1,445 "," 1,364 "," 1,307 "," 1,256 "," 1,195 "," 1,111 "," 1,068 ","1,018", 967 , 813 , 773 , 709 , 640 , 588 , 588 , 582 , 576 , 569 ,569,564,559,555,554
,Post-Meter,290, 292 , 298 , 300 , 310 , 322 , 320 , 325 , 337 , 339 , 346 , 342 , 348 , 337 , 344 ,344, 352 , 362 , 360 , 358 , 361 , 356 , 381 , 371 , 385 , 415 ,426,424,445,457,459
,Total,"7,819"," 7,965 "," 7,906 "," 7,901 "," 7,966 "," 7,645 "," 7,556 "," 7,596 "," 7,425 "," 7,240 "," 7,281 "," 7,379 "," 7,246 "," 7,186 "," 7,184 ","7,100"," 7,285 "," 7,194 "," 7,290 "," 6,938 "," 6,743 "," 6,644 "," 6,621 "," 6,715 "," 6,599 "," 6,693 ","6,609","6,662","6,871","6,885","6,596"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
