Table 3-7:  CO2 Emissions from Stationary Fossil Fuel Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Electric Power,"1,820.0","1,817.4","1,830.7","1,906.2","1,930.5","1,947.2","2,020.2","2,087.5","2,176.6","2,189.7","2,296.2","2,257.2","2,272.2","2,303.7","2,335.1","2,400.1","2,344.4","2,411.1","2,359.3","2,145.4","2,258.6","2,158.1","2,023.3","2,038.3","2,037.2","1,900.6","1,808.9","1,732.0","1,752.9","1,606.1","1,439.0"
,Coal,"1,546.5","1,547.2","1,568.5","1,631.6","1,637.9","1,659.9","1,751.5","1,796.0","1,827.2","1,835.4","1,926.4","1,868.8","1,888.9","1,930.0","1,942.0","1,982.8","1,952.7","1,986.3","1,958.4","1,740.2","1,827.3","1,722.4","1,511.7","1,571.3","1,568.6","1,351.4","1,242.0","1,207.1","1,152.9",973.5,788.2
,Natural Gas,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.4,616,634.3
,Fuel Oil,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2
,Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Industrial,853.7,839.1,866.7,865.9,872.8,889.7,922.5,917.1,890.8,843.4,869.9,867.5,853.3,852.8,876.2,851.5,875.8,867.1,819.8,743.2,796.4,797.1,806.9,834.4,814.6,797.3,792.7,790.4,814.1,816.1,766.3
,Coal,157.8,154.6,150.3,152.6,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86,78.2,79.5,79.2,70,63.2,58.7,54.4,49.5,43
,Natural Gas,408.8,415,430.8,438.3,439.6,462.8,478.6,479.3,467.7,447,459.4,421.5,429.1,416,419.8,388.6,388.3,397.8,399.4,375,407.9,417.9,434.9,451.4,467,459.1,463.9,469.5,494,501.6,485.5
,Fuel Oil,287.1,269.4,285.6,275,279.7,279.6,303.8,297.6,281.3,263.9,282.1,315.8,305.1,317.4,336,345,371.9,358.5,314.2,281.2,294.4,293.3,293.7,303.5,268.3,268.2,265.7,262.2,265.7,265,237.8
,Commercial,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232,245.8,250.7,226.8
