Table 3-75:  Recalculations of CO2 in Natural Gas Systems (MMT CO2),,,,
,,,,
,Segment and Emission Sources with Changes of Greater than 0.05 MMT CO2 due to Recalculations,"Previous Estimate Year 2019, ","Current Estimate Year 2019, ","Current Estimate Year 2020, "
,,2021 Inventory,2022 Inventory,2022 Inventory
,Exploration,0.2,0.2,0.1
,Production,11,10.9,7.7
,Misc. Onshore Production Flaring,1.8,1.9,1.1
,Large Tanks with Flares,0.7,0.6,0.6
,Processing,24.8,26.4,25.5
,Flares,8.3,9.8,7.9
,Transmission and Storage,1.2,1.2,2
,Distribution,+,+,+
,Post-Meter,+,+,+
,Total,37.2,38.7,35.4
,+ Does not exceed 0.05 MMT CO2.,,,
