Table 3-76:  Recalculations of CH4 in Natural Gas Systems (MMT CO2 Eq.),,,,
,,,,
,Segment and Emission Sources with Changes of Greater than 0.05 MMT CO2 due to Recalculations,"Previous Estimate Year 2019, ","Current Estimate Year 2019, ","Current Estimate Year 2020,"
,,2021 Inventory,2022 Inventory , 2022 Inventory 
,Exploration,0.5,1.9,0.2
,Well Blowouts,0,1.3,0
,Production,97.1,95,86.4
,Produced Water,4.7,4,3.5
,Pneumatic Controllers,28.2,25.6,23.8
,Gas Engines,6.3,5.8,5.7
,Miscellaneous Onshore Flaring,0.2,0.2,0.1
,Small Tanks w/o Flares,0.5,0.5,0.3
,G&B Station Sources,40.9,39.9,37.5
,Gathering Pipeline Leaks,2.8,2.9,3.2
,Gathering Pipeline Blowdowns,0.8,0.2,0.2
,Processing,12.4,12.6,12.4
,Flares,0.9,1.1,0.9
,Transmission and Storage,43.7,43.4,40.6
,Reciprocating Compressors (Transmission),10.2,10.2,10.5
,Wells (Storage),0.4,0.3,0.3
,Pipeline Venting,5,4.7,5.5
,Distribution,14,13.9,13.9
,Post-Meter,NA,11.4,11.5
,Total,167.7,178.4,164.9
,NA (Not Applicable),,,
