Table 3-94:  Natural Gas STAR and Methane Challenge Emission Reductions (Metric Tons CH4 Reduction),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Production,NA,"2,313","4,235","6,803","8,907","12,944","21,604","29,119","38,875","46,270","42,612","48,242","47,034","62,085","73,858","71,220","87,663","97,119","128,258","133,260","157,298","163,726","91,679","92,302","86,427","87,587","88,780","100,364","82,782","84,380","84,380"
,Transmission and Storage,NA, -   , -   ,"3,874","6,436","10,272","13,088","14,410","37,029","38,246","40,978","48,243","58,900","64,282","70,938","72,856","83,101","82,291","93,084","101,622","90,268","90,314","95,189","95,131","98,980","100,796","115,408","123,082","143,493","153,828","153,828"
,Distribution,NA, -   , -   ,963,"1,813","1,272","1,573","4,308","1,699","1,611","1,516","1,650","4,652","2,744","3,952","6,605","9,630","5,406","4,278","4,147","4,614","7,642","3,403","4,062","3,925","4,260","4,209","4,547","4,987","3,825","3,825"
,Total,NA,"2,313","4,235","11,639","17,155","24,487","36,264","47,838","77,603","86,127","85,106","98,134","110,585","129,111","148,748","150,681","180,393","184,815","225,620","239,029","252,179","261,681","190,271","191,495","189,331","192,642","208,397","227,993","231,262","242,033","242,033"
,Previous Estimate,NA, -   , -   ," 14,322 "," 36,510 "," 59,561 "," 104,125 "," 135,801 "," 197,712 "," 247,022 "," 272,298 "," 320,307 "," 350,976 "," 383,075 "," 408,261 ","420,902"," 444,469 "," 445,035 "," 497,968 "," 489,521 "," 502,135 "," 505,477 "," 513,625 "," 519,799 "," 519,743 "," 519,789 ","519,798","519,798","519,798","519,798",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
