Table 3-95:  Post-Meter Segment National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Residential,"142,755"," 141,897.25 ",142559.5541,142669.0628,146247.103,149384.1626,148224.5225,150206.327,156829.9242,160435.6418,161936.5018,165741.2983,165145.4406,164034.6512,167392.003,"169,828"," 173,702 "," 173,636 "," 173,192 "," 174,179 "," 164,415 "," 154,976 "," 158,447 "," 155,540 "," 166,837 "," 181,386 ","186,242","189,537","188,637","190,478","192,199"
Commercial,"16,945"," 17,429.01 ",17638.796,17859.624,18135.62,18546,18880.908,19045.636,20177.988,20040.756,20043.268,19985.784,20257.536,20608.708,20559.796,"20,792"," 21,094 "," 21,235 "," 21,777 "," 21,289 "," 21,206 "," 21,279 "," 21,426 "," 21,490 "," 21,654 "," 21,815 ","21,899","22,000","22,073","22,206","22,508"
Industrial and EGUs,"130,251"," 132,252.32 ",137569.4543,139824.2604,145160.8918,154276.1555,152818.8057,156069.0249,159495.4649,158323.2534,164231.6112,156365.909,162109.5767,151867.193,156513.1901,"153,837"," 157,335 "," 166,757 "," 164,897 "," 162,143 "," 175,553 "," 179,988 "," 200,860 "," 193,679 "," 195,999 "," 211,941 ","218,144","212,931","234,483","243,838","244,333"
Natural Gas Vehicles,+, 0.34 ,0.677311044,1.015085186,1.352859327,1.690633469,2.028407611,2.366181753,2.703955895,3.041730037,3.918775222,4.735967384,5.76879736,6.288950996,6.70911684,7, 7 , 8 , 8 , 9 , 9 , 10 , 11 , 13 , 15 , 18 ,21,24,27,30,32
Total,"289,951"," 291,579 "," 297,768 "," 300,354 "," 309,545 "," 322,208 "," 319,926 "," 325,323 "," 336,506 "," 338,803 "," 346,215 "," 342,098 "," 347,518 "," 336,517 "," 344,472 ","344,464"," 352,138 "," 361,636 "," 359,874 "," 357,621 "," 361,183 "," 356,253 "," 380,744 "," 370,721 "," 384,505 "," 415,160 ","426,306","424,492","445,220","456,551","459,072"
Previous Estimate,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
+ Does not exceed 0.5 metric tons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
