Table 3-96:  Post-Meter Segment National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Residential,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Commercial,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 ,0.2, 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 ,0.2,0.2,0.2,0.2,0.2
Industrial and EGUs,1.1, 1.1 , 1.1 , 1.2 , 1.2 , 1.3 , 1.3 , 1.3 , 1.3 , 1.3 , 1.4 , 1.3 , 1.3 , 1.3 , 1.3 ,1.3, 1.3 , 1.4 , 1.4 , 1.3 , 1.4 , 1.5 , 1.7 , 1.6 , 1.6 , 1.7 ,1.8,1.8,1.9,2,2
Natural Gas Vehicles,+, + , + , + , + , + , + , + , + , + , + , + , + , + , + ,+, 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,+,+,+,+,+
Total,1.2, 1.2 , 1.3 , 1.3 , 1.3 , 1.4 , 1.4 , 1.4 , 1.5 , 1.5 , 1.5 , 1.5 , 1.5 , 1.4 , 1.5 ,1.4, 1.5 , 1.6 , 1.5 , 1.5 , 1.6 , 1.7 , 1.8 , 1.8 , 1.8 , 1.9 ,2,1.9,2.1,2.2,2.2
Previous Estimate,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
+ Does not exceed 0.05 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IE (Included Elsewhere). Due to calculation methodologies, residential post-meter CO2 fugitive emissions are included in the fossil fuel combustion values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
