Table 4-1: Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,213.0 ,203.1 ,206.2 ,204.0 ,211.7 ,220.0 ,221.2 ,225.8 ,222.3 ,221.3 ,218.5 ,197.2 ,196.7 ,191.8 ,199.5 ,194.4 ,199.2 ,201.3 ,186.5 ,144.3 ,172.4 ,176.2 ,173.4 ,174.8 ,179.3 ,174.2 ,166.0 ,164.7 ,165.1 ,171.2 ,163.6 
,Iron and Steel Production & Metallurgical Coke Production,104.7 ,95.2 ,96.0 ,91.6 ,94.5 ,98.4 ,96.4 ,97.6 ,91.1 ,89.0 ,90.5 ,79.8 ,75.8 ,72.7 ,72.2 ,70.1 ,72.8 ,74.5 ,69.9 ,45.1 ,58.6 ,63.0 ,57.3 ,55.2 ,58.2 ,47.9 ,43.6 ,40.6 ,42.6 ,43.1 ,37.7 
,Iron and Steel Production,99.1 ,90.1 ,92.0 ,88.7 ,89.4 ,93.2 ,92.0 ,93.8 ,86.4 ,84.3 ,85.9 ,76.8 ,71.6 ,68.3 ,68.4 ,66.2 ,69.0 ,70.6 ,65.8 ,42.9 ,54.8 ,59.8 ,55.0 ,51.6 ,54.5 ,43.5 ,41.0 ,38.6 ,41.3 ,40.1 ,35.4 
,Metallurgical Coke Production,5.6 ,5.1 ,4.0 ,3.0 ,5.2 ,5.2 ,4.4 ,3.8 ,4.8 ,4.7 ,4.5 ,3.0 ,4.2 ,4.4 ,3.8 ,3.9 ,3.8 ,3.9 ,4.1 ,2.2 ,3.8 ,3.1 ,2.2 ,3.5 ,3.7 ,4.4 ,2.6 ,2.0 ,1.3 ,3.0 ,2.3 
,Cement Production,33.5 ,32.7 ,33.0 ,34.8 ,36.3 ,37.1 ,37.3 ,38.6 ,39.5 ,40.2 ,41.4 ,41.6 ,43.2 ,43.3 ,45.9 ,46.2 ,46.9 ,45.5 ,41.4 ,29.6 ,31.4 ,32.2 ,35.3 ,36.4 ,39.4 ,39.9 ,39.4 ,40.3 ,39.0 ,40.9 ,40.7 
,Petrochemical Production,21.6 ,23.1 ,23.7 ,24.6 ,26.6 ,27.9 ,29.1 ,30.5 ,30.9 ,32.3 ,31.6 ,27.6 ,28.7 ,28.5 ,30.7 ,27.4 ,27.6 ,28.1 ,24.7 ,23.8 ,27.3 ,26.3 ,26.5 ,26.4 ,26.5 ,28.1 ,28.1 ,28.9 ,29.3 ,30.7 ,30.0 
,Ammonia Production,13.0 ,13.3 ,13.7 ,13.2 ,14.2 ,13.5 ,13.8 ,14.0 ,14.1 ,12.9 ,12.2 ,9.2 ,10.5 ,8.8 ,9.6 ,9.2 ,8.8 ,9.1 ,8.4 ,8.4 ,9.2 ,8.2 ,8.9 ,9.5 ,9.4 ,10.6 ,10.2 ,11.1 ,12.2 ,12.3 ,12.7 
,Lime Production,11.7 ,11.5 ,11.9 ,12.3 ,12.7 ,13.5 ,14.2 ,14.5 ,14.8 ,14.4 ,14.3 ,13.7 ,13.2 ,13.9 ,14.6 ,14.6 ,15.2 ,14.7 ,14.5 ,11.4 ,13.4 ,14.0 ,13.8 ,14.0 ,14.2 ,13.3 ,12.6 ,12.9 ,13.1 ,12.1 ,11.3 
,Other Process Uses of Carbonates,6.2 ,5.6 ,5.6 ,5.2 ,5.5 ,7.3 ,8.0 ,7.7 ,7.8 ,8.6 ,5.8 ,6.0 ,6.3 ,4.9 ,6.7 ,7.5 ,8.6 ,7.9 ,6.7 ,8.7 ,10.6 ,9.7 ,8.9 ,10.9 ,12.6 ,12.1 ,10.8 ,9.9 ,7.4 ,9.8 ,9.8 
,Urea Consumption for Non-Agricultural Purposes,3.8 ,3.5 ,3.9 ,4.6 ,4.3 ,4.3 ,3.9 ,3.9 ,4.8 ,4.7 ,4.2 ,4.1 ,3.7 ,3.6 ,3.7 ,3.7 ,3.5 ,4.9 ,4.1 ,3.4 ,4.7 ,5.1 ,4.8 ,4.6 ,1.8 ,4.7 ,5.3 ,5.2 ,6.0 ,6.0 ,6.0 
