Table 4-100:  Emissions of HFCs and PFCs from ODS Substitutes (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
HFC-23,0.0,0.0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
HFC-32,0.0,0.0,0.0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 ,0.6 ,0.8 ,1.1 ,1.5 ,1.9 ,2.3 ,2.8 ,3.4 ,3.9 ,4.6 ,5.3 ,6.0 ,6.8 ,7.7 
HFC-125,+ ,+ ,+ ,0.1 ,0.3 ,0.7 ,1.1 ,1.8 ,2.3 ,3.0 ,3.6 ,4.3 ,5.2 ,6.2 ,7.2 ,9.0 ,11.3 ,14.3 ,17.6 ,21.2 ,25.3 ,29.2 ,32.8 ,36.4 ,40.0 ,43.4 ,46.9 ,50.1 ,53.7 ,58.4 ,63.5 
HFC-134a,+ ,+ ,1.2 ,5.2 ,13.4 ,28.9 ,39.1 ,49.1 ,55.5 ,62.4 ,68.6 ,74.0 ,76.3 ,78.0 ,79.5 ,80.1 ,82.2 ,84.1 ,86.4 ,89.1 ,89.1 ,84.9 ,80.6 ,76.1 ,74.4 ,73.2 ,69.1 ,64.7 ,62.1 ,60.9 ,59.5 
HFC-143a,+ ,+ ,+ ,0.1 ,0.2 ,0.5 ,0.9 ,1.5 ,2.2 ,3.2 ,3.9 ,4.8 ,5.8 ,6.8 ,7.8 ,9.4 ,11.1 ,13.0 ,15.3 ,17.8 ,20.2 ,22.3 ,24.1 ,25.7 ,26.9 ,27.6 ,28.2 ,28.0 ,27.7 ,27.8 ,27.9 
HFC-236fa,0.0,0.0,0.0,0.1 ,0.2 ,0.4 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 ,1.0 ,1.1 ,1.2 ,1.2 ,1.2 ,1.3 ,1.3 ,1.3 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.2 ,1.2 ,1.1 ,1.1 
CF4,0.0,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 
Othersa,0.2 ,0.5 ,0.5 ,0.5 ,0.5 ,1.7 ,3.3 ,4.0 ,4.7 ,4.9 ,4.7 ,4.7 ,5.4 ,6.3 ,6.8 ,7.2 ,7.6 ,8.1 ,8.5 ,9.1 ,9.7 ,10.4 ,11.1 ,11.8 ,12.4 ,13.8 ,14.9 ,16.1 ,16.6 ,16.8 ,16.6 
Total,0.2 ,0.5 ,1.7 ,5.9 ,14.7 ,32.2 ,44.9 ,56.9 ,65.3 ,74.1 ,81.6 ,88.8 ,93.9 ,98.6 ,102.6 ,107.2 ,113.9 ,121.5 ,129.8 ,139.5 ,147.2 ,150.1 ,152.3 ,154.3 ,158.6 ,163.3 ,165.1 ,165.5 ,167.3 ,171.8 ,176.2 
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Others represent an unspecified mix of HFCs and PFCs, which includes HFC-152a, HFC-227ea, HFC-245fa, HFC-365mfc, HFC-43-10mee, HCFO-1233zd(E), HFO-1234yf, HFO-1234ze(E), HFO-1336mzz(Z), C4F10, and PFC/PFPEs, the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications. For estimating purposes, the GWP value used for PFC/PFPEs was based upon C6F14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
