Table 4-101:  Emissions of HFCs and PFCs from ODS Substitution (Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
HFC-23, -   , -   , -   , -   , -   ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 
HFC-32, -   , -   , -   , -   ,+ ,+ ,+ ,1 ,2 ,5 ,22 ,55 ,106 ,176 ,268 ,397 ,644 ,923 ,"1,215 ","1,562 ","2,166 ","2,779 ","3,443 ","4,189 ","4,996 ","5,835 ","6,791 ","7,832 ","8,937 ","10,077 ","11,374 "
HFC-125,+ ,+ ,+ ,34 ,91 ,192 ,326 ,502 ,655 ,856 ,"1,021 ","1,237 ","1,495 ","1,777 ","2,064 ","2,580 ","3,241 ","4,098 ","5,017 ","6,046 ","7,217 ","8,343 ","9,368 ","10,411 ","11,431 ","12,391 ","13,399 ","14,308 ","15,335 ","16,682 ","18,153 "
HFC-134a,+ ,+ ,840 ,"3,630 ","9,377 ","20,206 ","27,353 ","34,316 ","38,814 ","43,607 ","47,969 ","51,726 ","53,388 ","54,579 ","55,594 ","56,029 ","57,463 ","58,825 ","60,426 ","62,274 ","62,320 ","59,345 ","56,340 ","53,204 ","52,061 ","51,180 ","48,337 ","45,264 ","43,419 ","42,558 ","41,590 "
HFC-143a,+ ,+ ,+ ,16 ,45 ,113 ,209 ,345 ,499 ,710 ,872 ,"1,074 ","1,299 ","1,529 ","1,739 ","2,093 ","2,480 ","2,919 ","3,418 ","3,990 ","4,522 ","4,992 ","5,396 ","5,745 ","6,008 ","6,178 ","6,320 ","6,264 ","6,188 ","6,230 ","6,234 "
HFC-236fa, -   , -   , -   ,7 ,22 ,36 ,45 ,55 ,65 ,74 ,83 ,91 ,99 ,106 ,112 ,118 ,123 ,127 ,130 ,133 ,136 ,139 ,142 ,147 ,145 ,134 ,129 ,124 ,118 ,112 ,108 
CF4, -   , -   , -   , -   ,+ ,+ ,+ ,+ ,+ ,+ ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,4 ,4 ,4 ,5 ,5 ,6 ,6 ,6 ,7 ,7 ,7 
Othersa,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M ,M,M
+ Does not exceed 0.5 MT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M (Mixture of Gases).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Others represent an unspecified mix of HFCs and PFCs, which includes HFC-152a, HFC-227ea, HFC-245fa, HFC-365mfc, HFC-43-10mee, HCFO-1233zd(E), HFO-1234yf, HFO-1234ze(E), HFO-1336mzz(Z), C4F10, and PFC/PFPEs, the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
