Table 4-102:  Emissions of HFCs and PFCs from ODS Substitutes (MMT CO2 Eq.) by Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Refrigeration/Air Conditioning,+ ,+ ,1.2 ,5.5 ,13.3 ,21.4 ,31.2 ,41.6 ,49.3 ,57.5 ,64.9 ,72.5 ,77.0 ,80.9 ,85.0 ,89.7 ,95.1 ,101.2 ,108.2 ,114.5 ,118.4 ,119.2 ,119.8 ,120.0 ,122.5 ,124.7 ,126.4 ,126.9 ,129.3 ,133.3 ,137.7 
Commercial Refrigeration,+ ,+ ,+ ,0.2 ,0.5 ,1.0 ,1.8 ,2.9 ,4.0 ,5.4 ,6.5 ,7.8 ,9.3 ,10.9 ,12.3 ,15.0 ,18.0 ,21.9 ,26.3 ,30.8 ,34.2 ,37.3 ,39.5 ,41.2 ,42.4 ,42.9 ,42.8 ,41.4 ,40.3 ,41.1 ,41.6 
Domestic Refrigeration,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.6 ,1.0 ,1.1 ,1.1 ,1.1 ,1.2 ,1.2 ,1.2 ,1.3 ,1.3 ,1.4 ,1.3 ,1.3 
Industrial Process     Refrigeration,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.7 ,0.8 ,1.0 ,1.2 ,1.4 ,1.6 ,1.9 ,2.1 ,2.4 ,2.7 ,3.6 ,4.7 ,5.8 ,6.9 ,8.1 ,9.2 ,10.4 ,11.6 ,12.9 ,14.1 ,15.3 ,16.5 
Transport Refrigeration,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.7 ,0.8 ,1.0 ,1.1 ,1.3 ,1.4 ,1.6 ,1.7 ,2.0 ,2.2 ,2.4 ,2.9 ,3.4 ,3.9 ,4.4 ,4.9 ,5.4 ,5.9 ,6.4 ,6.9 ,7.4 ,7.9 
Mobile Air Conditioning,+ ,+ ,1.2 ,5.1 ,12.3 ,19.4 ,28.1 ,37.0 ,43.3 ,49.5 ,55.4 ,61.1 ,63.4 ,64.9 ,66.7 ,67.7 ,68.6 ,69.2 ,69.7 ,68.6 ,65.1 ,59.0 ,53.2 ,47.1 ,43.8 ,40.9 ,37.4 ,33.7 ,31.5 ,29.3 ,27.1 
Residential Stationary Air Conditioning,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.3 ,0.6 ,0.9 ,1.4 ,2.3 ,3.2 ,4.3 ,5.3 ,7.2 ,9.1 ,11.1 ,13.4 ,15.9 ,18.5 ,21.6 ,24.8 ,28.2 ,31.6 ,35.7 
Commercial Stationary Air Conditioning,+ ,+ ,+ ,0.2 ,0.3 ,0.5 ,0.7 ,0.8 ,1.0 ,1.1 ,1.2 ,1.4 ,1.5 ,1.7 ,1.8 ,2.0 ,2.1 ,2.3 ,2.4 ,2.7 ,3.1 ,3.6 ,4.0 ,4.5 ,5.0 ,5.3 ,5.8 ,6.3 ,6.8 ,7.2 ,7.6 
Aerosols,0.2 ,0.5 ,0.5 ,0.5 ,1.3 ,9.6 ,11.0 ,12.2 ,12.7 ,13.0 ,13.2 ,12.8 ,12.3 ,11.8 ,11.3 ,10.7 ,11.5 ,12.4 ,13.3 ,14.8 ,16.5 ,17.7 ,18.5 ,19.3 ,20.1 ,20.8 ,19.6 ,18.6 ,17.4 ,17.8 ,18.1 
Foams,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.2 ,0.3 ,0.3 ,0.4 ,1.7 ,3.3 ,3.6 ,4.0 ,4.4 ,4.9 ,5.3 ,7.0 ,8.9 ,9.7 ,10.4 ,11.2 ,12.0 ,13.7 ,14.7 ,15.6 ,16.1 ,16.0 ,15.5 
Solvents,+ ,+ ,+ ,+ ,+ ,1.3 ,2.7 ,3.0 ,3.1 ,3.1 ,2.8 ,2.5 ,2.2 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,2.0 ,2.0 ,2.1 ,2.1 ,2.1 ,2.2 ,2.2 ,2.3 ,2.3 ,2.4 
Fire Protection,+ ,+ ,+ ,+ ,+ ,+ ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.7 ,0.8 ,0.9 ,1.0 ,1.1 ,1.3 ,1.4 ,1.5 ,1.6 ,1.7 ,1.8 ,1.9 ,2.1 ,2.2 ,2.3 ,2.4 ,2.5 ,2.6 ,2.8 ,2.8 
Total,0.2 ,0.5 ,1.7 ,5.9 ,14.7 ,32.3 ,45.1 ,57.1 ,65.5 ,74.4 ,81.8 ,89.0 ,94.1 ,98.8 ,102.8 ,107.4 ,114.1 ,121.7 ,130.1 ,139.8 ,147.5 ,150.4 ,152.6 ,154.6 ,158.9 ,163.6 ,165.4 ,165.8 ,167.7 ,172.2 ,176.6 
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
