"Table 4-106: U.S. Emissions of HFC-32, HFC-125, HFC-134a and HFC-143a (Gg)",,,,,,,,
,,,,,,,,
Gas,Source,2008,2009,2010,2011,2012,2013,2014
HFC-32,NOAA,1.65±0.34,2.12±0.44,2.87±0.44,3.33±0.66,3.75±0.43,4.26±0.44,5.05±0.86
,EPA,1.22,1.56,2.17,2.78,3.44,4.19,5
HFC-125,NOAA,7.05±1.68,6.52±1.52,7.91±1.37,7.92±1.29,7.79±0.85,8.79±1.05,9.77±1.40
,EPA,5.02,6.05,7.22,8.34,9.37,10.41,11.43
HFC-134a,NOAA,49.14±11.05,42.11±9.59,49.81±6.46,40.45±6.90,37.63±3.23,40.80±5.19,42.81±5.97
,EPA,60.43,62.27,62.32,59.35,56.34,53.2,52.06
HFC-143a,NOAA,4.94±1.22,4.07±1.13,4.95±0.94,3.97±0.59,3.65±0.31,4.18±0.63,5.34±0.84
,EPA,3.42,3.99,4.52,4.99,5.4,5.75,6.01
,,,,,,,,
Note: NOAA uncertainty values represent one standard deviation,,,,,,,,
