Table 4-109:  SF6 and CF4 Emissions from Electric Power Systems and Electrical Equipment Manufacturers (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,SF6 Emissions,CF4 Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1.0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1.0,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,1.0,0.00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,0.9,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,0.9,0.00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,0.8,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,0.7,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,0.7,0.00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,0.6,0.00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,0.6,0.00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,0.6,0.00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,0.5,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,0.5,0.00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,0.4,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,0.4,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,0.4,0.00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,0.3,0.00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,0.3,0.00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,0.3,0.00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,0.3,0.00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,0.2,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,0.3,0.00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,0.2,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,0.2,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,0.2,0.00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,0.2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,0.2,0.00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,0.2,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,0.2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,0.2,0.00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,0.2,0.00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.000005 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
