Table 4-11: CO2 Emissions from Glass Production (MMT CO2 Eq. and kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,2.3 ,"2,291 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,2.2 ,"2,176 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,2.3 ,"2,270 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,2.3 ,"2,302 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,2.4 ,"2,374 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,2.4 ,"2,363 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,2.4 ,"2,396 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,2.5 ,"2,499 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,2.6 ,"2,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,2.6 ,"2,601 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2.6 ,"2,576 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2.5 ,"2,451 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,2.5 ,"2,462 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,2.4 ,"2,416 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2.5 ,"2,452 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2.4 ,"2,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2.4 ,"2,428 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2.3 ,"2,332 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2.2 ,"2,233 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1.9 ,"1,921 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2.1 ,"2,073 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2.1 ,"2,074 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2.0 ,"2,023 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2.0 ,"2,030 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,2.0 ,"2,024 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2.0 ,"2,023 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,2.1 ,"2,119 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,2.0 ,"2,011 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2.0 ,"1,989 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,1.9 ,"1,938 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,1.9 ,"1,857 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
