"Table 4-115:  NOx, CO, NMVOC, and SO2 Emissions from Industrial Processes and Product Use (kt) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
   NOx,592,551,564,565,596,610,600,631,640,598,629,659,539,551,562,572,554,535,514,493,472,452,440,427,414,408,402,397,397,397,397
   Mineral Industry,246,226,235,243,255,261,297,318,322,305,325,344,293,306,319,329,315,300,284,269,255,241,236,231,226,223,221,220,220,220,220
   Other Industrial Processesa,105,93,92,93,98,101,96,100,102,104,110,113,96,101,105,108,103,99,93,89,84,79,78,76,74,74,73,72,72,72,72
   Metal Industry,88,69,73,75,83,89,76,81,81,78,81,86,63,62,61,60,64,68,72,69,67,64,64,64,63,62,61,60,60,60,60
   Chemical Industry,152,150,148,141,145,143,113,115,117,93,95,97,63,61,58,55,53,51,50,49,48,47,45,44,43,41,39,37,37,37,37
   Product Usesb,1,13,15,13,15,16,19,18,19,18,19,19,24,22,20,20,18,17,15,17,19,21,17,13,8,8,8,8,8,8,8
CO,"4,129","3,980","3,887","3,987","3,979","3,965","3,018","3,154","3,164","2,203","2,262","2,384","1,745","1,687","1,630","1,557","1,499","1,441","1,382","1,331","1,280","1,229","1,238","1,247","1,251","1,163","1,075","1,007","1,007","1,007","1,007"
   Metal Industry,"2,395","2,332","2,264","2,301","2,245","2,159","1,450","1,551","1,544","1,138","1,175","1,252",895,848,800,752,756,759,762,740,717,695,648,600,553,510,468,425,425,425,425
   Other Industrial Processesa,608,428,417,420,426,451,345,359,367,314,326,334,266,274,283,290,271,251,231,215,199,183,228,273,317,292,268,243,243,243,243
   Mineral Industry,49,70,77,119,119,116,163,169,169,204,212,224,178,184,189,194,181,168,155,144,134,123,153,183,213,196,179,163,163,163,163
   Chemical Industry,"1,073","1,022","1,009",992,"1,062","1,110",955,972,981,317,327,338,258,235,212,189,181,174,166,161,157,152,140,129,117,114,110,107,107,107,107
   Product Usesb,5,128,120,156,127,130,104,103,104,229,223,237,148,147,146,132,110,89,68,70,73,77,70,63,51,50,50,69,69,69,69
NMVOCs,"7,638","7,767","7,948","8,080","8,229","8,252","6,966","7,137","6,719","6,383","6,157","6,316","5,917","5,913","5,892","5,849","5,421","4,993","4,541","4,337","4,133","3,929","3,892","3,855","3,815","3,796","3,776","3,767","3,767","3,767","3,767"
   Product Usesb,"5,216",6657,6812,6931,7091,7131,6153,6318,5889,5697,5454,5633,5248,5242,5220,"5,176",4825,4474,4099,3907,3716,3524,3485,3446,3405,3388,"3,371","3,365","3,365","3,365","3,365"
   Other Industrial Processesa,"1,720",339,352,376,370,380,366,368,373,370,384,352,370,374,378,382,356,330,303,294,285,275,280,285,290,290,289,290,290,290,290
   Chemical Industry,575,644,649,636,627,599,352,352,358,228,230,238,226,222,218,213,169,124,80,78,77,76,74,72,70,69,69,68,68,68,68
   Mineral Industry,16,16,24,25,27,28,28,29,29,27,28,30,31,31,32,32,30,28,25,25,24,23,23,24,24,24,24,24,24,24,24
   Metal Industry,111,112,112,112,114,113,67,71,70,60,61,65,42,43,44,45,41,38,34,33,32,31,29,28,26,24,22,20,20,20,20
SO2,"1,307","1,188","1,188","1,161","1,137","1,118",954,986,992,985,"1,032","1,048",850,851,852,831,784,737,690,654,617,604,576,548,497,482,466,509,509,509,509
   Other Industrial Processesa,123,93,89,84,79,84,84,86,88,99,105,107,81,84,87,90,81,72,63,58,53,47,45,44,42,40,38,37,37,37,37
   Chemical Industry,269,254,252,244,249,259,232,235,237,295,307,310,235,233,230,228,208,188,168,150,132,115,114,113,112,108,104,101,101,101,101
   Mineral Industry,250,266,270,272,282,282,266,285,288,247,267,282,214,222,229,237,213,190,166,152,138,124,119,114,110,105,100,96,96,96,96
   Metal Industry,659,555,558,547,510,481,353,369,367,275,284,301,193,182,170,158,159,160,161,151,141,131,119,107,95,89,83,77,77,77,77
   Product Usesb,6,20,18,15,16,12,19,11,11,68,70,47,127,131,135,117,122,127,132,143,154,188,179,170,139,139,140,199,199,199,199
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Other Industrial Processes includes storage and transport, other industrial processes (manufacturing of agriculture, food, and kindred products; wood, pulp, paper, and publishing products; rubber and miscellaneous plastic products; machinery products; construction; transportation equipment; and textiles, leather, and apparel products), and miscellaneous sources (catastrophic/accidental release, other combustion (structural fires), health services, repair shops, and fugitive dust). It does not include agricultural fires or slash/prescribed burning, which are accounted for under the Field Burning of Agricultural Residues source.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Product Uses includes the following categories: solvent utilization (degreasing, graphic arts, dry cleaning, surface coating, other industrial, and nonindustrial). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
