Table 4-14: CO2 Emissions from Other Process Uses of Carbonates (MMT CO2 Eq.),,,,,,
,,,,,,
,Year,Flux Stone,FGD,Soda Ash Consumptiona,Other Miscellaneous Usesb,Total
,1990,2.6,1.4,1.4,0.8 ,6.2
,1991,2.2,1.3,1.4,0.7 ,5.6
,1992,1.9,1.4,1.3,1.0 ,5.6
,1993,1.2,1.5,1.3,1.2 ,5.2
,1994,1.7,1.7,1.3,0.7 ,5.5
,1995,3.2,1.7,1.4,1.0 ,7.3
,1996,3.6,2.0,1.4,1.0 ,8.0
,1997,4.5,1.4,1.4,0.4 ,7.7
,1998,4.5,1.2,1.4,0.7 ,7.8
,1999,5.6,1.2,1.3,0.5 ,8.6
,2000,2.1,1.8,1.3,0.5 ,5.8
,2001,1.6,2.5,1.4,0.5 ,6.0
,2002,1.7,2.8,1.4,0.4 ,6.3
,2003,1.4,1.9,1.3,0.2 ,4.9
,2004,3.4,1.9,1.3,0.2 ,6.7
,2005,2.6,3.0,1.3,0.5 ,7.5
,2006,4.5,2.1,1.3,0.7 ,8.6
,2007,2.0,3.2,1.3,1.5 ,7.9
,2008,1.0,3.8,1.2,0.7 ,6.7
,2009,1.8,5.4,1.1,0.4 ,8.7
,2010,1.6,7.1,1.1,0.8 ,10.6
,2011,1.5,5.4,1.1,1.7 ,9.7
,2012,1.1,5.8,1.1,1.0 ,8.9
,2013,2.3,6.3,1.1,1.2 ,10.9
,2014,2.9,7.1,1.1,1.4 ,12.6
,2015,2.9,7.3,1.1,0.8 ,12.1
,2016,2.6,6.2,1.1,1.0 ,10.8
,2017,2.4,5.6,1.1,0.8 ,9.9
,2018,2.8,2.2,1.1,1.3 ,7.4
,2019,4.8,3.5,1.0,0.5 ,9.8
,2020,4.8,3.5,1.0,0.5 ,9.8
,a Soda ash consumption not associated with glass manufacturing.,,,,,
,"b “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, and acid neutralization. ",,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,
