Table 4-15: CO2 Emissions from Other Process Uses of Carbonates (kt),,,,,,
,,,,,,
,Year,Flux Stone,FGD,Soda Ash Consumptiona,Other Miscellaneous Usesb,Total
,1990," 2,592 "," 1,432 "," 1,390 ", 819 ," 6,233 "
,1991," 2,227 "," 1,287 "," 1,362 ", 735 ," 5,610 "
,1992," 1,913 "," 1,368 "," 1,318 ", 956 ," 5,554 "
,1993," 1,168 "," 1,472 "," 1,324 "," 1,205 "," 5,170 "
,1994," 1,734 "," 1,689 "," 1,290 ", 739 ," 5,451 "
,1995," 3,196 "," 1,718 "," 1,396 "," 1,037 "," 7,348 "
,1996," 3,620 "," 1,988 "," 1,392 ", 956 ," 7,956 "
,1997," 4,473 "," 1,425 "," 1,392 ", 402 ," 7,691 "
,1998," 4,539 "," 1,232 "," 1,384 ", 694 ," 7,848 "
,1999," 5,551 "," 1,239 "," 1,310 ", 535 ," 8,636 "
,2000," 2,090 "," 1,785 "," 1,337 ", 550 ," 5,763 "
,2001," 1,589 "," 2,523 "," 1,373 ", 495 ," 5,979 "
,2002," 1,697 "," 2,783 "," 1,352 ", 448 ," 6,280 "
,2003," 1,426 "," 1,933 "," 1,315 ", 193 ," 4,868 "
,2004," 3,371 "," 1,860 "," 1,302 ", 159 ," 6,691 "
,2005," 2,649 "," 2,973 "," 1,305 ", 533 ," 7,459 "
,2006," 4,490 "," 2,059 "," 1,276 ", 735 ," 8,560 "
,2007," 1,958 "," 3,177 "," 1,262 "," 1,470 "," 7,867 "
,2008, 974 ," 3,799 "," 1,227 ", 702 ," 6,701 "
,2009," 1,784 "," 5,403 "," 1,098 ", 367 ," 8,652 "
,2010," 1,560 "," 7,064 "," 1,148 ", 843 ," 10,615 "
,2011," 1,467 "," 5,420 "," 1,105 "," 1,729 "," 9,721 "
,2012," 1,077 "," 5,797 "," 1,097 ", 966 ," 8,938 "
,2013," 2,307 "," 6,309 "," 1,109 "," 1,171 "," 10,897 "
,2014," 2,911 "," 7,111 "," 1,143 "," 1,417 "," 12,581 "
,2015," 2,901 "," 7,335 "," 1,075 ", 833 ," 12,144 "
,2016," 2,585 "," 6,164 "," 1,082 ", 981 ," 10,813 "
,2017," 2,441 "," 5,598 "," 1,058 ", 771 ," 9,869 "
,2018," 2,795 "," 2,229 "," 1,069 "," 1,259 "," 7,351 "
,2019," 4,811 "," 3,537 "," 1,036 ", 463 ," 9,848 "
,2020," 4,835 "," 3,537 ", 958 , 463 ," 9,794 "
,a Soda ash consumption not associated with glass manufacturing.,,,,,
,"b “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, and acid neutralization.",,,,,
,Note: Totals may not sum due to independent rounding.,,,,,
