Table 4-2: Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,"213,017","203,071 ","206,162 ","204,041 ","211,651 ","220,045 ","221,169 ","225,850 ","222,269 ","221,338 ","218,504 ","197,222 ","196,721 ","191,778 ","199,549 ","194,389 ","199,242 ","201,340 ","186,455 ","144,307 ","172,351 ","176,186 ","173,361 ","174,800 ","179,271 ","174,239 ","165,969 ","164,660","165,086","171,154","163,571"
,Iron and Steel Production & Metallurgical Coke Production,"104,737","95,214 ","95,992 ","91,646 ","94,526 ","98,396 ","96,358 ","97,594 ","91,135 ","89,015 ","90,460 ","79,783 ","75,774 ","72,655 ","72,238 ","70,076 ","72,769 ","74,524 ","69,932 ","45,066 ","58,555 ","62,950 ","57,253 ","55,182 ","58,184 ","47,942 ","43,621 ","40,566","42,627","43,090","37,731"
,Iron and Steel Production,"99,129","90,139 ","91,985 ","88,693 ","89,359 ","93,174 ","92,001 ","93,813 ","86,358 ","84,279 ","85,920 ","76,805 ","71,613 ","68,274 ","68,431 ","66,156 ","69,008 ","70,647 ","65,828 ","42,882 ","54,780 ","59,806 ","55,047 ","51,638 ","54,464 ","43,525 ","40,979 ","38,587","41,345","40,084","35,407"
,Metallurgical Coke Production,"5,608","5,074 ","4,007 ","2,953 ","5,167 ","5,222 ","4,357 ","3,781 ","4,777 ","4,737 ","4,541 ","2,978 ","4,161 ","4,381 ","3,808 ","3,921 ","3,761 ","3,876 ","4,104 ","2,184 ","3,775 ","3,144 ","2,206 ","3,544 ","3,720 ","4,417 ","2,643 ","1,978","1,282","3,006","2,324"
,Cement Production,"33,484","32,736 ","32,993 ","34,838 ","36,310 ","37,075 ","37,309 ","38,561 ","39,461 ","40,239 ","41,445 ","41,613 ","43,164 ","43,349 ","45,886 ","46,194 ","46,851 ","45,509 ","41,416 ","29,615 ","31,449 ","32,208 ","35,270 ","36,369 ","39,439 ","39,907 ","39,439 ","40,324","38,971","40,896","40,688"
,Petrochemical Production,"21,611","23,053 ","23,660 ","24,606 ","26,573 ","27,949 ","29,096 ","30,493 ","30,851 ","32,301 ","31,571 ","27,630 ","28,676 ","28,452 ","30,671 ","27,383 ","27,627 ","28,072 ","24,744 ","23,800 ","27,262 ","26,338 ","26,501 ","26,395 ","26,496 ","28,062 ","28,110 ","28,890","29,314","30,702","30,011"
,Ammonia Production,"13,047","13,279 ","13,683 ","13,205 ","14,151 ","13,541 ","13,836 ","14,028 ","14,143 ","12,948 ","12,171 ","9,223 ","10,487 ","8,802 ","9,554 ","9,177 ","8,764 ","9,060 ","8,397 ","8,434 ","9,170 ","8,211 ","8,931 ","9,461 ","9,359 ","10,616 ","10,245 ","11,112","12,163","12,272","12,717"
,Lime Production,"11,700","11,539 ","11,927 ","12,279 ","12,736 ","13,538 ","14,242 ","14,498 ","14,792 ","14,425 ","14,282 ","13,722 ","13,169 ","13,907 ","14,613 ","14,552 ","15,243 ","14,721 ","14,505 ","11,411 ","13,381 ","13,982 ","13,785 ","14,028 ","14,210 ","13,342 ","12,630 ","12,882","13,106","12,112","11,299"
,Other Process Uses of Carbonates,"6,233","5,610 ","5,554 ","5,170 ","5,451 ","7,348 ","7,956 ","7,691 ","7,848 ","8,636 ","5,763 ","5,979 ","6,280 ","4,868 ","6,691 ","7,459 ","8,560 ","7,867 ","6,701 ","8,652 ","10,615 ","9,721 ","8,938 ","10,897 ","12,581 ","12,144 ","10,813 ","9,869","7,351","9,848","9,794"
,Urea Consumption for Non-Agricultural Purposes,"3,784","3,501 ","3,863 ","4,568 ","4,268 ","4,255 ","3,859 ","3,931 ","4,844 ","4,650 ","4,231 ","4,072 ","3,700 ","3,558 ","3,673 ","3,653 ","3,519 ","4,944 ","4,065 ","3,427 ","4,730 ","5,093 ","4,820 ","4,556 ","1,809 ","4,651 ","5,330 ","5,182","6,030","6,044","5,983"
