"Table 4-25: Urea Production, Urea Applied as Fertilizer, Urea Imports, and Urea Exports (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Urea Production,Urea Applied as Fertilizer,Urea ,Urea ,Urea Consumed for Non-Agricultural Purposes,,,,,,,,,,,,,,,,,,,,,,,
,,,,Imports,Exports,,,,,,,,,,,,,,,,,,,,,,,,
,1990,"7,450","3,296","1,860",854,"5,160",,,,,,,,,,,,,,,,,,,,,,,
,1991,"7,380","3,154","1,619","1,071","4,774",,,,,,,,,,,,,,,,,,,,,,,
,1992,"7,950","3,338","1,569",913,"5,267",,,,,,,,,,,,,,,,,,,,,,,
,1993,"7,520","3,595","2,964",659,"6,230",,,,,,,,,,,,,,,,,,,,,,,
,1994,"7,230","3,659","3,160",912,"5,820",,,,,,,,,,,,,,,,,,,,,,,
,1995,"7,370","3,623","2,936",881,"5,802",,,,,,,,,,,,,,,,,,,,,,,
,1996,"7,740","3,528","2,521","1,471","5,263",,,,,,,,,,,,,,,,,,,,,,,
,1997,"7,430","3,670","2,533",933,"5,361",,,,,,,,,,,,,,,,,,,,,,,
,1998,"8,140","4,018","3,324",841,"6,605",,,,,,,,,,,,,,,,,,,,,,,
,1999,"8,080","4,113","3,264",890,"6,341",,,,,,,,,,,,,,,,,,,,,,,
,2000,"6,910","4,382","3,904",663,"5,769",,,,,,,,,,,,,,,,,,,,,,,
,2001,"6,200","4,655","4,800",792,"5,553",,,,,,,,,,,,,,,,,,,,,,,
,2002,"7,040","4,871","3,840",963,"5,045",,,,,,,,,,,,,,,,,,,,,,,
,2003,"5,780","5,025","4,973",876,"4,851",,,,,,,,,,,,,,,,,,,,,,,
,2004,"5,760","4,982","4,935",704,"5,009",,,,,,,,,,,,,,,,,,,,,,,
,2005,"5,270","4,779","5,026",536,"4,981",,,,,,,,,,,,,,,,,,,,,,,
,2006,"5,410","4,985","5,029",656,"4,799",,,,,,,,,,,,,,,,,,,,,,,
,2007,"5,590","5,124","6,546",271,"6,741",,,,,,,,,,,,,,,,,,,,,,,
,2008,"5,240","4,927","5,459",230,"5,543",,,,,,,,,,,,,,,,,,,,,,,
,2009,"5,084","4,848","4,727",289,"4,673",,,,,,,,,,,,,,,,,,,,,,,
,2010,"5,122 ","5,152","6,631 ",152,"6,450",,,,,,,,,,,,,,,,,,,,,,,
,2011," 6,879 ","5,587","5,860 ",207,"6,945",,,,,,,,,,,,,,,,,,,,,,,
,2012," 5,803 ","5,838","6,944",336,"6,572",,,,,,,,,,,,,,,,,,,,,,,
,2013," 6,137 ","6,059","6,470",335,"6,213",,,,,,,,,,,,,,,,,,,,,,,
,2014," 5,561 ","6,153","3,510",451,"2,467",,,,,,,,,,,,,,,,,,,,,,,
,2015," 5,880 ","6,347","7,190",380,"6,343",,,,,,,,,,,,,,,,,,,,,,,
,2016," 7,390 ","6,381","6,580",321,"7,268",,,,,,,,,,,,,,,,,,,,,,,
,2017,"9,030","6,678","5,510",795,"7,067",,,,,,,,,,,,,,,,,,,,,,,
,2018,"10,700","6,844","5,110",743,"8,223",,,,,,,,,,,,,,,,,,,,,,,
,2019,"11,400","7,009","4,410",559,"8,242",,,,,,,,,,,,,,,,,,,,,,,
,2020,"11,500","7,193","4,410",559,"8,158",,,,,,,,,,,,,,,,,,,,,,,
