Table 4-28: Nitric Acid Production (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990," 7,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991," 7,190 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992," 7,380 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993," 7,490 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994," 7,910 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995," 8,020 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996," 8,350 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997," 8,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998," 8,420 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999," 8,120 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000," 7,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001," 6,420 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002," 6,940 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003," 6,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004," 6,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005," 6,710 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006," 6,570 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007," 7,830 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008," 6,690 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009," 5,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010," 7,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011," 7,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012," 7,460 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013," 7,580 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014," 7,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015," 7,210 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016," 7,810 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017," 7,780 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018," 8,210 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019," 8,080 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020," 7,970 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
