Table 4-38: Production and Consumption of Silicon Carbide (Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Production,Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,"65,000","132,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,"39,000","98,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,"45,000","120,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,"35,000","133,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,"45,000","139,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,"36,000","187,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,"42,000","209,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,"36,000","259,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,"38,000","297,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,"33,000","193,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,"32,000","212,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,"32,000","154,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,"30,000","181,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,"35,000","190,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,"35,000","229,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,"35,000","220,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,"35,000","199,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,"35,000","179,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,"35,000","144,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,"35,000","92,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,"35,000","154,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,"35,000","136,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,"35,000","114,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,"35,000","134,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,"35,000","140,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,"35,000","153,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,"35,000","142,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,"35,000","163,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"35,000","168,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,"35,000","152,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,"35,000","113,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
