Table 4-80:  PFC Emissions from Aluminum Production (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,CF4,C2F6,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990, 17.9 , 3.5 , 21.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991, 15.1 , 3.0 , 18.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992, 13.9 , 2.8 , 16.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993, 13.4 , 2.6 , 16.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994, 11.7 , 2.4 , 14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995, 11.5 , 2.2 , 13.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996, 12.2 , 2.3 , 14.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997, 10.8 , 1.8 , 12.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998, 8.8 , 1.2 , 10.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999, 8.7 , 1.1 , 9.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000, 8.8 , 1.1 , 9.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001, 3.5 , 0.5 , 4.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002, 5.2 , 0.9 , 6.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003, 3.74 , 0.64 , 4.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004, 2.75 , 0.54 , 3.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005, 2.89 , 0.55 , 3.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006, 2.56 , 0.47 , 3.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007, 3.81 , 0.85 , 4.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008, 2.67 , 0.65 , 3.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009, 1.58 , 0.39 , 1.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010, 1.50 , 0.47 , 1.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011, 2.80 , 0.81 , 3.61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012, 2.42 , 0.68 , 3.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013, 2.44 , 0.67 , 3.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014, 2.03 , 0.61 , 2.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015, 1.59 , 0.51 , 2.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016, 0.97 , 0.44 , 1.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017, 0.73 , 0.36 , 1.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018, 1.21 , 0.43 , 1.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019, 1.40 , 0.36 , 1.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020, 1.39 , 0.29 , 1.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
