Table 4-82:  Summary of HVAE Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990, 21.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991, 18.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992, 16.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993, 16.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994, 14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995, 13.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996, 14.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997, 12.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998, 10.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999, 9.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000, 9.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001, 4.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002, 6.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003, 4.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004, 3.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005, 3.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006, 2.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007, 4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008, 3.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009, 1.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010, 1.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011, 3.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012, 2.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013, 3.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014, 2.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015, 2.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016, 1.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017, 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018, 1.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019, 1.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020, 1.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
