Table 4-83:  Summary of LVAE Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007, 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008, 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012, 0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020, 0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
