"Table 4-97:  PFC, HFC, SF6, NF3, and N2O Emissions from Semiconductor Manufacture (Metric Tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CF4,114.8,114.8,114.8,143.6,157.9,199.5,221.5,234.1,287.1,291.4,277.4,196.7,168.4,152.8,155.3,146.6,156.0,160.2,152.6,115.8,157.4,208.4,189.6,177.5,204.6,209.3,211.8,222.3,237.2,221.6,227.0
,C2F6,160.0,160.0,160.0,200.0,220.0,277.9,308.6,326.1,399.9,405.8,312.6,217.6,226.1,200.3,182.0,161.8,173.5,161.3,137.0,93.2,117.6,159.5,142.4,126.3,114.5,110.4,100.0,98.0,93.3,79.5,70.7
,C3F8 ,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,18.2,14.5,10.7,15.2,9.2,9.0,10.5,12.6,17.6,10.1,13.7,19.0,11.7,11.4,15.5,15.7,14.3,11.7,12.1,10.1,9.0
,C4F8,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.2,0.3,5.6,8.5,8.2,11.5,11.4,6.3,6.4,3.7,4.2,4.7,5.1,5.1,6.0,5.8,5.5,5.8,6.1,5.8,5.8
,HFC-23,14.6,14.6,14.6,18.2,20.0,25.3,28.1,29.7,36.4,37.0,22.3,14.7,14.0,14.6,14.4,13.7,16.3,15.7,14.6,11.3,14.6,19.7,21.4,18.6,20.9,21.9,23.3,25.8,26.6,25.5,26.6
,SF6,21.7,21.7,21.7,27.2,29.9,37.8,42.0,44.3,54.4,55.2,43.9,29.6,26.1,31.0,29.0,31.1,29.6,22.4,19.6,15.3,18.3,29.3,29.6,30.2,32.9,33.1,36.4,30.9,34.2,33.0,32.7
,NF3,2.8,2.8,2.8,3.5,3.8,4.8,5.4,5.7,7.0,7.1,11.9,13.2,32.2,30.8,31.8,28.5,40.5,33.0,34.3,27.2,32.4,33.5,33.6,29.0,30.0,32.9,33.2,32.9,34.1,33.3,36.1
,C4F6,0.7,0.7,0.7,0.9,1.0,1.2,1.4,1.4,1.8,1.8,1.5,1.1,1.1,1.0,1.0,0.9,1.0,0.9,0.8,0.6,0.8,1.1,1.1,0.8,0.8,0.9,1.0,0.9,0.8,0.9,0.8
,C5F8,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.1,0.9,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.5,0.3,0.3,0.3,0.5,0.9,0.5,0.8,0.5,1.2,0.4
,CH2F2,0.7,0.7,0.7,0.9,1.0,1.2,1.3,1.4,1.7,1.8,1.5,1.0,1.1,1.0,1.0,0.9,1.0,0.9,0.8,0.6,0.8,0.7,0.8,0.9,0.7,0.9,0.9,1.1,0.9,1.0,1.1
,CH3F,1.5,1.5,1.5,1.9,2.1,2.6,2.9,3.1,3.8,3.9,3.2,2.3,2.3,2.2,2.1,2.0,2.2,2.0,1.8,1.3,1.7,1.2,1.3,1.2,1.4,2.2,1.9,2.3,3.0,2.5,2.8
,CH2FCF3,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.0,0.0,0.0,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,120.2,120.2,120.2,150.2,165.3,202.9,217.3,267.3,241.2,279.6,329.9,237.9,237.1,299.3,350.8,412.0,526.9,657.4,593.1,447.2,489.8,804.7,666.2,615.2,734.3,791.0,789.8,911.3,852.0,781.6,993.1
,+ Does not exceed 0.05 MT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
