Table 5-1:  Emissions from Agriculture (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CO2,7.1,7.3,6.9,6.4,6.8,7.0,7.0,7.0,7.7,7.5,7.5,7.8,8.5,8.3,7.6,7.9,7.9,8.2,8.6,7.2,8.6,8.0,10.3,8.4,8.1,8.4,7.8,8,7.3,7.6,7.7
,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3.0,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.7,4.9,5,5.1,5.3
,Liming,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5.0,4.6,3.9,4.3,4.2,4.5,5.0,3.7,4.8,3.9,6.0,3.9,3.6,3.7,3.1,3.1,2.2,2.4,2.4
,CH4,214.7,216.8,220.2,225.2,229.6,235.4,233.9,231.0,234.1,234.9,234.7,231.6,235.1,232.5,228.5,235.5,234.9,243.4,239.2,239.3,242.0,236.5,236.1,231.5,230.8,238.0,244.7,247.8,251.1,250.3,250.9
,Enteric Fermentation,163.5,163.7,168.5,170.9,173.9,177.8,176.8,173.3,171.4,171.6,169.8,168.8,169.1,169.2,166.1,168.0,170.8,173.7,173.0,172.1,170.4,168.2,166.0,164.9,163.0,166.0,171.3,174.9,175.7,176.1,175.2
,Manure Management,34.8,36.6,35.2,36.9,39.5,40.8,40.0,41.8,45.2,45.3,45.6,47.1,47.9,48.1,46.5,49.0,49.0,53.4,51.6,50.6,52.3,52.7,54.5,52.4,51.9,55.4,57.1,57.5,59.4,58.7,59.6
,Rice Cultivation,16,16.1,16.1,17.1,15.7,16.5,16.7,15.4,17.1,17.7,19.0,15.4,17.7,14.7,15.6,18.0,14.7,15.9,14.1,16.2,18.9,15.3,15.2,13.8,15.4,16.2,15.8,14.9,15.6,15.1,15.7
,Field Burning of Agricultural Residues,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,N2O,330.1,319.1,316.9,340.3,322.3,328.5,337.7,328.7,332.7,325.2,311.3,333.4,331.4,332.8,345.1,330.3,326.3,337.3,333.6,338.3,342.2,329.8,310.4,357.9,367.6,367.1,349.4,347.5,358.4,365,336.1
,Agricultural Soil Management,316,304.8,302.5,326.1,307.5,313.3,322.5,313.4,317.2,309.2,294.9,317.0,314.7,315.9,328.8,313.8,309.1,320.0,316.5,321.2,325.0,312.5,292.9,340.5,350.2,349.2,330.8,328.3,338.9,345.3,316.2
,Manure Management,13.9,14.1,14.2,14.0,14.7,15.1,15.0,15.2,15.4,15.9,16.3,16.2,16.5,16.6,16.0,16.3,17.0,17.1,16.9,16.9,16.9,17.2,17.3,17.3,17.3,17.8,18.4,19,19.3,19.5,19.7
,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Total,551.9,543.2,543.9,571.9,558.7,571.0,578.6,566.6,574.5,567.7,553.6,572.9,575.0,573.6,581.2,573.6,569.1,588.9,581.4,584.8,592.8,574.3,556.7,597.7,606.5,613.5,601.9,603.2,616.7,622.9,594.7
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
