Table 5-11:  CH4 Emissions from Rice Cultivation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Arkansas,216,250,198,244,234,216,237,209,235,245,252,203,235,199,243,315,250,263,219,281,355,258,274,190,229,256,NE ,NE,NE,NE,NE
California,131,114,112,124,133,136,141,155,148,147,149,157,154,130,151,134,146,141,142,144,136,136,139,147,155,166,NE,NE,NE,NE,NE
Florida,+ ,0,0,0,0,0,0,0,0,65,57,2,2,3,2,1,2,2,2,0,0,0,0,0,0,0,NE  ,NE,NE,NE,NE
Illinois,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,NE ,NE,NE,NE,NE
Kentucky,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,NE  ,NE,NE,NE,NE
Louisiana,103,99,117,101,110,97,113,100,123,128,121,111,105,105,106,113,80,94,82,101,107,90,101,90,130,103,NE  ,NE,NE,NE,NE
Minnesota,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,1,4,3,3,3,1,0,0,NE  ,NE,NE,NE,NE
Mississippi,45,42,49,56,48,51,37,38,52,33,53,33,54,41,23,55,32,35,41,21,45,30,35,32,31,40,NE  ,NE,NE,NE,NE
Missouri,22,18,17,22,26,22,18,24,26,38,43,44,48,32,42,45,44,49,44,42,56,26,26,32,34,26,NE  ,NE,NE,NE,NE
New York,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,NE  ,NE,NE,NE,NE
South Carolina,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,NE  ,NE,NE,NE,NE
Tennessee,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,NE  ,NE,NE,NE,NE
Texas,122,121,151,136,78,137,122,88,97,50,80,64,109,78,55,54,34,54,32,55,54,70,30,60,37,57,NE  ,NE,NE,NE,NE
Total,640,645,646,684,629,660,670,615,683,707,759,617,708,589,624,720,590,637,563,649,757,612,606,551,616,648,631,596,623,602,630
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level emissions are not estimated for 2016 through 2020 in this Inventory because data are unavailable. A surrogate data method is used to estimate emissions for these years and are produced only at the national scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
