Table 5-17:  Direct N2O Emissions from Agricultural Soils by Land Use Type and N Input Type (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Cropland,185.9,177.3 ,173.5 ,191.2 ,185.9 ,183.7 ,191.4 ,182.6 ,180.2 ,182.2 ,176.9 ,186.4 ,186.6 ,187.6 ,187.2 ,183.7 ,179.2 ,184.9 ,182.7 ,184.1 ,185.8 ,183.9 ,176.3 ,197.4 ,207.0 ,199.6 ,191.0 ,190.5,195.1,196.5,187.3
,Mineral Soils,182.1,173.6 ,169.7 ,187.5 ,182.2 ,179.9 ,187.7 ,178.8 ,176.5 ,178.5 ,173.2 ,182.5 ,182.8 ,183.9 ,183.6 ,180.0 ,175.5 ,181.4 ,179.2 ,180.6 ,182.3 ,180.4 ,172.8 ,193.9 ,203.6 ,196.2 ,187.6 ,187.1,191.7,193.1,183.9
,Synthetic Fertilizer,58.9,57.2 ,57.4 ,59.4 ,65.3 ,58.5 ,65.1 ,61.7 ,58.2 ,60.2 ,58.1 ,57.9 ,60.8 ,60.6 ,61.2 ,60.1 ,57.6 ,62.7 ,59.6 ,55.4 ,56.7 ,61.8 ,63.9 ,66.6 ,67.1 ,62.5 ,65.7 ,65.4,66.8,67.1,63.8
,Organic Amendmenta,12.8,12.7 ,12.7 ,12.9 ,13.1 ,13.0 ,13.4 ,13.1 ,12.9 ,13.0 ,13.0 ,13.2 ,13.5 ,13.4 ,12.8 ,13.1 ,13.4 ,13.5 ,13.3 ,13.3 ,13.0 ,13.4 ,13.4 ,13.6 ,13.6 ,13.5 ,14.7 ,14.5,14.4,14.3,13.9
,Residue Nb,40.7,40.1 ,37.6 ,41.5 ,39.3 ,41.0 ,41.5 ,38.7 ,36.7 ,42.3 ,39.8 ,42.0 ,41.8 ,42.9 ,38.7 ,41.0 ,40.6 ,38.8 ,39.4 ,41.2 ,41.4 ,42.1 ,39.9 ,41.1 ,43.5 ,39.7 ,41.2 ,41.2,42.3,42.7,40.8
,Mineralization and Asymbiotic Fixation,69.8,63.6 ,62.0 ,73.7 ,64.4 ,67.4 ,67.8 ,65.3 ,68.7 ,63.0 ,62.3 ,69.5 ,66.7 ,67.0 ,70.8 ,65.8 ,63.8 ,66.4 ,66.9 ,70.7 ,71.3 ,63.1 ,55.6 ,72.7 ,79.4 ,80.5 ,66.0 ,66.1,68.2,68.9,65.4
,Drained Organic Soils,3.8,3.8 ,3.7 ,3.7 ,3.7 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.7 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.4 ,3.4 ,3.4 ,3.4,3.4,3.4,3.4
,Grassland,86.7,86.8 ,85.9 ,87.1 ,83.1 ,86.1 ,88.2 ,89.0 ,90.2 ,84.8 ,79.5 ,85.7 ,86.5 ,85.9 ,94.4 ,89.2 ,87.6 ,89.8 ,87.2 ,91.0 ,93.2 ,83.7 ,79.0 ,94.9 ,96.1 ,95.9 ,91.0 ,90.3,91.3,94.4,84.3
,Mineral Soils,84.2,84.3 ,83.4 ,84.6 ,80.6 ,83.6 ,85.7 ,86.6 ,87.7 ,82.4 ,77.1 ,83.3 ,84.0 ,83.5 ,91.9 ,86.7 ,85.2 ,87.4 ,84.8 ,88.5 ,90.7 ,81.2 ,76.6 ,92.4 ,93.6 ,93.4 ,88.5 ,87.8,88.8,91.9,81.9
,Synthetic Fertilizer,+ ,+ ,0.1 ,0.1 ,0.1 ,+ ,+ ,+ ,0.2 ,+ ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,+ ,+ ,+ ,0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,PRP Manure,14.5,14.2 ,14.5 ,14.8 ,15.1 ,14.9 ,15.1 ,14.3 ,14.8 ,13.7 ,13.5 ,13.8 ,13.9 ,13.6 ,13.9 ,13.6 ,13.7 ,13.2 ,13.1 ,13.5 ,13.3 ,12.8 ,12.1 ,12.9 ,12.8 ,13.0 ,13.0 ,13,13.1,13.4,12.4
,Managed Manurec,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,"Biosolids (i.e., treated Sewage Sludge)",0.2,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6,0.6,0.7,0.7
,Residue Nd,29.8,29.0 ,28.8 ,29.5 ,28.2 ,29.5 ,30.0 ,29.8 ,29.5 ,30.2 ,28.0 ,30.2 ,30.3 ,30.2 ,30.3 ,30.9 ,30.4 ,30.6 ,30.4 ,30.5 ,31.6 ,29.6 ,29.4 ,31.3 ,31.9 ,30.5 ,31.6 ,31.3,31.7,32.8,29
,Mineralization and Asymbiotic Fixation,39.6,40.7 ,39.7 ,39.8 ,36.9 ,38.8 ,40.2 ,42.0 ,42.8 ,38.0 ,35.1 ,38.8 ,39.3 ,39.3 ,47.2 ,41.8 ,40.6 ,43.1 ,40.8 ,44.0 ,45.3 ,38.2 ,34.5 ,47.7 ,48.3 ,49.3 ,43.3 ,42.9,43.4,45,39.8
,Drained Organic Soils,2.5,2.5 ,2.5 ,2.5 ,2.6 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.3 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5,2.5,2.5,2.5
,Total,272.6,264.1 ,259.3 ,278.4 ,269.0 ,269.8 ,279.6 ,271.6 ,270.3 ,267.1 ,256.5 ,272.1 ,273.0 ,273.5 ,281.6 ,272.9 ,266.8 ,274.8 ,270.0 ,275.1 ,279.0 ,267.6 ,255.4 ,292.3 ,303.1 ,295.5 ,282.0 ,280.8,286.4,290.9,271.7
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Organic amendment inputs include managed manure, daily spread manure, and commercial organic fertilizers (i.e., dried blood, dried manure, tankage, compost, and other).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Cropland residue N inputs include N in unharvested legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Managed manure inputs include managed manure and daily spread manure amendments that are applied to grassland soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Grassland residue N inputs include N in ungrazed legumes as well as ungrazed grass residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2015 are based on a data splicing method (See Methodology section). Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
