Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Beef Cattle,118.5,119.1,124.4,127.2,130.8,134.9,134.3,130.9,129.2,128.4,126.2,125.4,125.5,125.5,123.4,124.7,126.5,127.6,126.4,125.3,124.1,121.4,118.7,117.7,115.6,117.8,122.6,125.8,126,126.5,125.3
Dairy Cattle,38.7,38.3,37.8,37.5,36.9,36.8,36.4,36.2,35.9,36.9,37.3,37.0,37.1,37.3,36.2,36.8,37.6,39.3,39.8,40.2,39.8,40.4,41.0,41.0,41.3,42.0,42.5,42.9,43.4,43.3,43.6
Swine,2,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9
Horses,1,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1
Sheep,2.6,2.5,2.4,2.3,2.2,2.0,1.9,1.8,1.8,1.6,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Goats,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
American Bison,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mules and Asses,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total,163.5,163.7,168.5,170.9,173.9,177.8,176.8,173.3,171.4,171.6,169.8,168.8,169.1,169.2,166.1,168,170.8,173.7,173.0,172.1,170.4,168.2,166.0,164.9,163.0,166.0,171.3,174.9,175.7,176.1,175.2
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
