Table 5-6:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CH4a,,34.8,36.6,35.2,36.9,39.5,40.8,40,41.8,45.2,45.3,45.6,47.1,47.9,48.1,46.5,49,49,53.4,51.6,50.6,52.3,52.7,54.5,52.4,51.9,55.4,57.1,57.5,59.4,58.7,59.6
,Dairy Cattle,,14.3,14.7,14.3,14.9,15.9,16.6,16.9,17.6,18.5,19.9,20.7,21.9,22.5,23.4,22.2,23.6,24.1,26.9,26.9,27,27.3,27.9,29,28.5,29,30.1,30.8,31.2,32,30.9,31.7
,Swine,,15.5,16.8,15.9,16.9,18.5,19,18,19.2,21.6,20.3,19.7,19.9,20.2,19.5,19.2,20.3,19.7,21.3,19.6,18.5,19.9,19.8,20.5,18.9,18,20.2,21.1,21,22,22.3,22.4
,Poultry,,3.3,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3.3,3.1,3.2,3.3,3.3,3.3,3.2,3.2,3.3,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.3,3.4,3.5,3.6,3.5
,Beef Cattle,,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8
,Horses,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Sheep,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+,+,+,+,+
,Goats,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,American Bison,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Mules and Asses,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2Ob,,13.9 ,14.1 ,14.2 ,14.0 ,14.7 ,15.1 ,15.0 ,15.2 ,15.4 ,15.9 ,16.3 ,16.2 ,16.5 ,16.6 ,16.0 ,16.3 ,17.0 ,17.1 ,16.9 ,16.9 ,16.9 ,17.2 ,17.3 ,17.3 ,17.3 ,17.8 ,18.4 ,19.0 ,19.3 ,19.5 ,19.7 
,Beef Cattle,,5.9,6,6,5.7,6.2,6.5,6.4,6.4,6.5,7.2,7.4,7.2,7.4,7.5,7,7.2,7.7,7.6,7.5,7.5,7.6,7.7,7.7,7.7,7.8,8,8.5,8.9,9.1,9.2,9.4
,Dairy Cattle,,5.2,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.4,5.5,5.5,5.3,5.4,5.6,5.6,5.5,5.6,5.6,5.7,5.8,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.1
,Swine,,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.8,1.9,2,2,2.1,2.1
,Poultry,,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
,Sheep,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Horses,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Mules and Asses,,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,American Bison,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
