Table 5-7:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,CH4a,,"1,394",1463,1408,1475,1581,1631,1599,1674,1809,1811,1823,1882,1915,1924,1859,1960,1960,2136,2065,2022,2091,2106,2180,2095,2078,2216,"2,285","2,300","2,375","2,348","2,383"
,Dairy Cattle,,572,589,573,596,636,665,676,705,739,796,830,878,899,936,886,943,963,"1,074","1,075","1,080","1,091","1,114","1,158","1,140","1,159","1,203","1,232","1,248","1,278","1,237","1,269"
,Swine,,621,673,636,677,739,762,721,766,865,813,790,797,810,781,769,812,788,851,785,740,797,791,821,755,718,807,846,840,882,891,895
,Poultry,,131,131,127,130,130,128,125,127,130,126,127,131,130,131,129,130,131,135,129,128,129,127,128,128,130,134,134,136,139,144,142
,Beef Cattle,,63,63,64,64,67,69,68,66,66,67,68,67,67,68,66,67,69,69,68,67,67,67,66,65,64,65,68,70,70,71,71
,Horses,,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3
,Sheep,,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Goats,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+
,American Bison,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,0,+,+
,Mules and Asses,,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,0,+,+
,N2Ob,,47,47,48,47,49,51,50,51,52,53,55,54,55,56,54,55,57,57,57,57,57,58,58,58,58,60,62,64,65,65,66
,Beef Cattle,,20,20,20,19,21,22,21,21,22,24,25,24,25,25,24,24,26,26,25,25,25,26,26,26,26,27,28,30,30,31,31
,Dairy Cattle,,17,17,17,18,18,18,18,18,18,18,18,18,18,19,18,18,19,19,18,19,19,19,19,19,19,20,20,20,21,20,21
,Swine,,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
,Poultry,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
,Sheep,,+,+ ,+ ,+ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Horses,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Goats,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bisonc,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: N2O emissions from manure deposited on pasture, range and paddock are included in the Agricultural Soils Management sector. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
